#{"t_start": 1730800626.2568004, "env_id": "BicycleMaze-v0"}
r,l,t
-5.737234,6,5.173627
-5.382673,3,5.373759
-6.814626,5,5.561432
-5.350116,3,5.681252
-5.727387,5,5.885116
-5.099532,6,6.133507
-4.488974,5,6.302581
-4.32491,10,6.705947
-2.867871,6,6.947092
-2.951414,8,7.245966
-5.528544,6,7.531142
-5.430851,3,7.66625
-4.660423,3,7.803172
-3.531974,6,8.037632
-4.261901,13,8.55629
-5.217731,6,8.804458
-5.662538,3,8.954119
-5.457854,5,9.191064
-4.218489,4,9.387479
-5.707636,3,9.535981
-6.71065,3,9.669397
-2.181509,10,10.088639
-9.35611,8,10.440094
-6.091747,4,10.675131
-6.386232,9,11.069112
-3.904721,6,11.367427
-5.250925,11,11.857646
-5.381205,3,11.982946
-4.966231,7,12.307147
-7.329019,7,12.606329
-6.875272,6,12.804559
-6.26072,7,13.141874
-5.623478,11,13.589288
-5.65929,5,13.819436
-5.377864,3,13.951205
-4.061425,7,14.302715
-5.111502,5,14.537915
-4.184515,6,14.783829
-5.25534,4,14.955507
-5.717416,3,15.105585
-1.315589,11,15.579483
-3.867723,9,15.988791
-6.187662,10,16.410096
-8.259652,5,16.659035
-5.053141,4,16.822653
-4.420904,3,16.978422
-7.310231,7,17.292254
-6.266201,7,17.655648
-5.066564,4,17.816433
-5.703036,3,17.944292
-5.819727,6,18.148373
-4.502873,7,18.447275
-4.021704,6,18.723915
-3.593588,5,18.93106
-2.639162,9,19.342955
-4.520451,3,19.473778
-6.036771,5,19.678344
-5.479176,5,19.913594
-5.72865,3,20.04545
-4.971707,4,20.246433
-5.454367,4,20.411557
-6.622281,8,20.777246
-6.167753,9,21.175152
-4.349636,3,21.329195
-5.755467,5,21.565643
-3.902396,4,21.733765
-6.655974,3,21.875414
-2.801921,8,22.312439
-4.442362,4,22.495672
-4.721442,3,22.610771
-4.957201,7,22.863622
-3.159033,6,23.13186
-3.720443,6,23.359158
-6.747154,11,23.832047
-4.87766,6,24.159911
-5.8805,7,24.465784
-4.163562,4,24.659096
-4.653236,4,24.853255
-6.707509,3,25.017233
-4.611726,4,25.162511
-5.598614,3,25.304327
-4.433277,5,25.547005
-4.171492,12,26.029884
-5.117974,5,26.215466
-5.894288,11,26.73366
-4.570817,6,27.013993
-3.046321,5,27.225453
-4.06726,7,27.470905
-4.776288,4,27.648556
-5.855532,5,27.850997
-4.244241,9,28.270952
-5.266601,4,28.487425
-2.240352,9,28.836452
-5.820335,6,29.047044
-5.031243,6,29.292377
-6.047547,12,29.810844
-6.672172,10,30.253043
-3.651417,5,30.51837
-4.816482,9,30.922794
-3.798227,10,31.425908
-4.598812,11,31.891832
-6.097859,6,32.119475
-5.860983,9,32.469455
-4.447553,10,32.895296
-5.241146,5,33.075746
-6.129157,7,33.38947
-4.539968,5,33.611475
0.029482,17,34.368441
-5.978892,4,34.55849
-5.191746,6,34.8218
-7.158282,6,35.056006
-3.901579,6,35.340021
-4.619788,3,35.484422
-3.219979,7,35.791377
-3.650524,7,36.035498
-6.338984,4,36.204087
-4.777665,5,36.425645
-3.291765,14,37.015033
-5.224171,5,37.235241
-4.844604,5,37.413162
-6.28334,10,37.905009
-6.143481,4,38.022209
-4.591107,4,38.194661
-4.350024,4,38.38644
-5.730201,5,38.60398
-2.589632,7,38.84335
-4.825732,8,39.157411
-3.661583,11,39.623483
-3.833626,9,39.997537
-7.353634,13,40.598585
-4.707561,5,40.82798
-4.541722,3,40.980683
-3.850433,5,41.223959
-5.621411,3,41.339255
-6.354865,11,41.79537
-5.225384,5,41.988153
-5.622394,4,42.176233
-4.530329,13,42.749295
-5.320509,4,42.953456
-4.701458,3,43.079011
-6.20762,6,43.36485
-5.43474,8,43.742065
-5.657928,7,44.164241
-4.016853,14,44.807455
-5.827929,7,45.10335
-6.270575,8,45.391437
-1.855909,13,45.895261
-4.7479,13,46.485457
-5.820718,5,46.681496
-4.932497,4,46.877374
-4.642598,3,47.032872
-4.317655,9,47.405539
-5.794071,17,48.110941
-4.74411,3,48.261923
-6.471986,5,48.48621
-5.514113,3,48.64238
-5.657843,5,48.966069
-4.97346,4,49.145268
-4.06432,13,49.708948
-3.132648,11,50.136205
-5.567442,7,50.407721
-4.507614,7,50.679441
-4.884798,7,50.987116
-4.505049,13,51.652406
0.151035,17,52.47898
-3.393515,9,52.840823
-4.850457,6,53.091085
-4.051178,12,53.524455
-4.938963,5,53.703986
-5.10887,5,53.93798
-4.488106,3,54.11164
-4.134748,8,54.47593
-5.217544,4,54.657242
-4.194129,10,55.106637
-4.666685,9,55.472737
-4.316033,12,55.933537
-6.845345,6,56.195819
-4.617603,4,56.387209
-4.721069,9,56.827178
-5.54602,5,57.069013
-4.135735,10,57.482282
-4.520558,6,57.727728
-4.855317,5,57.957837
-5.585857,3,58.126398
-5.452152,5,58.373676
-4.53042,4,58.580649
-4.204848,9,59.016088
-4.693652,3,59.198838
-5.944446,5,59.421792
-5.873352,9,59.81494
-4.579782,6,60.097252
-4.417425,4,60.275873
-5.48322,5,60.503903
-5.963366,5,60.747438
-4.428862,6,61.022481
-5.725505,4,61.216262
-5.286544,5,61.459293
-4.787675,8,61.845971
-4.925841,6,62.139073
-4.980737,12,62.639384
-6.07067,4,62.839271
-3.180891,8,63.192681
-5.319681,10,63.699065
-6.05069,6,64.008102
-3.501156,11,64.480158
-5.500404,4,64.645951
-4.372012,7,64.912838
-2.738171,10,65.351173
-7.119652,4,65.51424
-4.669246,3,65.634005
-4.236123,4,65.794746
-4.203582,4,65.964828
-5.602043,6,66.240028
-6.39855,6,66.500529
-3.321959,10,66.929901
-5.690883,5,67.176641
-4.41038,4,67.38573
-4.727225,5,67.585838
-4.747574,8,68.00376
-6.501232,4,68.207481
-4.711506,4,68.379246
-6.363116,6,68.747893
-4.57952,7,69.056595
-5.584051,3,69.185417
-2.698502,7,69.507961
-3.239072,5,69.666605
-3.336138,5,69.869768
-6.568965,4,70.039843
-3.32464,6,70.28802
-5.467249,6,70.579896
-5.480037,11,71.039327
-5.528392,7,71.363909
-7.112622,7,71.717708
-5.720845,4,71.890664
-5.93677,4,72.092414
-4.024022,4,72.304385
-6.061024,5,72.471223
-5.57572,3,72.60357
-5.276806,6,72.834117
-4.043893,7,73.155566
-5.948232,4,73.347203
-3.558853,8,73.699501
-3.811132,7,73.958056
-7.741698,5,74.171909
-5.574511,3,74.346112
-4.518154,4,74.522174
-4.621276,3,74.680786
-5.907274,6,74.929839
-4.361678,3,75.074201
-3.140685,8,75.402208
-3.437401,5,75.692139
-4.608128,3,75.829095
-5.601891,3,75.962166
-4.733091,3,76.124939
-6.624667,8,76.587423
-4.729875,4,76.808787
-5.455117,5,77.043063
-5.40942,4,77.243379
-3.788816,8,77.611406
-3.618396,10,78.010862
-5.282904,4,78.225993
-5.87225,7,78.475048
-5.382458,8,78.808714
-5.626658,3,78.99535
-3.316217,6,79.260562
-4.442428,5,79.52651
-4.66799,3,79.64201
-5.330242,4,79.818668
-4.712274,4,79.991449
-4.3482,6,80.210055
-2.798481,8,80.537083
-6.181808,6,80.776937
-4.718963,3,80.924215
-3.298696,11,81.386095
-5.878584,15,82.009485
-5.493354,4,82.197095
-4.198665,5,82.405684
-5.74778,4,82.590965
-3.909375,9,82.999107
-5.930199,6,83.378577
-5.415771,4,83.568097
-5.20373,4,83.772062
-4.701167,3,83.861426
-6.601936,7,84.150559
-6.87723,15,84.770054
-5.637839,5,84.948425
-5.604936,5,85.2765
-5.666138,7,85.548357
-5.157651,8,85.830785
-0.799472,12,86.33908
-5.361673,4,86.494291
-4.667592,7,86.760714
-5.566536,3,86.89388
-4.68707,4,87.083222
-4.06981,13,87.603678
-5.808526,5,87.833041
-4.0385,9,88.20008
-4.671428,3,88.299166
-7.363177,8,88.633013
-6.546668,9,89.03124
-4.638294,3,89.174251
-3.803077,6,89.453804
-5.262527,8,89.838354
-5.109013,5,90.061663
-5.163873,5,90.267179
-4.718072,3,90.372235
-5.664424,5,90.594963
-5.256671,4,90.754986
-5.960753,4,90.908367
-8.676308,6,91.145266
-3.950977,11,91.593464
-6.912063,6,91.940719
-5.770482,5,92.207021
-4.144353,4,92.371207
-4.594004,3,92.526085
-4.770171,7,92.811173
-5.592312,4,92.971989
-4.679406,3,93.136295
-5.978618,8,93.530867
-5.049145,5,93.74044
-4.459652,4,93.920562
-5.718275,4,94.155391
-4.682066,4,94.343222
-5.816003,4,94.5343
-8.24817,8,94.896556
-5.939459,5,95.106886
-4.631251,3,95.256026
-4.253886,9,146.912814
-3.70539,7,147.181041
-5.305976,7,147.4145
-5.276276,9,147.746908
-6.015713,4,147.906222
-5.724661,6,148.147096
-6.912702,8,148.430235
-6.186808,25,149.334257
-5.547403,5,149.509699
-4.828459,4,149.651452
-6.226493,9,149.969719
-4.275476,5,150.161556
-5.353216,11,150.554221
-2.052594,8,150.854086
-6.585918,7,151.100632
-4.716144,12,151.565535
-5.612487,5,151.753857
-3.205304,8,152.091561
-6.207222,11,152.521882
-1.832215,19,153.235917
-8.456719,10,153.590724
-4.999278,4,153.769547
-5.256637,5,153.973847
-4.995567,5,154.165049
-4.600509,8,154.624712
-5.222384,4,154.784204
-4.979063,16,155.373744
-6.106556,8,155.671345
-5.404919,10,156.050853
-4.394666,3,156.184121
-2.539896,12,156.652877
-6.010908,4,156.801171
-4.807368,5,156.990087
-5.105337,5,157.193503
-4.780739,9,157.53984
-4.128394,6,157.799516
-6.656341,3,157.921633
-5.457416,8,158.203521
-2.693077,6,158.426728
-1.649107,10,158.806489
-2.571607,8,159.111742
1.337587,20,159.924293
-0.388233,21,160.738946
-6.507971,9,161.107658
-5.396289,6,161.338903
-5.019458,8,161.644511
-5.608733,6,161.896968
-5.425936,5,162.093029
-4.710715,3,162.215836
-5.689144,6,162.38459
-7.319709,7,162.696478
-7.04224,9,163.052064
