#{"t_start": 1730800626.3722336, "env_id": "BicycleMaze-v0"}
r,l,t
-5.43941,4,4.947778
-4.770195,6,5.30048
-4.862551,4,5.445999
-6.470204,8,5.767687
-3.172576,6,6.019073
-7.150475,10,6.398891
-4.169176,7,6.678055
-6.702434,3,6.784649
-7.544787,10,7.194243
-6.066016,7,7.506735
-7.009263,13,8.085035
-4.010094,12,8.527032
-5.537332,10,8.955847
-4.304176,8,9.36955
-7.057114,6,9.655594
-5.625561,5,9.84102
-5.119612,5,10.077839
-6.768163,8,10.422519
-5.17857,4,10.653676
-6.648097,3,10.784234
-6.232785,4,10.954682
-5.792846,5,11.20267
-5.144184,10,11.654012
-10.454932,15,12.30722
-5.18855,5,12.54004
-6.829166,6,12.740075
-5.632014,3,12.877018
-5.51733,3,13.025438
-4.129081,10,13.425272
-5.466947,14,14.079653
-3.743911,7,14.423862
-1.666351,9,14.786182
0.333547,13,15.390072
-3.939817,8,15.712948
-5.799759,4,15.928065
-4.99684,5,16.127114
-4.725073,3,16.240446
-4.790135,4,16.448667
-4.63298,3,16.60838
-5.585153,3,16.708219
-5.3403,5,16.956949
-6.618886,3,17.080881
-4.528267,5,17.347598
-5.661284,3,17.491812
-6.172639,8,17.829801
-3.745943,7,18.086319
-4.321975,7,18.372069
-1.545486,19,19.227522
-4.696939,3,19.359347
-4.84638,10,19.798161
-7.669836,5,20.046986
-5.271209,6,20.29512
-5.361229,7,20.610085
-6.889471,5,20.818013
-4.911438,4,21.010341
-5.487117,6,21.31404
-5.993494,9,21.716729
-4.229262,6,22.020154
-4.384945,4,22.246747
-5.665558,3,22.378163
-4.714831,4,22.549643
-6.445358,6,22.750262
-4.778313,4,22.933412
-4.698512,7,23.198228
-5.646735,4,23.380144
-4.491898,5,23.611725
-6.460552,7,23.934807
-5.901478,9,24.349292
-5.447223,8,24.736821
-2.730056,9,25.138062
-4.182577,4,25.319765
-6.374926,12,25.814012
-7.406631,9,26.2128
-6.96996,7,26.511906
-3.932518,6,26.800949
-4.777201,10,27.206214
-4.945818,5,27.410272
-4.190846,6,27.660736
-5.402315,6,27.937524
-4.242806,10,28.415153
-4.647956,5,28.558034
-2.984062,7,28.865812
-4.502077,3,28.98334
-7.160302,5,29.179937
-5.118596,6,29.447356
-1.079099,17,30.178416
-6.383119,5,30.457204
-6.95987,8,30.808363
-6.989969,5,31.057734
-2.872905,10,31.53966
-4.64545,7,31.818699
-4.505429,3,31.939767
-6.874457,13,32.446002
-4.405242,4,32.589067
-4.40836,3,32.722874
-5.656145,5,32.915503
-4.1375,7,33.226772
-7.42109,8,33.579853
-5.135286,9,34.006891
-6.507294,7,34.29522
-5.729744,3,34.443057
-4.359695,8,34.778543
-3.894902,7,35.109847
-6.711849,9,35.498827
-6.738553,4,35.676955
-5.336614,8,35.979784
-3.833582,6,36.225166
-4.451388,5,36.42942
-5.038179,6,36.661771
-5.662321,6,36.941964
-6.718263,6,37.213429
-4.788215,3,37.300865
-5.784076,4,37.473118
-5.538285,5,37.732665
-5.001165,8,38.025364
-3.647672,10,38.488547
-0.266926,13,38.969954
-4.695264,5,39.178205
-5.599302,4,39.329137
-6.285087,8,39.659117
-3.723912,6,39.943393
-3.854745,4,40.144194
-4.811631,7,40.438116
-5.778914,4,40.595204
-5.634886,4,40.82265
-6.554999,4,41.005008
-4.552718,4,41.179291
-5.617169,7,41.481743
-4.408733,8,41.796689
-5.476398,5,42.010496
-5.658023,3,42.171226
-4.520497,8,42.482661
-4.113981,4,42.704291
-5.658601,5,42.907239
-8.300493,5,43.136747
-3.689686,10,43.624634
-4.745043,4,43.875338
-1.636823,17,44.696033
-3.867437,5,44.912064
-6.809661,8,45.213895
-2.652388,10,45.596944
-5.787908,10,45.964067
-6.880934,5,46.254021
-3.964835,8,46.563056
-5.566126,3,46.702231
-5.720723,7,47.055095
-5.105169,5,47.249703
-5.733753,4,47.429674
-3.536395,14,47.995508
-5.219956,5,48.246166
-5.668934,3,48.370777
-5.399849,9,48.900367
-5.809162,5,49.123975
-4.810576,7,49.393254
-4.608196,3,49.542872
-4.746713,3,49.655733
-5.786608,7,49.928728
-6.062721,8,50.245841
-4.91513,4,50.402055
-2.878733,6,50.650679
-4.649476,4,50.822848
-7.567221,6,51.11449
-5.741104,10,51.682305
-7.241054,5,51.936965
-6.999376,6,52.185672
-9.073619,8,52.519764
-5.75203,4,52.67206
-6.013913,4,52.845399
-6.229444,5,53.069786
-5.831655,8,53.330305
-5.588866,7,53.585489
-5.36384,3,53.708303
-6.225057,5,53.995206
-5.346714,9,54.414441
-4.734221,3,54.540807
-6.988877,5,54.744233
-4.438161,4,54.945581
-5.126999,7,55.237753
-5.372637,6,55.483785
-3.008277,11,55.909101
-1.520921,15,56.605859
-5.662616,6,56.903575
-4.724467,3,57.028362
-6.480618,12,57.530008
-5.611368,9,57.958693
-6.162519,4,58.153136
-4.498409,4,58.385319
-4.701291,10,58.829279
-5.495892,10,59.35892
-3.500173,13,59.932657
-6.304917,4,60.10199
-4.42105,8,60.478603
-4.382426,7,60.814176
-9.662919,11,61.340751
-4.727922,4,61.538667
-9.004551,5,61.781799
-4.363726,3,61.923304
-3.276617,6,62.166412
-3.782002,5,62.420438
-5.642548,3,62.52595
-5.454435,6,62.818527
-5.07959,7,63.129227
-3.98865,6,63.416748
-4.436797,3,63.581597
-2.690579,8,64.013214
-3.663598,13,64.530518
-8.353189,8,64.848917
-5.694477,3,64.966202
-3.063345,7,65.278732
-3.962893,15,65.902388
-7.456686,3,66.024659
-6.529797,7,66.331019
-4.20944,8,66.684725
10.499083,1,66.745311
-5.214864,9,67.167256
-2.999417,8,67.518237
-6.372628,5,67.745331
-8.712839,7,68.145373
-5.693578,3,68.262795
-4.719743,3,68.394803
-4.598278,5,68.754319
-4.801472,8,69.071156
-4.855202,5,69.292168
-4.694095,15,69.8822
-5.886697,4,70.052877
-3.556278,6,70.317006
-6.411237,4,70.505582
-3.897594,9,70.885804
-7.012876,9,71.297156
-3.058252,6,71.602275
-5.481215,4,71.778232
-4.579365,4,71.980495
-7.355986,10,72.402629
-5.970603,6,72.638499
-4.804258,5,72.881425
-7.192038,9,73.278295
-5.687528,3,73.438162
-4.999461,5,73.638732
-1.60763,10,74.005235
-4.907002,8,74.40674
-5.286915,6,74.685313
-5.678541,4,74.862541
-2.383912,11,75.343232
-5.32479,4,75.577703
-4.671886,3,75.712663
-4.398102,6,76.009506
-6.085101,6,76.357883
-5.83762,4,76.594143
-6.319289,5,76.841092
-5.58838,6,77.12845
-4.75006,5,77.359713
-4.531759,4,77.543182
-6.944533,4,77.73845
-5.941925,5,77.895428
-8.591838,10,78.314283
-5.788551,8,78.648005
-4.438612,4,78.879917
-5.504701,3,79.008868
-4.694224,4,79.195108
-4.672319,3,79.346794
-6.212092,5,79.576555
-4.682606,12,80.041161
-5.772945,4,80.202312
-4.633407,3,80.319552
-5.461241,6,80.574496
-4.264193,8,80.964535
-1.061492,15,81.534844
-7.02368,7,81.84788
-4.42152,15,82.53563
-4.847121,11,83.033172
-4.866691,4,83.304323
-4.92278,5,83.546563
-4.268583,5,83.747004
-5.754978,14,84.341403
-4.753563,4,84.514477
-5.342729,5,84.712324
-7.066566,4,84.831981
-4.989481,9,85.311136
-5.753156,11,85.717357
-5.105789,9,86.110241
-4.98427,6,86.338642
-5.978623,6,86.55618
-4.878513,8,86.91241
-6.522058,9,87.286041
-3.379607,5,87.488245
-4.642403,3,87.621309
-3.309634,11,88.085646
-3.539617,7,88.344606
-4.068415,16,89.05782
-5.506443,9,89.455341
-4.994627,5,89.724929
-3.796216,4,89.898721
-6.400364,12,90.394615
-4.605554,3,90.519769
-4.714523,3,90.639553
-7.375871,6,90.877818
-8.921371,9,91.263458
-4.696818,3,91.378447
-5.960035,5,91.587928
-4.555761,3,91.742406
-4.095656,4,92.010465
-4.910605,6,92.254837
-4.768237,8,92.593873
-1.090219,15,93.319923
-3.951019,8,93.675018
-3.546781,6,93.990876
-4.786988,4,94.172203
-5.85554,6,94.485693
-4.175191,5,94.711091
-5.732222,4,94.843451
-5.768307,4,95.039557
-7.888948,7,95.317934
-6.244278,5,146.841661
-5.736824,3,146.956525
-2.94407,6,147.175562
-5.189277,5,147.337531
-2.977079,6,147.548311
-4.588255,5,147.750725
-5.567195,4,147.917737
-4.702085,6,148.127923
-3.691314,8,148.418526
-4.52889,7,148.651189
-1.795188,13,149.128641
-0.839333,14,149.634925
-4.872035,6,149.853284
-6.089322,5,150.044502
-3.580298,8,150.321761
-5.041226,8,150.608259
-4.255099,6,150.840794
-6.24033,7,151.106315
-4.67448,4,151.28025
-5.064702,14,151.809182
-2.712024,11,152.234162
-5.634679,7,152.490071
-5.68166,7,152.746574
-4.563992,4,152.924187
-5.093558,7,153.189519
-5.735839,9,153.526388
-5.665183,6,153.786645
-6.436012,4,153.960319
-4.665491,3,154.050118
-4.630855,4,154.353761
-6.30202,5,154.559219
-4.484309,8,154.820474
-3.744862,5,155.021852
-4.844856,9,155.377386
-8.038116,7,155.653885
-5.628009,6,155.844135
-3.693569,11,156.275913
-4.675271,10,156.68673
-4.518851,7,156.960659
-4.579208,17,157.641177
-5.837522,6,157.877064
-3.536261,19,158.575561
-3.307944,11,158.996309
-4.726599,4,159.170363
-2.961727,15,159.758275
-4.791938,4,159.952812
-2.873659,10,160.325477
-4.714161,3,160.424454
-4.706997,3,160.529456
-4.92513,8,160.86219
-4.632747,7,161.161351
-6.441631,7,161.397531
-4.701911,3,161.529077
2.898818,22,162.362079
-6.163569,4,162.52767
-2.59984,10,162.93363
-3.409431,6,163.208487
-3.12223,11,163.611847
-5.12013,9,163.970115
-4.436565,5,164.195655
-4.821517,4,164.357168
-4.789672,4,164.516443
-3.656339,9,164.80871
-8.847779,9,165.150455
-5.74981,9,165.544878
-5.554147,4,165.696569
-4.791939,10,166.091449
-6.067714,5,166.333204
-6.532333,5,166.520582
-6.599847,8,166.934956
-5.515499,9,167.307587
-6.650257,3,167.434947
-3.831575,12,167.879429
-1.335783,21,168.713398
-5.720644,7,168.990693
-6.91836,8,169.318485
-0.803071,11,169.768877
-5.398457,6,169.987423
-3.617885,10,170.358261
-3.746658,11,170.826244
-4.367828,10,171.304989
-5.22414,5,171.500883
-4.854976,4,171.694505
-5.656649,3,171.805271
-5.476012,5,172.005368
-5.020361,5,172.21845
-2.06008,9,172.52562
-4.755658,10,172.913443
