#{"t_start": 1730800626.0318651, "env_id": "BicycleMaze-v0"}
r,l,t
-3.207702,6,74.798353
-6.155015,5,75.02376
-3.615788,5,75.250807
-4.560507,6,75.525745
-7.18681,6,75.808369
-7.238816,11,76.35088
-5.192371,9,76.875053
-4.495018,3,77.033722
-7.440703,11,77.562423
-5.655091,3,77.698576
-4.326928,4,77.88255
-5.638202,3,78.030091
-4.542944,4,78.163789
-5.045893,5,78.40109
-4.623212,3,78.541181
-6.862811,5,78.699984
-5.105968,5,78.90027
-3.460488,13,79.532408
-4.405969,4,79.750441
-5.127327,5,79.963735
-5.263595,6,80.216384
-9.814017,12,80.662932
-3.692761,7,80.955426
-4.792532,7,81.301792
-5.631489,6,81.546109
-7.577625,6,81.756004
-4.935981,5,81.97472
-7.080413,5,82.185726
-5.608962,3,82.316805
-5.48179,8,82.67487
-5.69396,3,82.814897
-5.88233,13,83.505897
-4.140711,7,83.842548
-4.102282,7,84.147003
-5.717648,3,84.270683
-4.966201,5,84.478247
-2.59393,7,84.751827
-3.039621,7,85.054011
-6.2503,6,85.25248
-4.810429,7,85.651504
-4.081037,14,86.181277
-4.687237,4,86.357917
-5.077682,5,86.566062
-5.20494,6,86.788938
-4.517493,5,86.986651
-6.115119,6,87.253783
-3.627219,14,87.827613
-5.859981,5,88.058978
-1.848327,12,88.523102
-4.778292,4,88.684975
-4.110643,5,88.903152
-3.967753,4,89.059247
-4.711096,3,89.212287
-6.38719,6,89.479289
-4.654799,3,89.624071
-4.540208,4,89.79671
-7.072721,4,90.0086
-3.733567,8,90.361822
-4.731116,3,90.492114
-7.940702,5,90.693833
-5.046418,6,90.930929
-5.705432,3,91.051049
-4.706444,3,91.170715
-5.641847,3,91.284896
-4.773301,5,91.52884
-3.673592,9,91.877
-5.520406,5,92.166719
-5.638707,3,92.349327
-3.652913,6,92.597143
-5.891318,5,92.85204
-4.964916,4,92.983156
-3.94643,5,93.194413
-6.507346,7,93.556267
-6.27803,13,94.149926
-4.482191,5,94.435334
-5.630025,3,94.569158
-3.849256,6,94.878843
-5.859946,10,95.279154
-4.188831,10,95.717849
0.736276,16,147.597296
-4.775452,5,147.808378
-4.845542,4,147.932153
-5.705589,3,148.049519
-5.041444,4,148.222564
-5.14728,7,148.469294
-3.807541,4,148.614017
-4.67403,3,148.709604
-5.563303,5,148.912959
-4.428078,4,149.040392
-4.794171,4,149.176107
-6.244852,7,149.418024
0.720133,17,150.044688
-5.105686,6,150.256342
-6.257502,10,150.609441
-3.906964,5,150.815977
-5.902018,5,150.994847
-5.65746,3,151.115781
-4.369894,7,151.374326
-1.579947,10,151.745212
-5.576805,3,151.86062
-4.315243,5,152.053444
-5.29613,5,152.264661
-4.5994,3,152.380977
-3.519712,6,152.628901
-0.92126,14,153.153977
-4.705966,16,153.747902
-0.283835,12,154.247483
-5.413617,4,154.393513
-4.082248,5,154.733681
-3.586736,5,154.941387
-3.006918,9,155.257514
-5.711156,7,155.502577
-6.161102,4,155.664654
-2.443465,15,156.227074
-4.661047,3,156.365913
-6.383026,5,156.517179
-4.75355,3,156.65951
2.970273,22,157.524291
-4.875666,7,157.807421
-2.985679,10,158.219446
-4.624215,3,158.334299
-5.36509,6,158.545738
-5.92731,5,158.734274
-3.344647,10,159.122199
-3.964822,9,159.468801
-5.652183,4,159.653236
-4.295561,9,159.997741
-5.524276,4,160.147205
-4.453671,10,160.518967
-1.686747,10,160.916321
-3.415081,5,161.107355
-3.067256,21,161.934671
-4.810087,6,162.187556
-3.115465,6,162.440771
-3.32544,7,162.65543
-6.622316,7,162.988791
-4.657801,3,163.072303
-5.689171,6,163.335669
-4.72367,4,163.480432
-4.110476,11,163.90455
-4.435232,5,164.119054
-4.576222,3,164.23721
-5.819181,5,164.439656
-5.376513,9,164.812224
-3.85549,7,165.052211
-5.538822,6,165.256315
-6.510666,8,165.561219
-5.191026,4,165.726096
-4.616148,4,165.935943
-5.185426,9,166.277212
-5.509159,5,166.482142
-4.410913,4,166.673572
-2.35669,15,167.369301
-4.711747,3,167.46328
-6.380007,11,167.937593
-7.693035,6,168.152441
-4.305249,9,168.506956
-4.291803,8,168.808857
-5.594725,5,169.010405
-3.156608,6,169.234253
-4.633325,5,169.447823
-5.71402,11,169.911409
-4.336348,3,170.043074
-6.593874,6,170.23328
-5.695294,3,170.383568
-4.656677,5,170.527387
-4.784372,4,170.697625
-0.983375,15,171.341029
-4.834457,5,171.540807
-8.621735,8,171.92727
-2.251039,7,172.21809
-2.167537,13,172.729444
-6.374748,6,172.970964
-8.496205,6,173.183129
-3.824607,4,173.339063
-3.391864,6,173.563485
-4.84166,5,173.757915
-5.721319,15,174.346365
-4.40784,3,174.512882
-1.979895,13,175.033688
-5.230454,6,175.292449
-5.756381,5,175.504819
-5.657962,3,175.657138
-5.095586,8,176.000568
-6.201267,8,176.329004
-5.116811,13,176.87091
-6.625975,10,177.272149
-4.714776,3,177.405454
-4.259734,7,177.729176
-6.112804,6,177.961229
-3.999358,8,178.291485
-6.254166,9,178.700333
-7.961784,4,178.882456
-5.857038,7,179.147819
-4.80791,11,179.682588
-3.48542,10,180.103945
-4.005818,7,180.432695
-3.641783,12,181.251146
