#{"t_start": 1730800626.0181086, "env_id": "BicycleMaze-v0"}
r,l,t
-4.808007,8,5.547536
-5.622792,6,5.800124
-8.533111,4,5.969512
-5.723304,5,6.174701
-5.056,6,6.42677
-4.424724,4,6.539273
-5.528668,3,6.660536
-6.619825,10,7.077056
-5.617021,4,7.229968
-4.653338,3,7.357542
-7.798124,13,7.903946
-6.061664,4,8.10611
-6.594794,7,8.383465
-5.086119,5,8.559293
-3.832956,11,8.989976
-5.506852,4,9.193811
-4.6483,3,9.311976
-5.031591,7,9.675671
-4.811991,12,10.193146
-4.325587,8,10.544643
-4.421536,5,10.778651
-4.701088,3,10.961263
-5.166281,9,11.359203
-4.934628,5,11.608127
-8.401299,11,12.097343
-6.679121,8,12.458081
-6.418523,18,13.188802
-5.888363,4,13.381204
-3.757668,6,13.615996
-6.552954,3,13.728503
-4.593198,3,13.87422
-4.304705,5,14.110131
-5.469789,4,14.277582
-7.024507,8,14.6806
-4.540107,3,14.832199
-6.26766,5,15.019479
-4.533126,5,15.249259
-6.672354,3,15.383483
-4.658728,8,15.744197
-6.04167,5,15.926784
-6.89287,11,16.43656
-5.909891,4,16.594571
-4.760745,5,16.849012
-5.485763,5,17.064351
-5.171588,6,17.376087
-6.61508,4,17.53201
-6.793297,3,17.700721
-5.835927,6,17.964496
-8.633074,12,18.440444
-1.490397,15,19.077921
-4.972437,4,19.276393
-4.729905,7,19.582652
-4.916552,4,19.76433
-6.101127,6,20.009722
-4.674314,4,20.218105
-6.112685,5,20.445949
-5.698524,4,20.594338
-5.100424,9,21.015938
-6.915131,6,21.276289
-5.65364,9,21.711843
-5.053856,5,21.917838
-4.940991,6,22.221269
-5.059412,5,22.502742
-4.762867,5,22.733287
-6.686104,3,22.849463
-5.77069,4,23.017449
-4.540416,5,23.202524
-6.280365,10,23.594342
-4.669665,4,23.784855
-4.707339,3,23.909231
-5.396268,6,24.18444
-6.771624,5,24.456123
-4.788761,4,24.60715
-3.656788,5,24.83961
-4.663052,3,25.003283
-3.938284,9,25.399389
-5.544796,7,25.727183
-3.078341,6,25.973318
-4.369658,12,26.455663
-4.540636,5,26.684598
-3.991996,5,26.920892
-4.373924,3,27.076157
-3.448929,7,27.357394
-3.596861,9,27.708597
-4.486129,7,28.013846
-6.71419,4,28.193118
-5.474619,3,28.34462
-3.844145,5,28.567412
-3.316097,8,28.86879
-4.70492,3,29.0069
-6.050263,15,29.654645
-4.569608,6,29.905066
-4.663648,5,30.10891
-6.165182,5,30.311083
-5.164346,8,30.708583
-3.533443,12,31.233054
-4.648992,4,31.473372
-5.039108,7,31.781206
-8.41635,5,32.002882
-4.413253,4,32.171817
-4.380724,3,32.292888
-3.953368,5,32.473074
-2.871324,7,32.752963
-4.692439,8,33.078023
-7.7115,6,33.316061
