#{"t_start": 1730800626.0223053, "env_id": "BicycleMaze-v0"}
r,l,t
-4.549934,3,5.230738
-5.896856,4,5.477765
-4.652436,3,5.651913
-4.365169,12,6.119611
-4.777329,5,6.318308
-4.300375,6,6.535076
-5.653912,8,6.854549
-6.052894,5,7.07184
-5.093838,6,7.313157
-4.433082,5,7.482978
-8.2453,6,7.766639
-5.730542,4,7.950342
-5.535338,9,8.327828
-4.727307,13,8.834095
-3.782687,7,9.140014
-7.590136,8,9.530289
-5.56708,5,9.770477
-6.649169,4,9.951523
-3.134517,6,10.195643
-4.193074,15,10.908624
-4.4092,4,11.090816
-4.697184,3,11.191943
-4.691201,5,11.457317
-4.655586,8,11.822703
-4.011314,4,12.002936
-6.9939,7,12.295384
-5.655044,3,12.450866
-6.695645,5,12.65415
-4.708737,3,12.784287
-4.915089,5,12.978022
-5.584792,3,13.092599
-5.763459,4,13.270817
-5.203028,5,13.487027
-4.737959,7,13.774202
-4.374453,4,13.972723
-5.49847,5,14.1857
-4.738419,3,14.321656
-4.554137,3,14.487772
-3.460733,5,14.727715
-4.481584,4,14.892207
-5.743705,8,15.245063
-7.207637,4,15.438972
-4.718219,6,15.688208
-4.071968,11,16.164566
-4.626549,8,16.521236
-5.8762,4,16.696276
-4.20905,10,17.161993
-5.045822,6,17.431875
-4.790993,9,17.888139
-4.943256,5,18.094588
-5.565029,5,18.29587
-4.670289,3,18.380801
-7.242428,8,18.721997
-5.800166,5,18.955143
-5.000937,4,19.120808
-4.734741,7,19.45772
-5.095394,5,19.661641
-7.298605,7,19.958452
-5.517083,4,20.148089
-5.500121,4,20.333021
-5.877001,8,20.704564
-5.754329,12,21.219246
-4.705895,3,21.36027
-5.974835,4,21.564694
-5.744449,6,21.848417
-4.711593,3,21.967256
-4.721138,3,22.107908
-4.462413,6,22.416445
-7.789055,10,22.897644
-3.447558,8,23.198327
-4.678373,5,23.414095
-4.483199,4,23.548156
-5.656487,12,24.066542
-4.615307,3,24.233519
-4.730623,3,24.392394
-5.422566,10,24.833409
-4.255479,5,25.088754
-5.776726,5,25.318989
-2.278927,12,25.852679
-4.347109,8,26.161811
-6.017977,14,26.764035
-7.101688,5,27.019219
-4.820412,8,27.35219
-4.370708,11,27.81591
-4.811922,4,27.968456
-3.344313,8,28.339423
-6.638303,7,28.636548
-3.083242,16,29.279025
-6.785994,7,29.589339
-4.630166,3,29.726281
-5.692789,3,29.857674
-2.907003,11,30.305888
-6.690825,5,30.530349
-6.542882,7,30.903913
-1.638754,9,31.282613
-7.636691,5,31.573458
-4.478821,5,31.779011
-2.862541,18,32.508559
-5.087873,6,32.748766
-5.44362,4,32.887064
-4.65636,3,33.025908
-2.414604,15,33.678321
-4.758336,5,33.886685
-5.514018,7,34.13966
-3.833917,5,34.465479
-6.234205,9,34.842582
-4.476084,4,34.993837
-5.575186,7,35.293019
-6.231374,7,35.625831
-7.203369,4,35.801968
-5.532443,4,35.972185
-5.462101,3,36.093833
-5.141721,7,36.372912
-4.438921,4,36.523904
-4.731184,3,36.660141
-5.690587,3,36.780421
-5.87111,6,37.011606
-5.899089,6,37.292899
-5.214426,5,37.518225
-6.430243,5,37.698779
-4.675826,4,37.884742
-4.155175,5,38.1345
-8.292264,8,38.430156
-4.36289,3,38.577238
-4.071935,9,38.956409
-4.40251,5,39.140377
-6.009922,7,39.391906
-5.553066,3,39.527134
-6.695566,3,39.623312
-7.040843,5,39.856979
-5.862772,5,40.078275
-7.09081,6,40.356904
-7.134648,5,40.562391
-4.172396,6,40.82957
-6.004471,4,40.990236
-5.951867,7,41.352929
-6.473563,5,41.572749
-4.683299,3,41.703485
-6.888247,4,41.885467
-5.452968,6,42.096696
-3.399815,6,42.360425
-6.174874,5,42.618314
-6.026819,5,42.78037
-6.121168,4,42.983791
-4.702149,3,43.130605
-4.625072,3,43.255166
-5.345002,6,43.535034
-5.493562,5,43.777078
-5.545585,4,43.973567
-6.928264,6,44.338639
-4.961625,4,44.559704
-4.258669,5,44.805919
-4.161115,8,45.122864
-4.53972,5,45.336835
-6.779324,9,45.674504
-4.976904,5,45.874324
-1.348181,11,46.266043
-6.105403,5,46.534325
-5.845169,5,46.765949
-6.988691,4,46.912985
-4.267773,5,47.159879
-6.931784,6,47.450715
-4.827428,5,47.642548
-4.702991,3,47.779602
-4.638477,6,48.037316
-3.716616,7,48.291821
-5.213946,5,48.547535
-2.889513,18,49.474907
-2.364856,8,49.795958
-3.15491,6,50.052516
-6.285464,8,50.370701
-6.557381,22,51.272285
-2.238877,9,51.665549
-4.504442,3,51.88584
-1.412773,12,52.476252
-4.678992,4,52.667136
-5.687648,4,52.818918
-6.878268,4,52.980288
-5.865341,9,53.373611
-4.839868,5,53.550208
-1.181169,17,54.222914
-3.940374,8,54.610474
-3.468922,5,54.83909
-5.680327,7,55.141517
-5.418517,6,55.408038
-3.955458,4,55.585675
-5.600124,5,55.772038
-4.725733,3,55.90556
-6.427712,7,56.167032
-4.46681,7,56.478142
-4.46521,5,56.734258
-5.305185,10,57.205685
-4.300863,5,57.428324
-4.722287,4,57.588295
-3.499442,6,57.837814
-5.587693,6,58.107477
-6.712083,4,58.307606
-4.702234,11,58.863031
-6.682081,8,59.25166
-4.834962,4,59.489719
-5.3809,5,59.710865
-5.013772,4,59.867558
-4.613201,7,60.211846
-6.22852,8,60.564141
-4.674047,4,60.741907
-5.37322,5,60.979972
-4.619915,13,61.589272
-4.17903,8,61.980131
-4.377973,5,62.226592
-3.862854,10,62.667112
-4.297846,4,62.831877
-5.576857,3,62.974961
-4.700586,3,63.120461
-2.779231,9,63.527156
-1.059336,11,64.118464
-6.934882,18,64.881451
-5.749635,4,65.0103
-4.221326,4,65.197842
-4.894636,4,65.370633
-5.000832,6,65.62466
-4.978219,11,66.071243
-5.558777,3,66.201324
-6.571727,4,66.371588
-4.788052,4,66.581425
-7.427423,7,66.857681
-5.624726,4,67.03053
-4.684449,7,67.35158
-5.028568,4,67.571961
-5.889592,5,67.762576
-4.510433,8,68.159256
-3.644218,9,68.609722
-4.693158,3,68.745732
-4.586878,4,69.033717
-2.739445,9,69.421085
-4.628903,3,69.528641
-4.3697,9,69.902124
-5.953689,5,70.105262
-5.965272,5,70.320931
-3.447877,5,70.522515
-3.692542,7,70.856517
-5.106197,7,71.139691
-5.711951,3,71.273823
-4.647166,12,71.839529
-4.853198,4,72.043374
-4.71117,3,72.190392
-4.700494,6,72.488745
-5.759923,8,72.794392
-4.715175,5,72.987364
-4.836341,4,73.186486
-4.527282,4,73.332916
-2.737732,15,74.037362
-1.17712,14,74.636059
-6.500251,4,74.80892
-4.522353,5,75.035242
-8.351049,6,75.311204
-4.170901,4,75.476739
-3.972145,10,75.989432
-4.990612,4,76.144269
-4.026349,7,76.573486
-5.58075,3,76.706812
-6.108498,8,77.128201
-3.888928,6,77.425884
-5.244238,8,77.790993
-2.679375,9,78.175355
-6.620425,7,78.510578
-0.523169,12,78.9496
-5.722857,3,79.114735
-4.035597,7,79.44488
-4.325364,7,79.810242
-5.700755,3,79.925485
-5.498813,7,80.224939
-4.793534,10,80.597584
-5.065908,5,80.815898
-3.278019,9,81.206353
-6.788816,5,81.428953
-6.980638,5,81.624594
-7.419645,10,82.043584
-3.319443,10,82.477764
-5.197301,5,82.681427
-4.249008,5,82.933499
-5.643345,3,83.067344
-4.598779,5,83.295292
-4.551841,3,83.515457
-5.173377,16,84.23363
-5.44246,4,84.383047
-7.900569,5,84.588446
-5.820155,6,84.862402
-5.659654,4,85.000536
-4.989313,8,85.334078
-4.701865,3,85.549501
-3.826425,5,85.733248
-3.129989,6,85.962347
-4.318026,4,86.118685
-5.634733,5,86.315311
-6.38396,8,86.647074
-4.951943,4,86.798498
-2.484675,9,87.172828
-5.722796,3,87.318755
-3.453447,6,87.562158
-5.433201,6,87.787483
-6.041697,5,88.0169
-4.377057,9,88.374142
-2.617445,10,88.805289
-5.293235,5,88.98641
-4.307317,6,89.267743
-4.65674,3,89.406745
-4.597332,4,89.592328
-3.226292,6,89.864322
-4.206518,5,90.128243
-4.117576,4,90.296158
-5.797173,8,90.60773
-4.191905,4,90.787234
-7.552433,10,91.181279
-1.550913,19,91.991738
-4.607131,3,92.177241
-4.592379,3,92.358886
-4.122962,5,92.552479
-5.718891,3,92.707974
-2.341334,10,93.143139
-4.698759,3,93.274236
-5.729061,5,93.516411
-8.018338,4,93.720648
-4.634082,3,93.863149
-6.603811,9,94.278567
-1.663963,8,94.677974
-4.702208,3,94.830837
-5.662558,9,95.193379
-7.792177,5,95.437967
-4.828986,6,95.667862
-5.671171,3,147.098796
-4.665714,3,147.226846
-6.360306,6,147.464042
-0.204803,16,148.02048
-4.718541,3,148.143723
-4.648724,4,148.306233
-3.677895,6,148.529237
-3.840015,9,148.852006
-4.631407,5,149.000097
-5.475416,6,149.227238
-7.418715,7,149.481261
-4.904217,10,149.83934
-6.971615,6,150.054248
-4.557331,3,150.16022
-4.50059,6,150.393431
-5.520825,8,150.67169
-3.56109,8,150.958188
-6.340407,4,151.129343
-5.731246,4,151.271359
-3.792562,8,151.583977
-1.425211,11,151.98941
-5.406243,3,152.10641
-5.711919,3,152.221892
-3.836772,9,152.578574
-5.245506,7,152.843026
-6.79191,7,153.0945
-5.251729,5,153.321153
-3.747448,6,153.540034
-5.593723,5,153.697162
-6.244865,5,153.923337
-0.533767,14,154.591426
-4.427798,6,154.861474
-4.571774,10,155.220419
-5.870242,4,155.373784
-7.74482,8,155.674214
-7.178096,6,155.901469
-5.536263,3,156.045983
-4.686381,8,156.328188
-6.41385,6,156.523735
-4.540964,5,156.755583
-6.808481,5,156.953269
-5.410675,5,157.131099
-3.968271,10,157.537851
-3.130835,12,158.030939
-6.642466,5,158.230006
-4.431822,18,158.878275
-4.513336,5,159.093153
-3.840628,6,159.3057
-5.931633,5,159.518773
-6.533956,7,159.823265
-5.035601,8,160.109215
-4.715946,3,160.260617
-6.418987,5,160.428504
-4.780342,4,160.578013
-4.794881,4,160.732565
-4.721472,5,160.92688
-4.230909,5,161.117915
-3.44838,7,161.430696
-3.67494,15,162.004237
-4.136684,5,162.198116
-4.311385,5,162.393337
-5.262894,8,162.661907
-4.727881,3,162.813158
-4.635863,3,162.930974
-5.81967,5,163.127433
-1.353085,11,163.601121
-3.80832,10,163.961775
-5.634668,5,164.184861
-4.563808,7,164.451905
2.774065,19,165.158639
-5.395944,4,165.308059
-5.819698,8,165.614552
-7.088795,6,165.895803
-4.439104,9,166.24656
-5.963626,5,166.443377
-5.597408,4,166.636225
-4.383506,8,166.970933
-5.082798,13,167.547111
0.591895,24,168.516516
-3.0554,11,168.920992
-4.025989,9,169.287829
-3.950818,7,169.560349
-5.65827,3,169.721463
-6.383398,4,169.880384
-5.680484,19,170.58877
-4.586084,4,170.768189
-5.156291,5,170.982882
-5.324002,6,171.22745
-4.653641,3,171.346991
-2.331261,9,171.787569
-5.230267,8,172.112088
-2.885747,9,172.471097
-3.352425,6,172.688706
-3.288842,11,173.11134
-4.877959,4,173.260221
-5.004855,6,173.473574
-5.043911,8,173.823696
-3.223837,7,174.080039
-5.241307,6,174.312963
0.386367,17,175.043248
-5.97209,6,175.302009
-4.948673,4,175.463304
-5.568821,3,175.616293
-3.949171,6,175.880656
-3.819993,7,176.153648
-1.943655,15,176.785088
-1.62801,10,177.216601
-6.095428,4,177.355746
-5.738407,3,177.494125
-5.532535,9,177.900119
-5.117509,13,178.448679
-3.88111,7,178.771591
-4.611497,5,178.961414
-4.669647,6,179.227611
-5.306119,5,179.500518
-5.508891,7,179.780337
-6.22148,4,179.958871
-3.552104,9,180.336636
-4.683346,3,180.487536
-2.054335,11,181.259712
-6.452722,5,181.45987
-2.647505,15,182.064198
-4.409379,8,182.333858
-5.694855,4,182.512831
-4.626987,3,182.631868
-6.98087,9,183.012113
-4.435009,3,183.141685
-6.079617,5,183.357302
-4.404933,3,183.472867
-0.465289,24,184.485834
-6.414563,7,184.739029
-3.927345,4,184.895535
-5.694097,3,185.034611
-4.757821,4,185.177135
-4.38742,6,185.40853
-1.660425,15,185.987057
-7.15076,7,186.289073
-5.715537,3,186.429614
-4.482015,5,186.672319
-4.634873,3,186.789848
-3.497739,10,187.214936
-2.33186,20,187.985304
-6.089803,6,188.241203
-7.211916,7,188.511619
-1.510778,10,188.9071
-6.8799,8,189.261061
-5.210736,4,189.619049
-4.836167,7,189.852438
-5.447802,6,190.032157
-5.657059,3,190.129155
-3.377184,9,190.47829
-4.647204,7,192.99263
-4.488375,4,193.172665
-4.744736,9,193.54715
-4.714318,8,193.857368
-4.763945,14,194.38812
-2.718075,10,194.810043
-4.735499,7,195.027226
-5.907096,6,195.256942
-6.078828,5,195.459792
-5.761315,6,195.735873
-3.621304,6,195.95642
-3.979836,11,196.408491
-5.932124,6,196.662188
-4.358804,3,196.795461
-4.367265,7,197.034227
-5.715024,3,197.144732
-6.088704,4,197.306906
1.020577,30,198.296633
-4.828108,5,198.494738
-3.631328,5,198.656471
-4.817491,7,198.976741
-4.757491,6,199.212129
-6.380707,5,199.395539
-4.680581,3,199.512231
-5.082894,4,199.64674
