#{"t_start": 1730800625.6431162, "env_id": "BicycleMaze-v0"}
r,l,t
-5.000057,5,5.72245
-4.604805,8,6.117195
-4.272157,10,6.548697
-5.073782,11,6.969778
-4.526537,3,7.071912
-4.716489,3,7.193491
-5.868294,4,7.368554
-5.035892,7,7.644559
-5.891316,6,7.861158
-4.722491,3,8.016913
-0.83111,18,8.813152
-5.347773,5,8.978192
-5.685767,3,9.098584
-4.432067,5,9.303841
-5.82684,4,9.46937
-9.73545,15,10.203976
-5.613626,3,10.331716
-9.810699,10,10.753879
-2.464644,14,11.427606
-6.344085,4,11.569625
-4.768868,4,11.785337
-6.49099,8,12.152628
-5.444189,4,12.320043
-5.576166,6,12.59663
-4.561284,4,12.786602
-4.677036,3,12.921816
-3.601587,11,13.357211
-3.698695,8,13.703151
-3.800117,6,13.943611
0.60534,19,14.808771
-5.419076,4,15.005858
-6.945287,8,15.353688
-6.608741,4,15.513298
-4.777581,5,15.762987
-3.824998,6,16.017416
-3.779026,14,16.655183
-7.422685,8,16.969563
-7.096717,6,17.271574
-3.002144,8,17.637519
-4.338195,5,17.861918
-4.927014,5,18.126824
-4.69056,6,18.388826
-3.284767,6,18.623673
-4.702889,6,18.868042
-5.523041,4,19.010741
-6.149697,6,19.275573
-5.793287,4,19.450904
-7.078349,6,19.727651
-4.455412,10,20.183575
-4.226116,4,20.335637
-6.611339,5,20.594096
-5.319271,7,20.903601
-6.56563,8,21.23655
-4.644913,3,21.389926
-4.590621,10,21.841637
-3.097764,6,22.128937
-5.729181,6,22.393751
-4.692551,3,22.53358
-5.724624,3,22.677935
-4.721611,4,22.928124
-4.79069,4,23.108279
-5.55948,3,23.225435
-3.975751,7,23.47938
-4.18547,4,23.662529
-5.634683,12,24.160841
-5.5321,8,24.498534
-3.77685,6,24.832083
-4.599486,4,24.983648
-5.313416,7,25.334188
-2.511539,13,25.918011
-4.6357,3,26.04787
-5.75386,4,26.229579
-4.610106,3,26.34931
-5.773854,3,26.445442
-4.691974,3,26.602398
-6.002934,7,26.894932
-6.046937,4,27.056579
-7.75818,8,27.453162
-3.681067,8,27.797354
-4.599725,4,27.93433
-6.704701,3,28.035717
-5.47324,5,28.264243
-5.913928,8,28.620019
-4.707311,4,28.811258
-5.651931,3,28.943409
-3.802586,10,29.33282
-5.199354,15,29.967524
-6.799139,5,30.175481
-5.712458,3,30.320041
-4.437552,7,30.615957
-8.045735,5,30.814329
-4.893825,5,31.083575
-4.578516,5,31.324681
-5.969716,4,31.485036
-5.714589,3,31.608047
-5.505882,3,31.787862
-5.653426,3,31.953656
-6.227402,20,32.788096
-5.354881,6,33.017746
-6.424474,4,33.176118
-7.200449,5,33.356295
-5.680855,3,33.506964
10.496796,1,33.550678
-4.643826,3,33.640104
-5.666398,8,34.005224
-5.705815,3,34.139188
-4.914411,6,34.376884
-5.195532,8,34.783242
-6.323551,8,35.125459
-6.593356,9,35.506657
-5.403828,5,35.732135
-4.294862,4,35.904874
-7.480292,9,36.304915
-6.075564,5,36.517617
-3.998619,4,36.6537
-5.882156,4,36.82083
-6.980591,5,37.03824
-4.699842,3,37.156534
-5.1645,9,37.53361
-6.922824,6,37.795776
-4.488483,10,38.200104
-4.819808,5,38.459247
-3.847128,7,38.703844
-6.435601,6,39.000124
-3.670411,8,39.337667
