#{"t_start": 1730800626.2114003, "env_id": "BicycleMaze-v0"}
r,l,t
-4.663055,3,5.043146
-5.034735,5,5.350302
-3.774877,5,5.549912
-4.72945,3,5.68071
-5.698843,3,5.817188
-3.220884,8,6.129213
-6.761122,4,6.290275
-4.194585,6,6.507629
-5.397326,5,6.708765
-4.66937,3,6.839888
-3.596053,6,7.079341
-6.776971,6,7.292874
-4.638494,3,7.451629
-5.879985,9,7.839225
-3.548168,8,8.191173
-0.885081,19,8.949918
-6.36792,7,9.285743
-4.504988,14,9.920912
-2.799249,14,10.531438
-6.441989,5,10.810999
-5.983787,5,11.001341
-6.368054,7,11.362497
-5.64374,3,11.501096
-5.528921,8,11.862563
-4.555456,6,12.104283
-5.153055,11,12.594184
-7.391842,13,13.133868
-4.966615,8,13.467941
-3.823794,6,13.721601
-4.641315,4,13.918843
-2.901848,6,14.18475
-3.875997,4,14.39642
-4.572412,14,14.999909
-4.867109,6,15.290725
-3.913404,9,15.665464
-6.328326,6,15.919084
-4.714227,3,16.086899
-3.801391,11,16.564389
-4.498009,8,16.924163
-4.118403,4,17.118782
-4.760534,5,17.337655
-7.29324,5,17.599808
-6.728232,6,17.858753
-4.087985,13,18.372586
-6.634762,5,18.583148
-4.562074,3,18.705212
-2.217108,10,19.157318
-4.661783,3,19.322817
-3.325782,7,19.615291
-8.748418,8,19.957994
-4.716681,3,20.091851
-3.674434,8,20.456957
-4.582016,4,20.623683
-2.849763,9,21.031219
-6.105209,4,21.218547
-3.84646,4,21.427454
-4.120932,7,21.722542
-5.014461,5,21.969354
-5.72657,3,22.11319
-6.649025,7,22.496376
-4.814286,6,22.75581
-6.5817,6,22.961561
-3.720231,7,23.274504
-4.965185,5,23.452798
-7.257587,11,23.93025
-4.080347,4,24.153313
-5.397345,4,24.340462
-6.719106,3,24.467912
-6.100007,5,24.703492
-6.223957,5,24.95947
-7.223306,8,25.298895
-4.553352,3,25.424064
-7.55696,5,25.662073
-6.702516,7,25.932504
-6.576203,5,26.147478
