rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/std,train/value_loss,train/entropy_loss
81.66666666666667,-4.335308666666666,0,256,1336,1,,,,,,,,,,,
83.2,-4.286918399999999,0,512,1274,2,0.0013072643196210265,-1.7085011005401611,12508,0.2,29.586198806762695,0.00024488987,0.0,0.0003,0.7675718665122986,59.79148292541504,-2.649379789829254
95.42857142857143,0.9122061428571427,0,768,1259,3,-0.0035569570027291775,-0.23755133152008057,12512,0.2,31.141082763671875,0.0014355031,0.0009765625,0.0003,0.7676088809967041,62.792327880859375,-2.6489543318748474
104.88888888888889,5.514125777777777,0,1024,1251,4,0.0007915126625448465,0.28563958406448364,12516,0.2,21.790786743164062,0.0008411722,0.0,0.0003,0.7676730155944824,43.886335372924805,-2.6487464904785156
115.0909090909091,6.5543499999999995,1,1280,1247,5,-0.00024518673308193684,0.30541884899139404,12520,0.2,17.86701774597168,0.0001063447,0.0,0.0003,0.7677984833717346,35.94178485870361,-2.6488118171691895
116.53846153846153,6.118632615384616,1,1536,1245,6,-0.0011680466122925282,0.8316163420677185,12524,0.2,14.269410133361816,0.00015277695,0.0,0.0003,0.7679368853569031,28.898737907409668,-2.649194359779358
123.57142857142857,9.082683428571428,1,1792,1243,7,0.0010909156408160925,0.6895717978477478,12528,0.2,18.036800384521484,9.9343015e-05,0.0,0.0003,0.7680203914642334,36.9544095993042,-2.6495439410209656
131.86666666666667,9.3414784,1,2048,1242,8,-0.0016381802270188928,-0.3079257011413574,12532,0.2,0.6944071650505066,0.005947848,0.013671875,0.0003,0.7680726647377014,1.437932938337326,-2.649712383747101
135.625,11.7625390625,1,2304,1240,9,-0.001484643784351647,0.8725153356790543,12536,0.2,11.727298736572266,0.0070935846,0.0283203125,0.0003,0.7681186199188232,24.088197708129883,-2.6497614979743958
136.0,12.958453055555555,2,2560,1239,10,-0.003562991740182042,0.41763848066329956,12540,0.2,1.8685462474822998,0.009360308,0.037109375,0.0003,0.7681242823600769,3.807271122932434,-2.649797797203064
132.75,11.70089085,2,2816,1239,11,0.0003164291847497225,0.43953830003738403,12544,0.2,17.723392486572266,0.0010276986,0.0,0.0003,0.7680984139442444,35.60871410369873,-2.649818778038025
135.9090909090909,11.67284959090909,2,3072,1238,12,-0.0021197758615016937,-0.07883262634277344,12548,0.2,29.356889724731445,0.000507582,0.0,0.0003,0.7680602073669434,58.99481773376465,-2.6497771739959717
135.9090909090909,11.67284959090909,2,3328,1237,13,0.0003601266071200371,0.3711678981781006,12552,0.2,25.41104507446289,0.0013148561,0.0,0.0003,0.7680167555809021,51.063910484313965,-2.649733603000641
144.125,11.6120665,2,3584,1237,14,-0.0016879148315638304,0.7956153750419617,12556,0.2,10.092432975769043,0.0011642745,0.0009765625,0.0003,0.7679838538169861,20.737781524658203,-2.6497055292129517
146.6153846153846,12.987848307692307,3,3840,1235,15,-0.0006869361968711019,0.4098930358886719,12560,0.2,19.251989364624023,0.0011717794,0.0009765625,0.0003,0.7679610848426819,39.26083564758301,-2.6496827602386475
145.82142857142858,13.252196857142858,3,4096,1233,16,-0.004120049998164177,-0.019122838973999023,12564,0.2,15.188133239746094,0.0018037437,0.0,0.0003,0.7679337859153748,30.51314115524292,-2.649649918079376
149.10344827586206,13.569368448275862,3,4352,1233,17,-0.0026062652468681335,0.7841240763664246,12568,0.2,7.657011985778809,0.0029049604,0.005859375,0.0003,0.7679247260093689,15.516624450683594,-2.6496142745018005
150.93333333333334,14.579197633333333,3,4608,1232,18,-0.0020692183170467615,0.8855905830860138,12572,0.2,7.169667720794678,0.0026419829,0.0078125,0.0003,0.767909049987793,14.73892092704773,-2.6496862173080444
151.83870967741936,15.226657516129032,3,4864,1231,19,-0.0020288348896428943,0.5053924024105072,12576,0.2,1.3864479064941406,0.0077846125,0.0341796875,0.0003,0.767925500869751,2.81785124540329,-2.6497413516044617
150.06060606060606,15.164816878787883,4,5120,1230,20,-0.005396223510615528,0.10101503133773804,12580,0.2,0.7779707312583923,0.003268224,0.01171875,0.0003,0.7678735256195068,1.6476409435272217,-2.649764657020569
147.83333333333334,14.251102361111116,4,5376,1229,21,0.0022584431571885943,0.7824803292751312,12584,0.2,7.775403022766113,0.0048620673,0.0166015625,0.0003,0.7678065896034241,15.67550778388977,-2.6495434045791626
147.89473684210526,14.523364631578952,4,5632,1228,22,0.0008277366869151592,-0.2673351764678955,12588,0.2,31.704273223876953,0.0010265706,0.0009765625,0.0003,0.76776522397995,63.787306785583496,-2.6491870284080505
150.15384615384616,14.73121643589744,4,5888,1227,23,0.000924972933717072,0.07890152931213379,12592,0.2,14.526220321655273,0.00013734633,0.0,0.0003,0.7677500247955322,29.244667530059814,-2.6489357948303223
151.25,14.953962200000001,5,6144,1226,24,-2.8392882086336613e-05,0.8286769986152649,12596,0.2,8.04446029663086,0.00018439116,0.0,0.0003,0.7677521705627441,16.771607875823975,-2.648798108100891
151.11904761904762,14.2364495,5,6400,1226,25,-0.0022103911032900214,-0.029709339141845703,12600,0.2,15.118650436401367,0.0011431191,0.0,0.0003,0.7676888108253479,30.475730419158936,-2.648693263530731
153.69767441860466,14.465173790697675,5,6656,1225,26,-0.00042149407090619206,0.871688723564148,12604,0.2,13.060857772827148,0.0028545542,0.0078125,0.0003,0.7676267623901367,26.924811840057373,-2.6484458446502686
