#{"t_start": 1736919827.828591, "env_id": "BicycleBalance-v0"}
r,l,t
0.731019,20,4.0424
-8.006362,9,4.050402
-6.659721,11,4.060417
-6.268398,19,4.076401
-10.142267,13,4.088399
-11.244643,8,4.095401
-10.967711,8,4.101398
-10.489063,12,4.111403
-8.561286,10,4.119869
-6.270344,13,4.133729
-9.708503,12,4.144268
-5.130693,12,4.156266
-3.029316,17,4.172266
-1.876204,16,4.184813
-7.176312,12,4.194964
-4.93841,17,4.208964
-3.755771,12,4.217964
-10.081134,7,4.226965
-7.670452,9,4.233965
-6.684271,10,4.243986
-7.802709,10,4.253965
-8.124606,13,4.267965
-9.070431,7,4.274964
-6.138937,13,4.286964
-7.994358,12,4.296966
-2.52483,16,4.31073
-8.855985,7,4.317302
-10.483739,17,4.334299
2.178344,19,4.349299
-6.5036,12,4.358306
-12.328315,15,4.371299
-7.350251,12,4.381301
-5.966398,12,4.391299
-8.047626,13,4.403301
-4.724644,11,4.414303
-9.631613,7,4.419302
-7.411058,8,4.427313
-8.862264,9,4.436299
-1.981461,18,4.451303
-3.960164,18,4.466303
-5.848757,11,4.476302
-8.039526,10,4.486311
-2.098855,19,4.504311
-2.219789,18,4.522302
-5.409994,12,4.535302
-7.355176,10,4.543305
-5.860026,15,4.5583
-12.21958,11,4.570302
-6.373482,15,4.583301
-0.736173,22,4.605539
-9.411157,12,4.619478
-1.938257,17,4.638477
-8.325686,18,4.657347
-2.557355,12,4.669094
-9.62788,9,4.679308
-9.255133,5,4.68455
-10.062618,12,4.696091
-5.342251,18,4.713668
-6.440213,12,4.723667
-6.883328,9,4.733056
-1.693121,22,4.756741
-10.743652,11,4.76774
-8.977916,11,4.77774
-7.608004,7,4.783295
-9.669296,12,4.793299
-10.308238,11,4.802299
-12.004551,9,4.811301
-7.512268,12,4.821298
-9.330626,7,4.827298
-7.816283,14,4.838299
-8.957207,6,4.845301
-7.865036,11,4.854299
-5.552781,12,4.864299
-7.372224,9,4.872299
-9.392705,12,4.8833
-7.066521,12,4.893298
