Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,左边PID数据，右边强化学习数据,Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
102,-0.015664567,-0.023306475,-0.014123608,-0.050499022,-0.897513577,-1.335362653,-0.80922313,-2.89338083,,,,,,,,,,,,,,,102,0.004985406,0.000839882,-0.001921398,-0.00083808,0.28564274,0.048121694,-0.110087981,-0.048018456
103,-0.015627713,-0.023001473,-0.013828414,-0.050241725,-0.895401998,-1.317887325,-0.79230976,-2.878638798,,,,,,,,,,,,,,,103,0.004290307,-0.00362515,0.000588582,0.002412384,0.245816495,-0.207705795,0.033723237,0.138219449
104,-0.015590769,-0.0226984,-0.013539101,-0.049993874,-0.893285263,-1.300522522,-0.775733346,-2.864437982,,,,,,,,,,,,,,,104,0.001243492,-0.007306307,0.00316724,0.002945904,0.071246843,-0.418620555,0.181469491,0.168787884
105,-0.015553475,-0.022397146,-0.013255462,-0.049753796,-0.891148474,-1.283261939,-0.759482028,-2.850682526,,,,,,,,,,,,,,,105,-0.002580514,-0.009074576,0.006452742,0.002043177,-0.147852589,-0.519934906,0.369714899,0.117065395
106,-0.015516148,-0.022107587,-0.012977324,-0.049519865,-0.889009795,-1.26667143,-0.743545895,-2.837279267,,,,,,,,,,,,,,,106,-0.005747229,-0.008062393,0.006797746,0.000880281,-0.329291964,-0.461941092,0.389482133,0.050436377
107,-0.015479058,-0.021821584,-0.012704496,-0.049290509,-0.886884694,-1.250284665,-0.727914002,-2.824138136,,,,,,,,,,,,,,,107,-0.007071291,-0.003727531,0.005326182,0.000514783,-0.405155148,-0.213571794,0.305167758,0.029494909
108,-0.015442162,-0.021537484,-0.012436786,-0.049064246,-0.884770709,-1.234006935,-0.712575349,-2.811174221,,,,,,,,,,,,,,,108,-0.005663845,0.000175436,0.003253601,0.0018367,-0.324514389,0.010051742,0.186417599,0.105235183
109,-0.015405316,-0.02125484,-0.012174497,-0.048839733,-0.882659589,-1.217812626,-0.697547296,-2.798310573,,,,,,,,,,,,,,,109,-0.005478882,0.004251281,0.001741326,0.001200008,-0.313916827,0.243580459,0.099770627,0.068755384
110,-0.015368472,-0.02097348,-0.011917068,-0.048616281,-0.880548583,-1.201691886,-0.682797701,-2.785507717,,,,,,,,,,,,,,,110,-0.004965554,0.00888701,0.001782909,-7.08E-05,-0.284505274,0.509188165,0.102153177,-0.004059037
111,-0.015332283,-0.020693308,-0.011664264,-0.048392412,-0.878475106,-1.185639213,-0.668313098,-2.772680968,,,,,,,,,,,,,,,111,-0.00306322,0.010260287,-0.000296408,-0.000806502,-0.175509601,0.587871142,-0.016982945,-0.046209157
112,-0.015295997,-0.020414863,-0.011415917,-0.048167123,-0.876396072,-1.169685489,-0.654083863,-2.759772859,,,,,,,,,,,,,,,112,0.000891988,0.009217327,-0.002953771,-3.34E-05,0.051107152,0.528113935,-0.169238623,-0.001914108
113,-0.015259376,-0.02013769,-0.011171883,-0.047939625,-0.874297843,-1.153804646,-0.640101745,-2.746738184,,,,,,,,,,,,,,,113,0.003250677,0.006883797,-0.00482781,-0.001457223,0.186250054,0.394412515,-0.276613132,-0.08349271
114,-0.015222725,-0.01986173,-0.010932033,-0.04770931,-0.872197895,-1.137993303,-0.626359352,-2.733542106,,,,,,,,,,,,,,,114,0.004864626,0.004432349,-0.00481808,-0.003465794,0.278722518,0.253954891,-0.276055673,-0.198575344
115,-0.015186296,-0.019587029,-0.010696234,-0.047475714,-0.870110667,-1.122254095,-0.612849065,-2.720158042,,,,,,,,,,,,,,,115,0.006501127,0.002898691,-0.002129842,-0.004691262,0.372487148,0.16608276,-0.122030952,-0.268789522
116,-0.015150066,-0.019313674,-0.010464391,-0.047238548,-0.868034841,-1.106592007,-0.599565439,-2.706569431,,,,,,,,,,,,,,,116,0.004486608,-0.001523034,-0.000389115,-0.004053785,0.257063703,-0.08726342,-0.022294628,-0.232264773
117,-0.015113888,-0.019041762,-0.010236791,-0.04699764,-0.865961994,-1.091012597,-0.58652492,-2.692766419,,,,,,,,,,,,,,,117,0.000441636,-0.007009128,0.001424206,-0.000788964,0.025303869,-0.401593452,0.081600985,-0.045204326
118,-0.015077703,-0.018771413,-0.010013011,-0.046753462,-0.863888747,-1.07552274,-0.573703271,-2.67877605,,,,,,,,,,,,,,,118,-0.004012789,-0.011950834,0.004049916,0.001535498,-0.229915846,-0.68473235,0.232043067,0.087977544
119,-0.015042164,-0.018502752,-0.009792916,-0.046505691,-0.861852512,-1.060129599,-0.561092756,-2.664579818,,,,,,,,,,,,,,,119,-0.007447547,-0.015004537,0.003816808,0.003767686,-0.426712999,-0.859696644,0.218686962,0.2158725
120,-0.015006535,-0.018236421,-0.009576412,-0.046254419,-0.859811121,-1.044869957,-0.54868799,-2.650182993,,,,,,,,,,,,,,,120,-0.008704957,-0.015018347,0.002064979,0.006604128,-0.498757294,-0.860487898,0.118314595,0.378388688
121,-0.014970573,-0.017972131,-0.009363436,-0.045999899,-0.85775065,-1.029727255,-0.536485365,-2.635600071,,,,,,,,,,,,,,,121,-0.006929825,-0.011132508,8.52E-05,0.006422233,-0.397049723,-0.637845724,0.00488065,0.367966832
122,-0.014934578,-0.01770992,-0.009153917,-0.045742436,-0.855688288,-1.014703672,-0.52448081,-2.620848527,,,,,,,,,,,,,,,122,-0.006135359,-0.003101502,-0.000966631,0.004445332,-0.35153015,-0.177702975,-0.05538388,0.254698741
123,-0.014898809,-0.017449889,-0.008947813,-0.045482396,-0.853638875,-0.999804993,-0.512671921,-2.605949333,,,,,,,,,,,,,,,123,-0.004810347,0.00532564,-0.000144145,0.001966846,-0.275612577,0.305136695,-0.008258894,0.112691997
124,-0.014863235,-0.017192149,-0.008745076,-0.045220189,-0.851600635,-0.985037578,-0.501055946,-2.590925978,,,,,,,,,,,,,,,124,-0.002014815,0.009419472,-0.001112107,0.000190957,-0.115440404,0.539695991,-0.063719024,0.010941019
125,-0.014827704,-0.016936786,-0.008545981,-0.044956241,-0.849564859,-0.970406356,-0.489648643,-2.575802872,,,,,,,,,,,,,,,125,0.002792531,0.009924753,-0.002411689,0.000123429,0.160000214,0.56864646,-0.138179619,0.007071971
126,-0.014792173,-0.016683904,-0.008350229,-0.044691515,-0.847529083,-0.955917285,-0.47843288,-2.56063519,,,,,,,,,,,,,,,126,0.005944854,0.007782468,-0.002827835,-0.001935776,0.340615068,0.445902571,-0.162022994,-0.110911806
127,-0.014757279,-0.016433584,-0.008157725,-0.044426067,-0.845529804,-0.941575005,-0.467403213,-2.545426139,,,,,,,,,,,,,,,127,0.008052919,0.004204127,-0.001412826,-0.004380561,0.461398251,0.240878734,-0.080948971,-0.250987683
128,-0.014722286,-0.016186344,-0.007968431,-0.044160264,-0.843524853,-0.927409197,-0.456557466,-2.530196749,,,,,,,,,,,,,,,128,0.009840906,0.000417033,-0.001894318,-0.00583686,0.563842382,0.023894231,-0.10853643,-0.33442744
129,-0.014686973,-0.015941882,-0.007782306,-0.043894504,-0.841501567,-0.913402556,-0.445893289,-2.514969823,,,,,,,,,,,,,,,129,0.007643659,-0.002518596,-0.002743063,-0.005224719,0.437949412,-0.144304921,-0.157165956,-0.299354349
130,-0.014651632,-0.01570017,-0.007599332,-0.043629159,-0.839476677,-0.899553479,-0.435409651,-2.499766674,,,,,,,,,,,,,,,130,0.003011104,-0.003763213,-0.002740118,-0.001801876,0.172523537,-0.215616222,-0.156997173,-0.103239913
131,-0.014616506,-0.015461217,-0.007419481,-0.043364603,-0.837464105,-0.88586248,-0.425104947,-2.484608732,,,,,,,,,,,,,,,131,-0.00238842,-0.002686218,-0.000958615,0.00084223,-0.136846399,-0.153908954,-0.054924566,0.048256228
132,-0.014581572,-0.015225064,-0.007242721,-0.043101147,-0.835462534,-0.87233191,-0.414977345,-2.469513815,,,,,,,,,,,,,,,132,-0.007068394,-0.003378392,-0.001098763,0.003527772,-0.404989148,-0.193567603,-0.062954466,0.202126445
133,-0.014546685,-0.014991717,-0.00706931,-0.04283907,-0.833463656,-0.858962112,-0.405041627,-2.454497909,,,,,,,,,,,,,,,133,-0.009833805,-0.004436429,-0.001694066,0.006880558,-0.563435528,-0.254188658,-0.097062811,0.394226951
134,-0.014511797,-0.014761183,-0.00689899,-0.042579085,-0.831464721,-0.845753487,-0.39528301,-2.439601866,,,,,,,,,,,,,,,134,-0.009754662,-0.004712319,-0.001572976,0.007248278,-0.558900955,-0.26999599,-0.090124892,0.415295744
135,-0.014477528,-0.014533473,-0.006731702,-0.042321016,-0.829501252,-0.832706665,-0.385698114,-2.424815602,,,,,,,,,,,,,,,135,-0.00620493,-0.003327701,0.000178498,0.005736627,-0.355516324,-0.190663223,0.010227202,0.32868454
136,-0.014443169,-0.014308982,-0.0065674,-0.042064972,-0.827532626,-0.819844278,-0.376284302,-2.410145361,,,,,,,,,,,,,,,136,-0.003055927,0.000317497,-8.64E-05,0.003564565,-0.175091706,0.018191238,-0.004948901,0.204234533
137,-0.014408498,-0.014087367,-0.006406073,-0.041811045,-0.825546125,-0.807146674,-0.367040946,-2.395596416,,,,,,,,,,,,,,,137,0.000613135,0.002473555,-0.00094074,0.001903876,0.03513004,0.141724262,-0.05390046,0.109084041
138,-0.014373788,-0.013868544,-0.00624769,-0.0415593,-0.823557388,-0.794609039,-0.357966269,-2.38117249,,,,,,,,,,,,,,,138,0.005238127,0.003991882,-0.001198356,0.001758015,0.300122585,0.228717991,-0.068660751,0.100726825
139,-0.014339298,-0.013652481,-0.006092225,-0.041309778,-0.821581257,-0.782229541,-0.34905878,-2.366875932,,,,,,,,,,,,,,,139,0.00700546,0.005614717,9.77E-05,-0.000558612,0.401383289,0.321699587,0.005595652,-0.032006119
140,-0.014305002,-0.01343915,-0.005939658,-0.041062482,-0.819616241,-0.770006575,-0.340317335,-2.352706915,,,,,,,,,,,,,,,140,0.006802605,0.003578951,-0.000709328,-0.003467455,0.389760552,0.205058787,-0.040641499,-0.198670533
141,-0.01427074,-0.013228511,-0.005790185,-0.04081741,-0.817653173,-0.75793785,-0.331753163,-2.338665324,,,,,,,,,,,,,,,141,0.005635311,-0.000473642,-0.00209287,-0.005574075,0.322879518,-0.027137688,-0.119912617,-0.31937096
142,-0.014236482,-0.013020546,-0.005643598,-0.040574963,-0.815690334,-0.746022333,-0.323354347,-2.324774134,,,,,,,,,,,,,,,142,0.004549961,-0.004926876,-0.002774854,-0.005748842,0.260693586,-0.282289201,-0.158987418,-0.329384359
143,-0.014202837,-0.012815221,-0.005499821,-0.040334711,-0.813762617,-0.734258077,-0.315116531,-2.311008708,,,,,,,,,,,,,,,143,0.004503145,-0.00836139,-0.001743213,-0.003181041,0.258011194,-0.479072358,-0.099878753,-0.182260235
144,-0.014169097,-0.01261285,-0.005358835,-0.040096525,-0.811829458,-0.722663073,-0.307038629,-2.297361656,,,,,,,,,,,,,,,144,0.001759063,-0.009619396,-0.002760516,-0.00154462,0.100786886,-0.551150792,-0.158165914,-0.08850021
145,-0.014127587,-0.012413117,-0.005220602,-0.039860288,-0.80945111,-0.711219215,-0.299118461,-2.283826273,,,,,,,,,,,,,,,145,-0.002105138,-0.007835823,-0.004156396,0.000268333,-0.120615543,-0.448959587,-0.238143949,0.015374339
146,-0.014088118,-0.012215923,-0.005085097,-0.039625897,-0.807189703,-0.699920831,-0.291354597,-2.270396658,,,,,,,,,,,,,,,146,-0.005620257,-0.002518463,-0.004587038,0.003006763,-0.322016997,-0.144297301,-0.262817946,0.172274842
147,-0.014054353,-0.01202122,-0.004952284,-0.039393228,-0.805255111,-0.688765171,-0.283744972,-2.257065706,,,,,,,,,,,,,,,147,-0.007547623,0.00266976,-0.003043611,0.002947547,-0.432446964,0.15296598,-0.174386047,0.168882025
148,-0.014023162,-0.011828973,-0.004822144,-0.039162152,-0.803467998,-0.677750229,-0.276288499,-2.243826026,,,,,,,,,,,,,,,148,-0.006927547,0.008000745,-0.003350961,0.001455554,-0.396919225,0.458408921,-0.191995896,0.083397098
149,-0.013990035,-0.011639146,-0.004694824,-0.038932572,-0.801569961,-0.666873943,-0.268993601,-2.230672061,,,,,,,,,,,,,,,149,-0.00312523,0.009540561,-0.003870248,-0.000199134,-0.179062471,0.546633879,-0.221748892,-0.01140953
150,-0.013964519,-0.011451711,-0.004570137,-0.0387048,-0.800108002,-0.656134709,-0.261849562,-2.217621687,,,,,,,,,,,,,,,150,0.00018253,0.008226138,-0.003363431,-0.000892884,0.010458202,0.471322989,-0.192710417,-0.051158471
151,-0.013935849,-0.011266625,-0.004448027,-0.038478383,-0.798465332,-0.645530062,-0.254853174,-2.204648948,,,,,,,,,,,,,,,151,0.003698768,0.005258508,-0.000944313,0.000291394,0.211923807,0.301290315,-0.054105124,0.016695619
152,-0.013901131,-0.011084184,-0.004328456,-0.038253158,-0.796476137,-0.635076963,-0.248002261,-2.191744506,,,,,,,,,,,,,,,152,0.007909347,0.001917941,-0.000280363,-0.000290527,0.453172228,0.109889925,-0.016063639,-0.016645984
153,-0.013865219,-0.010904095,-0.004211394,-0.038035745,-0.794418531,-0.624758623,-0.241295102,-2.179287659,,,,,,,,,,,,,,,153,0.009069724,-0.000650445,-5.24E-05,-0.001261131,0.519656924,-0.037267753,-0.002999758,-0.072257492
154,-0.013831841,-0.010726271,-0.004096797,-0.037814012,-0.792506112,-0.614570058,-0.234729178,-2.166583294,,,,,,,,,,,,,,,154,0.008092347,-0.001521301,0.000767917,-0.00146609,0.463657337,-0.087164127,0.043998385,-0.084000782
155,-0.013800154,-0.010550685,-0.003984647,-0.037592197,-0.790690581,-0.604509721,-0.228303456,-2.153874231,,,,,,,,,,,,,,,155,0.006103922,1.81E-05,0.00302237,1.71E-05,0.349728963,0.001037054,0.17316905,0.000980345
156,-0.013767851,-0.010377301,-0.003874904,-0.037377506,-0.788839755,-0.59457555,-0.222015645,-2.141573343,,,,,,,,,,,,,,,156,0.004251662,0.000148866,0.003137531,-0.00046767,0.243602293,0.008529394,0.179767306,-0.02679551
157,-0.013734401,-0.010206097,-0.003767687,-0.037164741,-0.786923211,-0.584766283,-0.215872564,-2.129382806,,,,,,,,,,,,,,,157,0.003546963,4.89E-06,0.002328525,-0.001474233,0.203225985,0.000280176,0.133414653,-0.084467303
158,-0.013700802,-0.010037045,-0.003662828,-0.036946776,-0.784998131,-0.575080317,-0.209864585,-2.116894331,,,,,,,,,,,,,,,158,0.000252972,0.000536984,0.001720482,-0.001800765,0.014494245,0.030766917,0.098576378,-0.103176258
159,-0.013668328,-0.009870128,-0.003560285,-0.03672817,-0.783137507,-0.565516678,-0.203989304,-2.10436913,,,,,,,,,,,,,,,159,-0.003966927,0.00253469,0.002314819,-0.0004902,-0.227288175,0.145227039,0.132629332,-0.028086369
160,-0.013636068,-0.009705601,-0.003460011,-0.036509623,-0.781289146,-0.556089975,-0.198244027,-2.09184731,,,,,,,,,,,,,,,160,-0.007603727,0.002309464,0.000513577,-0.001230856,-0.435661439,0.13232254,0.029425768,-0.070522869
161,-0.013603335,-0.009543204,-0.003361976,-0.036291263,-0.779413683,-0.546785312,-0.192627036,-2.079336203,,,,,,,,,,,,,,,161,-0.009398162,0.001123467,-0.002105301,-0.002480952,-0.538475011,0.064369918,-0.120624856,-0.142148086
162,-0.013570346,-0.009382887,-0.003266141,-0.036073169,-0.777523552,-0.537599825,-0.187136095,-2.066840337,,,,,,,,,,,,,,,162,-0.008378434,0.000131452,-0.004133204,-0.002970758,-0.480048906,0.007531645,-0.236815125,-0.170211908
163,-0.013537555,-0.009224613,-0.003172482,-0.035861746,-0.775644766,-0.528531393,-0.181769829,-2.054726692,,,,,,,,,,,,,,,163,-0.003942424,0.000332821,-0.004414309,-0.001709798,-0.225884275,0.019069239,-0.252921248,-0.097964191
164,-0.01350505,-0.009068364,-0.003080962,-0.035651974,-0.773782367,-0.519578984,-0.176526119,-2.042707642,,,,,,,,,,,,,,,164,0.000238792,-0.002054502,-0.00209447,-0.002455157,0.013681753,-0.117714294,-0.12000432,-0.140670108
165,-0.013472651,-0.00891412,-0.002991661,-0.03544299,-0.771926041,-0.510741454,-0.171409549,-2.03073374,,,,,,,,,,,,,,,165,0.004726667,-0.005262999,-0.000771301,-0.003583424,0.27081806,-0.30154763,-0.044192315,-0.205315047
166,-0.013440223,-0.008761866,-0.002904451,-0.035234564,-0.770068054,-0.502017942,-0.166412784,-2.01879181,,,,,,,,,,,,,,,166,0.0054653,-0.007750719,0.000663939,-0.003799453,0.313138648,-0.444083487,0.038040887,-0.217692607
167,-0.013408328,-0.008611591,-0.002819282,-0.035026584,-0.768240605,-0.493407819,-0.16153296,-2.006875434,,,,,,,,,,,,,,,167,0.003753094,-0.00825686,0.003017715,-0.002130145,0.215036438,-0.47308323,0.17290233,-0.122048315
168,-0.013376348,-0.008463507,-0.002736119,-0.034818967,-0.766408286,-0.484923231,-0.156768071,-1.994979856,,,,,,,,,,,,,,,168,0.000921386,-0.005876938,0.002620512,-0.002337628,0.052791534,-0.336723744,0.150144252,-0.133936229
169,-0.013344101,-0.008317411,-0.002654921,-0.034612032,-0.764560669,-0.476552547,-0.152115768,-1.983123354,,,,,,,,,,,,,,,169,-0.001744042,-0.004482145,0.000892267,-0.002862213,-0.099926272,-0.256807992,0.051123153,-0.163992699
170,-0.013311846,-0.008173243,-0.002575658,-0.034405454,-0.762712593,-0.468292329,-0.147574333,-1.971287306,,,,,,,,,,,,,,,170,-0.003138354,-0.002681242,-0.000855777,-0.002501069,-0.179814435,-0.15362385,-0.049032402,-0.143300671
171,-0.013279783,-0.008030979,-0.002498306,-0.034199151,-0.760875519,-0.460141202,-0.14314239,-1.959467015,,,,,,,,,,,,,,,171,-0.002394642,0.000357135,-0.001482414,-0.000359332,-0.137202872,0.020462328,-0.084936068,-0.020588221
172,-0.013247888,-0.007890603,-0.002422828,-0.033993088,-0.75904807,-0.45209825,-0.138817819,-1.947660475,,,,,,,,,,,,,,,172,-0.003381124,0.000731941,-7.24E-05,-8.82E-05,-0.193724149,0.04193713,-0.004146871,-0.005054492
173,-0.013216041,-0.007752102,-0.002349282,-0.033787277,-0.757223371,-0.444162727,-0.134603943,-1.935868373,,,,,,,,,,,,,,,173,-0.004563372,-9.55E-05,-0.000240434,-0.000328693,-0.261461965,-0.005471747,-0.013775876,-0.018832734
174,-0.013184193,-0.007615465,-0.002277561,-0.03358173,-0.755398615,-0.436334004,-0.130494633,-1.924091398,,,,,,,,,,,,,,,174,-0.004708809,-0.000892497,-0.000673254,1.48E-05,-0.26979486,-0.051136311,-0.038574616,0.000850218
175,-0.013152917,-0.007480665,-0.002207621,-0.033376469,-0.753606632,-0.428610532,-0.126487366,-1.912330809,,,,,,,,,,,,,,,175,-0.002902901,-0.000621188,-0.000294393,0.001834347,-0.166324001,-0.035591451,-0.016867478,0.105100339
176,-0.013121559,-0.007347912,-0.002139426,-0.033171524,-0.751809951,-0.421004346,-0.12258008,-1.900588325,,,,,,,,,,,,,,,176,-0.003069273,0.00155157,0.001764595,0.001541806,-0.17585639,0.088898413,0.101103825,0.088338956
177,-0.013089912,-0.007217009,-0.002072942,-0.032967297,-0.749996712,-0.413504156,-0.118770828,-1.88888698,,,,,,,,,,,,,,,177,-0.003617376,0.002014687,0.001924757,0.000480865,-0.207260402,0.115433062,0.110280463,0.02755152
178,-0.013058235,-0.00708791,-0.002008146,-0.032763557,-0.748181753,-0.406107329,-0.11505829,-1.877213538,,,,,,,,,,,,,,,178,-0.003326276,0.001910911,0.001417897,-0.000166365,-0.190581581,0.109487135,0.081239493,-0.009532
179,-0.013026761,-0.00696059,-0.001945,-0.03256029,-0.746378426,-0.39881243,-0.111440291,-1.865567197,,,,,,,,,,,,,,,179,-0.001300377,0.002246015,0.001328177,0.000598439,-0.074506089,0.12868718,0.076098938,0.034288003
180,-0.012995466,-0.00683504,-0.00188348,-0.032357523,-0.744585355,-0.391618945,-0.107915455,-1.853949503,,,,,,,,,,,,,,,180,-0.001338836,0.003913417,0.00259705,-0.000868988,-0.07670965,0.224222278,0.14880001,-0.049789324
181,-0.012964201,-0.006711242,-0.001823618,-0.032155316,-0.742794002,-0.384525842,-0.104485615,-1.842363896,,,,,,,,,,,,,,,181,-0.001946569,0.003319089,0.001646536,-0.002962604,-0.111530164,0.190169792,0.094339587,-0.169744701
182,-0.012932939,-0.006589179,-0.001765335,-0.031953712,-0.741002821,-0.377532147,-0.101146245,-1.830812837,,,,,,,,,,,,,,,182,-0.001933931,0.001752038,-0.000111127,-0.004305998,-0.110806088,0.100384383,-0.006367097,-0.246715486
183,-0.012902238,-0.006468841,-0.001708584,-0.031752745,-0.739243784,-0.370637288,-0.097894652,-1.819298276,,,,,,,,,,,,,,,183,-0.000375797,0.000426291,-0.001406792,-0.003803334,-0.02153159,0.024424675,-0.080603255,-0.217914959
184,-0.012871449,-0.006350397,-0.001653338,-0.03155247,-0.737479704,-0.363850946,-0.09472929,-1.807823364,,,,,,,,,,,,,,,184,-0.001007653,0.00039835,-0.001179152,-0.000666382,-0.057734255,0.022823774,-0.067560447,-0.038180851
185,-0.012840374,-0.006233679,-0.001599558,-0.031353278,-0.735699238,-0.357163498,-0.091647922,-1.796410503,,,,,,,,,,,,,,,185,-0.002285465,-0.002024317,-0.003183273,0.001557193,-0.130947527,-0.11598482,-0.182388117,0.089220574
186,-0.012809281,-0.006118635,-0.001548192,-0.031154929,-0.73391774,-0.350571962,-0.088704867,-1.785045943,,,,,,,,,,,,,,,186,-0.002929003,-0.005089028,-0.00564159,0.003726229,-0.167819497,-0.291579826,-0.323239306,0.213497206
187,-0.012778389,-0.006005257,-0.001498379,-0.030957408,-0.732147759,-0.344075881,-0.085850793,-1.773728823,,,,,,,,,,,,,,,187,-0.001927592,-0.007277728,-0.00706516,0.006552944,-0.110442864,-0.416983099,-0.404803828,0.375456018
188,-0.01274766,-0.005893523,-0.001449933,-0.03076073,-0.730387117,-0.337673994,-0.083075041,-1.762460004,,,,,,,,,,,,,,,188,0.001471456,-0.00736968,-0.006299156,0.006429801,0.084308196,-0.42225156,-0.360915078,0.368400437
189,-0.012716965,-0.005783418,-0.001402784,-0.030564931,-0.728628423,-0.331365443,-0.080373603,-1.751241547,,,,,,,,,,,,,,,189,0.00368989,-0.004515176,-0.002583077,0.004566548,0.211415107,-0.258700529,-0.147999391,0.261643946
190,-0.012686273,-0.005674924,-0.001356907,-0.030370023,-0.726869901,-0.325149194,-0.077745044,-1.740074142,,,,,,,,,,,,,,,190,0.005516148,-0.00239539,0.000522004,0.002240893,0.31605202,-0.137245737,0.029908637,0.128393712
191,-0.012656126,-0.005568038,-0.001312267,-0.030176012,-0.725142605,-0.319025078,-0.075187361,-1.72895813,,,,,,,,,,,,,,,191,0.007726247,0.00010174,0.003791124,0.000643251,0.442681332,0.005829273,0.217215384,0.036855565
192,-0.012625905,-0.005462893,-0.001268886,-0.029982932,-0.723411069,-0.313000713,-0.072701812,-1.717895461,,,,,,,,,,,,,,,192,0.006714008,0.003639636,0.007780444,0.000771659,0.384684296,0.208535782,0.445786625,0.044212794
193,-0.012595408,-0.005359342,-0.001226691,-0.029791121,-0.72166372,-0.307067678,-0.070284217,-1.7069055,,,,,,,,,,,,,,,193,0.003824279,0.004525249,0.008817181,-0.00103801,0.219115035,0.259277669,0.505187232,-0.059473581
194,-0.012564875,-0.005257349,-0.001185657,-0.029600307,-0.719914308,-0.301223909,-0.067933142,-1.695972663,,,,,,,,,,,,,,,194,0.000476621,0.003904009,0.007850971,-0.003249795,0.027308368,0.223683239,0.449827523,-0.186199552
195,-0.012534534,-0.005156896,-0.001145753,-0.029410464,-0.718175896,-0.295468376,-0.065646811,-1.685095461,,,,,,,,,,,,,,,195,-0.00203864,0.002890724,0.006026444,-0.004541987,-0.11680548,0.165626285,0.345289803,-0.260236662
196,-0.012504367,-0.005057966,-0.001106954,-0.029221582,-0.716447455,-0.289800105,-0.063423792,-1.674273319,,,,,,,,,,,,,,,196,-0.002671939,0.002537841,0.004496236,-0.003870438,-0.153090836,0.145407578,0.257615333,-0.221759753
197,-0.012474244,-0.004960535,-0.001069233,-0.029033643,-0.714721534,-0.28421772,-0.061262538,-1.663505208,,,,,,,,,,,,,,,197,-0.000624781,-0.000853424,0.004276413,-0.000491828,-0.035797332,-0.048897593,0.245020419,-0.028179657
198,-0.012444112,-0.004864602,-0.001032576,-0.028846648,-0.712995097,-0.278721164,-0.059162247,-1.652791183,,,,,,,,,,,,,,,198,0.000448696,-0.005418089,0.00165934,0.002019921,0.025708369,-0.310433633,0.095073178,0.11573293
199,-0.012414513,-0.004770146,-0.000996952,-0.02866059,-0.7112992,-0.273309233,-0.057121142,-1.642130845,,,,,,,,,,,,,,,199,0.001561729,-0.00947969,-0.001813236,0.004446665,0.089480488,-0.543146228,-0.10389078,0.254775152
200,-0.012384837,-0.004677287,-0.000962386,-0.028475461,-0.70959889,-0.267988805,-0.055140656,-1.631523735,,,,,,,,,,,,,,,200,0.003531285,-0.01162757,-0.004723747,0.007466263,0.202327727,-0.666210687,-0.27065077,0.427785376
201,-0.012354889,-0.004585891,-0.000928812,-0.028291564,-0.707882996,-0.2627522,-0.053217008,-1.620987213,,,,,,,,,,,,,,,201,0.00269761,-0.010745021,-0.005894474,0.007441673,0.154561684,-0.615644354,-0.337728495,0.426376452
202,-0.012324922,-0.004495935,-0.000896219,-0.028108634,-0.706166013,-0.2575981,-0.051349566,-1.610506096,,,,,,,,,,,,,,,202,0.000510376,-0.006145236,-0.004440131,0.005531927,0.029242409,-0.352096087,-0.254400771,0.316956055
203,-0.012295147,-0.004407392,-0.000864573,-0.027926628,-0.704460032,-0.25252496,-0.049536384,-1.60007792,,,,,,,,,,,,,,,203,-0.001671975,-0.001510413,-0.004191643,0.003011518,-0.095797134,-0.08654029,-0.240163425,0.172547295
204,-0.012265526,-0.004320246,-0.00083386,-0.027745514,-0.702762873,-0.247531862,-0.047776659,-1.589700853,,,,,,,,,,,,,,,204,-0.002671521,0.003763068,-0.00369638,0.001086042,-0.153066888,0.215607914,-0.21178697,0.062225603
205,-0.012235937,-0.004234482,-0.000804051,-0.027565269,-0.701067548,-0.242617947,-0.046068729,-1.579373575,,,,,,,,,,,,,,,205,-0.001557388,0.005564478,-0.001938974,0.000771459,-0.089231752,0.318821105,-0.111095037,0.044201371
206,-0.012206358,-0.004150092,-0.00077514,-0.027385896,-0.699372797,-0.237782756,-0.044412251,-1.569096259,,,,,,,,,,,,,,,206,-0.00201995,0.00502728,0.00176516,-0.001634936,-0.115734594,0.288041926,0.101136198,-0.09367493
207,-0.012177307,-0.004067057,-0.000747096,-0.027207375,-0.697708297,-0.233025201,-0.042805448,-1.558867759,,,,,,,,,,,,,,,207,-0.0026169,0.00328867,0.003797747,-0.004509778,-0.149937346,0.188426911,0.217594896,-0.258391227
208,-0.012148175,-0.003985473,-0.000719937,-0.027029682,-0.696039156,-0.228350782,-0.041249352,-1.5486867,,,,,,,,,,,,,,,208,-0.002210835,0.001494064,0.00503144,-0.006442331,-0.126671488,0.085603562,0.288280251,-0.369118373
209,-0.012118776,-0.003905235,-0.000693607,-0.026853122,-0.694354718,-0.223753484,-0.039740754,-1.538570557,,,,,,,,,,,,,,,209,5.46E-05,0.000670607,0.006292272,-0.006304797,0.003129163,0.038422951,0.360520639,-0.361238241
