Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,左边PID数据，右边强化学习数据,Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
23,-0.017150228,-0.066192299,-0.046567751,-0.044306535,-0.982635682,-3.792539369,-2.668135594,-2.53857746,,,23,-0.003138082,-0.003467842,0.007472623,-0.009180098,-0.179798864,-0.198692711,0.428149741,-0.525980864,,,,,,,,,,,,
24,-0.01743874,-0.067339969,-0.047998935,-0.047300429,-0.999166202,-3.858296016,-2.750136397,-2.710114951,,,24,0.000257486,-0.004025532,-0.000363158,-0.013897897,0.014752834,-0.230645994,-0.020807395,-0.796290822,,,,,,,,,,,,
25,-0.017676549,-0.068079904,-0.049354082,-0.050450613,-1.012791654,-3.900691169,-2.8277806,-2.890607199,,,25,0.004228167,-0.002820882,-0.00481806,-0.016643567,0.242256111,-0.161624633,-0.27605451,-0.953606127,,,,,,,,,,,,
26,-0.017866168,-0.068407907,-0.050595534,-0.053700003,-1.023656022,-3.919484356,-2.89891056,-3.076783532,,,26,0.004750212,0.000707996,-0.005637158,-0.016677353,0.272167114,0.040565183,-0.322985383,-0.955541918,,,,,,,,,,,,
27,-0.01801698,-0.068331759,-0.051687525,-0.056993523,-1.032296914,-3.915121397,-2.961477036,-3.265488327,,,27,0.003066492,0.002765213,-0.002899837,-0.013295553,0.175697058,0.158435034,-0.16614841,-0.761779067,,,,,,,,,,,,
28,-0.018134156,-0.067871185,-0.05260073,-0.060275882,-1.039010604,-3.888732451,-3.013799828,-3.453553645,,,28,0.000443163,0.004168362,-0.001039947,-0.006203172,0.025391359,0.23882955,-0.059584566,-0.355415554,,,,,,,,,,,,
29,-0.018220574,-0.067057153,-0.053311809,-0.063492734,-1.043961991,-3.842091853,-3.054541654,-3.637865688,,,29,-0.001914703,0.005657168,0.00063427,0.000358117,-0.109704407,0.32413185,0.036340989,0.020518589,,,,,,,,,,,,
30,-0.018279996,-0.065930489,-0.053803624,-0.066590561,-1.04736662,-3.777538761,-3.082720578,-3.815358101,,,30,-0.002979392,0.003449457,0.002654205,0.006649083,-0.170706577,0.197639328,0.152074744,0.380964383,,,,,,,,,,,,
31,-0.018317392,-0.0645417,-0.054065494,-0.069517208,-1.049509253,-3.697967013,-3.097724623,-3.983042622,,,31,-0.001947875,-0.000796945,0.005488288,0.012613863,-0.111604998,-0.045661585,0.314455734,0.722721136,,,,,,,,,,,,
32,-0.018337336,-0.062943512,-0.054093419,-0.072222933,-1.05065196,-3.606397585,-3.099324608,-4.138069245,,,32,-0.002716658,-0.005452663,0.005153612,0.014092223,-0.155653029,-0.312414577,0.295280242,0.807424916,,,,,,,,,,,,
33,-0.018343106,-0.061192408,-0.053890003,-0.074661544,-1.050982557,-3.506066717,-3.08766973,-4.277791363,,,33,-0.003815403,-0.009092375,0.002825704,0.011841957,-0.218606497,-0.520954713,0.161900931,0.678494161,,,,,,,,,,,,
34,-0.018337288,-0.059345045,-0.053466163,-0.07679184,-1.05064921,-3.400220614,-3.063385487,-4.399848333,,,34,-0.004049279,-0.010548639,-0.000252093,0.007149535,-0.232006608,-0.604392494,-0.014443882,0.409638194,,,,,,,,,,,,
35,-0.018322135,-0.057455605,-0.052835161,-0.078579961,-1.049781007,-3.291963676,-3.027231735,-4.50230012,,,35,-0.002510898,-0.008931488,-0.002918149,0.001422728,-0.143863846,-0.511736567,-0.167197625,0.081516292,,,,,,,,,,,,
