Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
47,-0.00406135,0.00087231,-0.005224591,-0.004171316,-0.232698228,0.049979681,-0.299347021,-0.238998781,,,,,,,,,,,,
48,-0.002794606,0.00173727,-0.005345657,-0.010017763,-0.160119149,0.099538239,-0.306283581,-0.573975531,,,,,,,,,,,,
49,0.000443256,0.00398823,-0.005289828,-0.014187338,0.025396686,0.228508747,-0.30308483,-0.812874587,,,,,,,,,,,,
50,0.001980716,0.00394688,-0.003946478,-0.015850176,0.113486667,0.226139566,-0.226116535,-0.908148173,,,,,,,,,,,,
51,0.0028516,0.002785164,-0.000590144,-0.014254476,0.163384637,0.159578142,-0.033812742,-0.816721325,,,,,,,,,,,,
52,0.003929101,0.001636991,0.001028851,-0.008899609,0.2251209,0.093792675,0.058948847,-0.509910054,,,,,,,,,,,,
53,0.00603955,0.001521736,0.002006001,-0.004184496,0.346040733,0.08718905,0.11493539,-0.239753958,,,,,,,,,,,,
54,0.005536716,-0.001283749,0.003209507,0.000795344,0.317230459,-0.0735534,0.183891188,0.045569862,,,,,,,,,,,,
55,0.003644359,-0.005013038,0.005428235,0.006249329,0.208806415,-0.28722592,0.311014947,0.35806019,,,,,,,,,,,,
56,0.001607517,-0.008096321,0.005015239,0.008064246,0.092103933,-0.463885023,0.287352051,0.462047268,,,,,,,,,,,,
57,0.000551717,-0.009230425,0.003203832,0.007133301,0.031611044,-0.528864396,0.183566079,0.408708037,,,,,,,,,,,,
58,0.001409438,-0.007444196,0.001232805,0.004552112,0.080754855,-0.426521013,0.070634513,0.260816823,,,,,,,,,,,,
59,0.000529968,-0.002179438,0.000220871,0.001498119,0.030364958,-0.124872599,0.01265496,0.085835875,,,,,,,,,,,,
60,-0.000747904,0.002972605,0.001093629,-0.000956576,-0.042851756,0.170317721,0.062660334,-0.05480775,,,,,,,,,,,,
61,-0.001265091,0.008296164,0.000195156,-0.001932614,-0.072484374,0.475335183,0.011181589,-0.110730626,,,,,,,,,,,,
62,-7.90E-05,0.009918709,-0.001112197,-0.000750592,-0.004528944,0.568300164,-0.063724183,-0.04300573,,,,,,,,,,,,
63,-0.000851223,0.008745103,-0.001656598,-0.001345726,-0.048771483,0.501057493,-0.094916072,-0.077104444,,,,,,,,,,,,
64,-0.002097046,0.005959678,-0.000492107,-0.002408455,-0.120151882,0.341464397,-0.028195643,-0.137994316,,,,,,,,,,,,
