encoder_value,roll_value,gyro_value,pid
27,-1.808,-1.902,-160.08
27,-1.798,-1.707,-163.67
27,-1.791,-1.542,-166.777
26,-1.782,-1.568,-142.203
27,-1.773,-1.728,-167.815
27,-1.764,-1.841,-154.383
27,-1.753,-2.041,-147.195
26,-1.742,-2.201,-118.592
27,-1.731,-2.185,-148.359
26,-1.718,-2.234,-113.498
25,-1.706,-2.211,-98.466
25,-1.696,-1.869,-114.6
25,-1.687,-1.491,-123.032
24,-1.679,-1.254,-105.556
24,-1.673,-0.875,-123.605
23,-1.67,-0.385,-113.732
23,-1.668,-0.146,-128.803
23,-1.667,-0.068,-130.925
22,-1.666,0.029,-111.185
23,-1.665,0.048,-143.142
23,-1.676,1.971,-187.429
23,-1.703,5.154,-277.338
24,-1.728,4.541,-288.892
27,-1.736,0.618,-245.092
28,-1.724,-2.965,-143.731
29,-1.699,-5.351,-89.297
29,-1.665,-6.688,-38.513
26,-1.626,-7.158,48.819
25,-1.588,-6.53,35.161
21,-1.558,-4.957,80.132
18,-1.536,-2.913,61.63
14,-1.527,-0.317,57.483
12,-1.533,2.442,-7.648
10,-1.549,4.511,-38.849
9,-1.576,5.986,-78.856
9,-1.61,7.046,-122.733
10,-1.647,7.301,-159.399
12,-1.684,6.659,-185.716
12,-1.715,5.327,-138.796
15,-1.736,3.601,-164.844
15,-1.749,1.651,-89.098
16,-1.749,-0.449,-56.096
16,-1.741,-2.001,-4.439
15,-1.729,-2.709,38.956
15,-1.709,-3.104,44.242
11,-1.691,-2.895,132.056
10,-1.675,-1.943,96.524
5,-1.665,-0.649,167.54
3,-1.666,1.467,111.491
0,-1.681,4.191,85.831
-2,-1.708,6.428,39.323
-3,-1.747,8.127,-8.856
-2,-1.794,9.34,-81.761
-2,-1.844,9.409,-84.55
0,-1.891,8.299,-109.346
1,-1.93,6.514,-74.406
4,-1.956,4.251,-78.144
4,-1.97,1.757,11.941
5,-1.971,-0.467,48.257
3,-1.962,-1.907,142.046
1,-1.948,-2.346,183.453
0,-1.934,-1.875,178.338
-4,-1.926,-0.572,226.305
-6,-1.926,1.41,182.884
-10,-1.94,3.712,191.257
-12,-1.963,5.806,140.42
-14,-1.998,7.464,116.786
-14,-2.041,8.686,58.091
-14,-2.087,9.188,35.659
-14,-2.135,8.951,32.643
-12,-2.18,8.158,-0.067
-12,-2.217,6.877,44.43
-12,-2.248,5.392,77.709
-11,-2.272,3.975,88.218
-11,-2.289,2.816,124.67
-12,-2.301,1.991,166.7
-13,-2.308,1.354,195.742
-14,-2.314,1.102,214.992
-16,-2.32,1.431,241.197
-18,-2.328,2.081,249.62
-21,-2.341,3.029,271.6
-23,-2.36,4.305,252.314
-24,-2.385,5.664,216.03
-27,-2.419,6.893,235.508
-27,-2.457,7.874,175.384
-28,-2.501,8.608,169.87
-28,-2.548,8.906,144.041
-28,-2.593,8.666,141.628
-27,-2.638,8.141,124.478
-27,-2.679,7.302,147.848
-27,-2.713,6.242,169.264
-26,-2.744,5.35,164.54
-27,-2.77,4.508,213.362
-27,-2.791,3.681,222.45
-27,-2.81,3.221,231.269
-29,-2.825,3.021,278.646
-30,-2.841,3.173,276.404
-31,-2.862,3.965,265.109
-33,-2.885,4.819,274.058
