encoder_value,roll_value,gyro_value,pid
-2,-2.544,-7.179,228.785
-5,-2.507,-6.49,267.313
-9,-2.475,-4.874,294.008
-12,-2.457,-2.062,254.713
-17,-2.456,1.304,251.314
-19,-2.47,4.23,171.387
-20,-2.503,6.918,98.484
-21,-2.546,8.914,50.697
-20,-2.596,9.699,-11.221
-18,-2.651,9.599,-55.302
-16,-2.699,8.311,-57.513
-13,-2.738,6.096,-55.936
-10,-2.766,3.615,-36.298
-8,-2.776,0.588,23.904
-7,-2.771,-2.279,96.339
-7,-2.755,-4.135,157.789
-8,-2.727,-5.325,217.362
-11,-2.698,-5.455,285.11
-14,-2.673,-4.172,296.876
-17,-2.655,-2.107,286.498
-20,-2.652,0.504,258.656
-23,-2.664,3.396,220.306
-25,-2.69,5.944,165.869
-26,-2.729,7.741,115.427
-25,-2.773,8.576,53.476
-24,-2.82,8.606,30.059
-23,-2.865,7.947,25.242
-21,-2.903,6.541,19.059
-19,-2.932,4.767,33.654
-17,-2.951,2.791,55.34
-17,-2.959,0.662,128.247
-16,-2.957,-1.08,152.4
-16,-2.948,-2.235,193.929
-18,-2.934,-2.808,257.027
-19,-2.92,-2.467,255.594
-22,-2.91,-1.328,286.033
-24,-2.906,0.206,264.377
-26,-2.914,2.122,239.328
-29,-2.959,5.476,164.833
-29,-2.992,6.322,136.07
-29,-3.027,6.578,122.554
-29,-3.062,6.412,120.279
-28,-3.097,5.994,102.257
-27,-3.126,5.055,108.085
-26,-3.15,3.955,119.226
-25,-3.186,2.313,151.594
-25,-3.197,1.412,173.599
-24,-3.204,0.834,165.176
-25,-3.208,0.383,207.933
-25,-3.211,0.044,207.801
-26,-3.213,0.04,230.154
-28,-3.214,0.138,263.563
-30,-3.222,0.942,268.205
-31,-3.229,1.512,256.671
-33,-3.24,2.242,271.496
-33,-3.256,3.255,223.848
-34,-3.277,4.166,218.372
-34,-3.303,4.947,183.837
-35,-3.333,5.499,186.178
-34,-3.363,5.7,143.786
-33,-3.396,5.731,123.219
-33,-3.428,5.412,134.629
-31,-3.455,4.733,102.463
-31,-3.482,4.017,134.414
-30,-3.502,3.082,133.03
-29,-3.517,2.067,143.687
-28,-3.529,1.29,148.698
-28,-3.535,0.498,177.779
-28,-3.538,-0.059,192.121
-28,-3.54,-0.203,195.89
-28,-3.539,-0.312,199.146
-29,-3.541,-0.178,218.023
-29,-3.544,0.256,197.314
-30,-3.548,0.655,208.574
-30,-3.556,1.028,188.583
-31,-3.564,1.31,202.245
-30,-3.573,1.547,163.011
-31,-3.585,1.84,184.534
-30,-3.597,1.946,148.247
-31,-3.61,1.914,178.203
-30,-3.622,1.829,146.943
-29,-3.633,1.598,137.791
-30,-3.643,1.465,170.916
-28,-3.653,1.524,113.825
-29,-3.664,1.54,151.812
-28,-3.674,1.376,123.064
-27,-3.684,1.17,113.387
-27,-3.693,0.924,127.313
-26,-3.699,0.42,117.317
-25,-3.702,-0.081,116.549
-25,-3.704,-0.447,135.144
-25,-3.702,-0.84,146.118
-25,-3.711,1.053,94.508
-24,-3.737,4.597,-26.756
-22,-3.763,4.27,-59.026
-20,-3.772,0.559,10.612
-17,-3.764,-2.575,45.901
-15,-3.747,-4.5,82.489
-15,-3.721,-5.798,140.028
-15,-3.69,-6.412,162.693
-16,-3.66,-5.959,179.2
-17,-3.632,-5.045,174.111
-18,-3.611,-3.885,161.295
-19,-3.597,-2.06,129.527
-20,-3.592,-0.203,94.973
-19,-3.597,1.113,27.916
-18,-3.61,1.982,-11.03
-17,-3.624,2.107,-30.42
-15,-3.637,1.452,-51.465
-12,-3.646,0.208,-69.687
-9,-3.644,-1.654,-60.435
-8,-3.633,-3.612,-1.969
-5,-3.612,-5.121,-16.193
-6,-3.586,-6.156,65.863
-4,-3.554,-6.743,33.905
-5,-3.49,-6.27,65.652
-6,-3.462,-5.455,72.095
-6,-3.439,-4.523,43.125
-6,-3.421,-3.512,19.936
-6,-3.408,-2.57,-2.433
-6,-3.399,-1.861,-19.325
-5,-3.393,-1.412,-52.582
-4,-3.39,-1.236,-70.011
-2,-3.386,-1.356,-101.947
0,-3.382,-1.732,-118.244
2,-3.374,-2.557,-121.845
3,-3.359,-3.663,-94.27
5,-3.341,-4.665,-100.022
6,-3.315,-5.785,-69.838
6,-3.283,-6.717,-29.998
7,-3.25,-6.886,-41.477
7,-3.216,-6.75,-29.402
6,-3.183,-6.499,-7.088
6,-3.154,-5.7,-31.45
6,-3.129,-4.636,-54.778
5,-3.109,-3.77,-51.36
6,-3.094,-2.924,-102.247
6,-3.084,-2.072,-113.999
7,-3.077,-1.617,-147.195
9,-3.072,-1.604,-182.475
11,-3.065,-1.943,-199.289
13,-3.054,-2.791,-201.813
15,-3.039,-3.964,-194.852
17,-3.017,-5.171,-185.803
18,-2.988,-6.401,-152.151
19,-2.953,-7.48,-130.359
20,-2.914,-8.184,-117.564
20,-2.872,-8.481,-92.586
19,-2.83,-8.375,-64.765
19,-2.788,-7.951,-76.957
19,-2.75,-7.303,-86.757
18,-2.716,-6.527,-78.261
17,-2.686,-5.69,-81.015
18,-2.66,-4.765,-132.09
17,-2.64,-4.013,-116.707
17,-2.621,-3.59,-133.235
18,-2.606,-3.167,-164.039
18,-2.591,-2.958,-158.028
20,-2.576,-3.204,-193.535
20,-2.562,-3.454,-166.401
21,-2.544,-3.829,-175.522
22,-2.522,-4.473,-167.965
23,-2.499,-5.029,-162.417
23,-2.472,-5.565,-133.996
23,-2.442,-5.926,-118.782
23,-2.412,-5.946,-112.535
23,-2.381,-5.903,-107.684
22,-2.352,-5.618,-87.158
22,-2.324,-5.024,-106.644
21,-2.3,-4.474,-94.056
21,-2.278,-3.897,-114.304
21,-2.26,-3.231,-128.593
21,-2.245,-2.69,-140.097
20,-2.233,-2.299,-125.798
21,-2.222,-2.018,-162.64
21,-2.213,-1.867,-156.062
22,-2.203,-1.902,-175.938
22,-2.193,-2.089,-160.269
23,-2.182,-2.316,-174.79
23,-2.17,-2.666,-154.303
24,-2.155,-3.114,-162.118
24,-2.138,-3.45,-141.211
24,-2.119,-3.69,-131.344
24,-2.099,-3.859,-123.153
24,-2.08,-3.888,-118.667
23,-2.059,-3.847,-93.445
23,-2.039,-3.689,-102.797
22,-2.02,-3.35,-85.883
22,-2.003,-2.948,-102.29
22,-1.989,-2.444,-113.062
21,-1.978,-1.896,-103.129
21,-1.969,-1.456,-122.084
20,-1.963,-1.036,-109.739
21,-1.958,-0.746,-148.073
21,-1.964,1.363,-196.5
21,-1.99,4.78,-292.317
23,-2.014,4.155,-325.714
26,-2.018,-0.121,-262.964
29,-2.002,-3.963,-198.852
30,-1.972,-6.592,-119.115
30,-1.931,-8.391,-54.546
28,-1.882,-9.317,24.312
26,-1.831,-9.128,56.205
22,-1.784,-8.007,107.462
20,-1.746,-6.093,73.404
15,-1.72,-3.384,100.981
12,-1.708,-0.328,44.832
9,-1.713,2.562,7.674
8,-1.733,5.011,-65.563
7,-1.763,6.743,-104.008
8,-1.801,7.644,-166.895
9,-1.842,7.558,-186.315
11,-1.879,6.465,-200.768
14,-1.909,4.728,-210.278
16,-1.926,2.431,-171.217
17,-1.93,-0.237,-105.98
19,-1.921,-2.501,-80.343
17,-1.902,-4.164,30.224
17,-1.872,-5.295,48.001
14,-1.842,-5.312,121.683
12,-1.814,-4.226,116.412
8,-1.793,-2.465,145.826
4,-1.784,-0.158,140.452
1,-1.787,2.352,104.993
-1,-1.806,5.071,47.182
-2,-1.84,7.605,-22.101
-3,-1.883,9.007,-54.216
-1,-1.932,9.406,-128.443
0,-1.981,8.843,-127.872
2,-2.021,7.01,-123.27
5,-2.052,4.61,-115.187
6,-2.068,2.034,-45.934
6,-2.068,-0.605,32.997
7,-2.057,-2.357,58.968
4,-2.041,-3.181,160.352
2,-2.008,-5.326,241.736
-1,-1.965,-7.386,354.389
-6,-1.932,-4.777,377.311
-12,-1.928,1.396,304.685
-18,-1.96,7.757,211.162
-20,-2.014,12.399,68.834
-20,-2.086,14.931,-30.364
-19,-2.172,16.208,-103.619
-15,-2.257,15.73,-188.508
-12,-2.335,13.419,-174.292
-6,-2.398,9.813,-199.083
-2,-2.437,5.292,-123.233
0,-2.453,0.775,-15.827
2,-2.443,-3.412,70.163
2,-2.413,-6.839,184.828
0,-2.37,-8.47,281.423
-3,-2.323,-8.214,333.417
-9,-2.284,-6.339,399.594
-13,-2.259,-2.944,350.939
-19,-2.254,1.299,338.581
-23,-2.273,5.506,259.758
-26,-2.313,9.224,185.078
-27,-2.371,12.138,92.369
-27,-2.44,13.817,25.341
-24,-2.515,13.983,-60.955
-23,-2.585,12.731,-37.226
-19,-2.645,10.462,-69.735
-15,-2.693,7.436,-52.893
-13,-2.721,3.76,29.838
-11,-2.73,0.26,93.978
-11,-2.724,-2.268,180.134
-12,-2.704,-4.021,253.057
-14,-2.679,-4.62,310.067
-17,-2.658,-3.599,336.793
-21,-2.644,-1.714,352.961
-25,-2.642,0.778,341.501
-28,-2.657,3.766,291.376
-30,-2.684,6.394,234.76
-32,-2.724,8.465,199.115
-33,-2.775,10.025,152.674
-32,-2.83,10.813,89.781
-31,-2.888,10.849,63.975
-29,-2.944,10.118,36.524
-27,-2.995,8.73,36.504
-25,-3.037,6.9,49.775
-24,-3.067,4.582,100.888
-22,-3.085,2.228,124.076
-22,-3.092,0.371,189.956
-22,-3.089,-1.041,228.224
-23,-3.081,-1.719,270.371
-25,-3.073,-1.465,301.437
-27,-3.067,-0.58,306.426
-29,-3.07,0.956,292.446
-31,-3.082,2.848,267.269
-33,-3.103,4.547,245.55
-34,-3.133,6.031,205.223
-34,-3.169,7.181,158.859
-34,-3.211,7.813,134.208
-34,-3.254,7.933,122.675
-32,-3.296,7.427,83.219
-30,-3.334,6.392,76.349
-30,-3.366,5.125,121.714
-28,-3.391,3.795,107.478
-27,-3.409,2.506,133.668
-27,-3.42,1.273,173.421
-26,-3.425,0.445,172.037
-26,-3.43,0.226,186.137
-27,-3.432,0.088,212.158
-27,-3.434,0.14,201.598
-28,-3.44,0.68,208.907
-28,-3.446,1.134,187.016
-30,-3.456,1.462,221.572
-29,-3.467,1.928,166.884
-29,-3.48,2.291,163.964
-30,-3.496,2.507,177.898
-29,-3.511,2.634,140.28
-29,-3.528,2.646,145.94
-29,-3.543,2.453,148.272
-28,-3.557,2.113,132.317
-28,-3.571,1.848,145.931
-27,-3.581,1.502,130.833
-27,-3.59,1.052,150.244
-27,-3.597,0.793,155.923
-26,-3.603,0.731,134.122
-26,-3.61,0.682,143.198
-26,-3.616,0.543,145.966
-26,-3.622,0.436,148.01
-25,-3.627,0.386,126.129
-26,-3.631,0.178,162.527
-25,-3.633,0.044,134.392
-25,-3.637,0.176,139.35
-25,-3.64,0.2,138.385
-24,-3.643,0.165,116.4
-25,-3.648,0.269,144.345
-24,-3.651,0.26,112.812
-23,-3.656,0.217,99.732
-23,-3.66,0.132,110.252
-23,-3.663,-0.097,116.094
-22,-3.665,-0.204,96.153
-22,-3.664,-0.882,123.668
-21,-3.663,-0.941,103.226
-21,-3.66,-1.023,115.141
-20,-3.656,-1.277,100.481
-21,-3.653,-1.196,130.467
-20,-3.649,-1.026,95.583
-19,-3.647,-0.946,80.574
-19,-3.647,-0.803,86.02
-19,-3.645,-0.695,83.681
-19,-3.645,-0.533,79.47
-18,-3.646,-0.489,55.961
-17,-3.645,-0.62,46.14
-16,-3.647,-0.555,30.755
-15,-3.647,-0.63,19.311
-15,-3.645,-1.063,40.238
-13,-3.643,-1.391,4.675
-12,-3.636,-1.694,9.63
-12,-3.629,-2.111,31.186
-10,-3.62,-2.301,-6.915
-10,-3.612,-2.193,9.878
-8,-3.604,-2.165,-34.236
-8,-3.596,-2.573,-3.768
-6,-3.583,-3.045,-33.632
-6,-3.572,-3.184,-9.688
-4,-3.557,-3.55,-41.875
-3,-3.539,-4.115,-27.928
-3,-3.522,-4.277,-11.25
-1,-3.501,-4.476,-46.653
0,-3.48,-4.821,-37.969
0,-3.459,-4.945,-21.517
0,-3.435,-4.975,-15.935
1,-3.412,-4.861,-37.047
0,-3.39,-4.743,-4.358
2,-3.368,-4.526,-59.49
1,-3.351,-3.9,-32.408
2,-3.333,-3.539,-69.871
2,-3.317,-3.44,-60.446
3,-3.304,-3.072,-90.117
4,-3.29,-2.92,-104.937
5,-3.279,-2.946,-115.506
7,-3.267,-2.959,-148.841
8,-3.253,-3.345,-140.527
9,-3.238,-3.999,-133.735
11,-3.218,-4.67,-148.134
13,-3.195,-5.313,-153.627
13,-3.168,-5.98,-112.935
15,-3.137,-6.591,-135.617
15,-3.106,-6.882,-103.845
15,-3.071,-7.014,-93.654
15,-3.036,-6.985,-87.602
15,-3.004,-6.52,-93.702
16,-2.973,-5.94,-125.568
15,-2.946,-5.385,-103.628
16,-2.923,-4.704,-148.574
16,-2.902,-4.17,-149.813
17,-2.883,-3.917,-175.43
18,-2.865,-3.808,-188.483
19,-2.848,-3.892,-196.486
21,-2.829,-4.232,-219.933
22,-2.808,-4.783,-205.985
23,-2.784,-5.495,-195.979
25,-2.755,-6.204,-207.787
25,-2.724,-6.869,-166.247
26,-2.688,-7.477,-165.708
26,-2.65,-7.814,-140.61
26,-2.611,-7.989,-128.343
26,-2.57,-8.02,-119.701
25,-2.531,-7.644,-99.775
25,-2.494,-7.05,-117.278
24,-2.461,-6.357,-106.823
24,-2.432,-5.505,-132.862
24,-2.406,-4.712,-149.033
23,-2.385,-4.048,-140.224
24,-2.367,-3.487,-183.088
24,-2.351,-3.136,-180.551
24,-2.336,-3.035,-180.516
25,-2.321,-3.119,-197.999
26,-2.306,-3.385,-201.601
26,-2.287,-3.864,-176.588
27,-2.267,-4.319,-183.161
27,-2.245,-4.632,-161.795
28,-2.219,-5.006,-169.602
27,-2.193,-5.273,-126.181
27,-2.166,-5.194,-132.114
27,-2.14,-4.935,-134.029
27,-2.116,-4.627,-137.663
26,-2.093,-4.243,-121.138
26,-2.072,-3.728,-139.878
26,-2.055,-3.216,-150.275
25,-2.039,-2.925,-132.634
25,-2.025,-2.663,-145.843
26,-2.012,-2.338,-174.72
25,-2.0,-2.319,-141.695
25,-1.987,-2.432,-145.324
26,-1.976,-2.307,-169.098
25,-1.964,-2.366,-133.968
26,-1.95,-2.628,-155.921
25,-1.937,-2.616,-122.558
25,-1.922,-2.592,-129.443
25,-1.908,-2.585,-127.032
25,-1.896,-2.331,-131.586
24,-1.883,-2.086,-113.355
24,-1.873,-1.821,-127.492
24,-1.864,-1.537,-133.563
24,-1.855,-1.445,-134.459
24,-1.849,-1.27,-138.004
23,-1.843,-1.1,-119.103
24,-1.836,-1.18,-147.186
23,-1.83,-1.199,-114.423
23,-1.823,-1.207,-121.956
23,-1.815,-1.28,-118.765
23,-1.809,-1.228,-119.097
22,-1.801,-1.241,-94.944
22,-1.794,-1.194,-103.968
22,-1.788,-0.978,-108.737
21,-1.782,-0.91,-86.992
20,-1.777,-0.726,-77.624
21,-1.774,-0.295,-120.079
20,-1.772,-0.063,-94.658
19,-1.772,0.073,-84.858
20,-1.773,0.384,-124.858
19,-1.775,0.531,-97.907
19,-1.776,0.372,-103.078
19,-1.777,0.286,-101.297
19,-1.778,0.208,-99.549
18,-1.777,-0.09,-69.163
18,-1.775,-0.292,-72.617
18,-1.773,-0.298,-72.172
17,-1.77,-0.335,-48.358
17,-1.768,-0.321,-57.285
15,-1.766,-0.125,-17.377
15,-1.768,0.202,-44.568
14,-1.772,0.585,-33.126
13,-1.776,0.91,-29.172
13,-1.782,1.289,-49.369
12,-1.79,1.763,-41.321
11,-1.799,1.943,-34.392
11,-1.809,1.988,-46.58
10,-1.82,2.141,-30.484
10,-1.829,2.051,-38.986
10,-1.839,1.918,-37.596
9,-1.849,1.899,-16.716
9,-1.857,1.738,-22.945
8,-1.865,1.614,0.993
8,-1.873,1.493,-6.427
7,-1.879,1.421,16.694
7,-1.887,1.623,0.822
5,-1.895,1.579,45.265
5,-1.9,1.434,30.136
4,-1.909,1.938,37.427
2,-1.92,2.362,60.066
1,-1.929,2.414,61.351
0,-1.944,3.033,55.518
0,-1.96,3.673,26.326
0,-1.978,3.752,20.668
-1,-2.0,3.876,35.582
-1,-2.019,3.892,22.376
-1,-2.038,3.518,28.497
-1,-2.055,2.89,41.763
-1,-2.067,2.171,58.579
-1,-2.077,1.716,68.592
-2,-2.085,1.284,101.013
-3,-2.088,0.853,125.317
-5,-2.093,1.04,155.374
-6,-2.098,1.553,145.421
-8,-2.106,2.069,166.159
-10,-2.119,2.819,170.936
-12,-2.135,3.744,170.407
-13,-2.157,4.766,143.578
-15,-2.184,5.623,151.555
-15,-2.214,6.225,111.887
-16,-2.25,6.778,112.8
-16,-2.285,6.859,94.79
-16,-2.319,6.434,99.518
-16,-2.352,5.998,104.621
-16,-2.406,4.437,135.656
-16,-2.428,3.781,148.824
-17,-2.445,3.179,184.001
-17,-2.46,2.747,183.751
-19,-2.475,2.7,227.195
-21,-2.487,2.846,248.004
-22,-2.502,3.312,237.441
-25,-2.543,4.721,233.055
-27,-2.571,5.644,239.339
-28,-2.603,6.517,214.74
-29,-2.638,7.07,206.882
-30,-2.677,7.534,200.594
-30,-2.717,7.786,177.36
-30,-2.758,7.761,170.212
-30,-2.838,7.215,169.266
-29,-2.875,6.617,155.669
-30,-2.908,5.918,199.227
-29,-2.937,5.175,182.169
-30,-2.963,4.609,223.589
-30,-2.986,4.124,223.286
-30,-3.007,3.788,228.405
-32,-3.048,4.068,240.341
-33,-3.071,4.395,249.852
-33,-3.098,4.985,220.361
-35,-3.126,5.497,246.431
-35,-3.157,5.944,210.869
-35,-3.191,6.29,195.269
-35,-3.225,6.243,190.108
-34,-3.291,5.793,167.307
-35,-3.322,5.47,201.466
-34,-3.351,5.135,173.496
-33,-3.378,4.909,160.776
-34,-3.405,4.664,193.726
-32,-3.43,4.429,141.361
-33,-3.456,4.257,181.462
-32,-3.501,3.488,171.168
-31,-3.521,3.128,154.587
-31,-3.537,2.645,173.443
-31,-3.553,2.357,178.226
-31,-3.567,2.306,176.974
-30,-3.581,2.146,156.413
-31,-3.595,2.0,189.206
-30,-3.619,1.958,163.549
-29,-3.633,2.064,135.822
-30,-3.647,2.098,163.83
-29,-3.661,2.126,129.121
-28,-3.676,2.034,115.506
-28,-3.688,1.63,132.942
-28,-3.699,1.249,141.186
-26,-3.715,0.483,131.852
-26,-3.718,-0.077,146.206
-25,-3.721,-0.229,127.553
-25,-3.722,-0.318,138.834
-25,-3.722,-0.567,145.688
-25,-3.723,-0.489,143.711
-24,-3.714,-2.202,168.596
-25,-3.688,-5.583,295.03
-26,-3.663,-5.134,301.987
-28,-3.657,-1.0,229.886
-30,-3.669,2.448,163.46
-30,-3.691,4.397,89.686
-29,-3.723,5.668,27.578
-27,-3.759,6.151,-28.093
-25,-3.794,5.495,-44.559
-22,-3.825,4.138,-63.836
-19,-3.845,2.246,-58.16
-15,-3.855,-0.095,-60.866
-12,-3.853,-2.321,-33.132
-11,-3.84,-4.196,23.778
-9,-3.816,-5.68,31.838
-8,-3.789,-6.622,57.804
-8,-3.723,-6.706,82.123
-8,-3.697,-5.643,59.386
-9,-3.674,-4.705,61.62
-8,-3.655,-3.805,10.112
-8,-3.644,-2.66,-8.921
-8,-3.636,-1.936,-26.402
-6,-3.631,-1.563,-80.258
-4,-3.63,-1.242,-115.545
-2,-3.626,-1.622,-131.728
0,-3.621,-2.538,-133.49
3,-3.61,-3.511,-155.079
5,-3.591,-4.868,-133.429
7,-3.565,-6.418,-114.326
9,-3.532,-7.599,-103.501
9,-3.494,-8.228,-61.407
10,-3.453,-8.449,-70.01
10,-3.412,-8.419,-53.764
9,-3.372,-7.913,-36.996
10,-3.337,-6.895,-88.463
9,-3.308,-5.848,-79.06
10,-3.283,-4.934,-129.813
10,-3.265,-3.929,-144.048
12,-3.251,-3.177,-206.201
13,-3.239,-3.097,-210.683
16,-3.227,-3.434,-257.994
18,-3.211,-4.131,-254.657
21,-3.19,-5.328,-268.324
23,-3.162,-6.737,-243.754
25,-3.126,-8.104,-227.691
27,-3.083,-9.367,-212.931
29,-2.98,-11.021,-176.305
28,-2.925,-11.154,-121.815
28,-2.87,-10.865,-127.794
27,-2.818,-10.237,-111.812
26,-2.77,-9.238,-115.575
26,-2.728,-8.079,-147.009
26,-2.691,-6.932,-170.456
26,-2.661,-5.878,-192.614
26,-2.636,-5.027,-210.347
27,-2.614,-4.405,-245.327
28,-2.595,-4.18,-261.28
29,-2.576,-4.397,-265.48
31,-2.555,-4.908,-284.004
33,-2.529,-5.791,-282.917
34,-2.498,-6.952,-250.951
35,-2.462,-8.011,-229.436
36,-2.419,-8.879,-211.841
35,-2.372,-9.567,-153.217
36,-2.322,-9.814,-168.55
35,-2.273,-9.507,-135.907
34,-2.226,-8.906,-129.281
33,-2.183,-8.069,-129.721
33,-2.146,-6.943,-161.43
31,-2.114,-5.866,-139.067
32,-2.087,-4.958,-198.383
31,-2.066,-4.15,-184.497
31,-2.046,-3.688,-202.128
31,-2.029,-3.475,-204.635
32,-2.013,-3.361,-227.174
32,-1.995,-3.558,-209.835
32,-1.977,-3.808,-199.889
33,-1.958,-3.886,-216.819
33,-1.937,-4.083,-198.905
33,-1.916,-4.33,-188.389
33,-1.894,-4.365,-183.425
33,-1.871,-4.364,-179.356
33,-1.849,-4.425,-173.621
32,-1.827,-4.392,-147.987
33,-1.805,-4.278,-178.254
32,-1.783,-4.202,-144.925
32,-1.761,-4.152,-151.127
31,-1.74,-3.912,-131.139
30,-1.721,-3.482,-125.525
30,-1.703,-3.09,-141.628
30,-1.688,-2.602,-151.924
29,-1.676,-2.032,-142.478
28,-1.666,-1.619,-138.219
29,-1.659,-1.281,-177.385
28,-1.653,-1.093,-150.053
28,-1.646,-1.116,-157.305
28,-1.641,-1.097,-157.004
28,-1.634,-1.188,-153.595
28,-1.626,-1.477,-144.564
27,-1.618,-1.597,-117.621
28,-1.609,-1.599,-147.359
26,-1.6,-1.641,-90.887
26,-1.591,-1.551,-109.588
26,-1.583,-1.257,-116.06
25,-1.576,-0.917,-101.631
24,-1.572,-0.592,-96.04
24,-1.57,-0.105,-117.756
23,-1.57,0.323,-106.968
23,-1.571,0.454,-119.79
23,-1.575,0.619,-125.037
22,-1.578,0.755,-107.056
23,-1.58,0.612,-135.296
22,-1.583,0.412,-99.405
21,-1.583,0.157,-79.389
21,-1.582,-0.042,-83.059
21,-1.582,-0.075,-82.372
20,-1.579,-0.228,-55.497
19,-1.577,-0.174,-43.205
19,-1.577,0.22,-62.728
17,-1.577,0.403,-22.817
17,-1.578,0.674,-48.335
15,-1.584,1.305,-21.403
15,-1.589,1.752,-52.372
13,-1.599,2.082,-18.234
13,-1.61,2.559,-51.166
12,-1.624,2.938,-41.51
12,-1.639,3.115,-58.381
12,-1.655,3.097,-61.069
11,-1.67,3.027,-39.955
11,-1.685,2.891,-48.39
10,-1.698,2.465,-17.266
10,-1.709,2.056,-17.654
10,-1.719,1.921,-16.202
8,-1.727,1.781,30.688
8,-1.735,1.688,13.745
6,-1.744,1.865,52.063
5,-1.752,2.134,47.763
4,-1.764,2.599,46.647
2,-1.779,3.249,62.432
0,-1.795,3.777,72.277
0,-1.816,4.45,32.36
-1,-1.841,5.074,33.303
-1,-1.866,5.213,15.693
-1,-1.894,5.283,8.215
-1,-1.922,5.114,7.262
-1,-1.945,4.376,22.141
-1,-1.967,3.583,38.955
0,-1.982,2.767,35.043
-1,-1.993,1.877,87.817
-2,-2.001,1.242,116.608
-3,-2.005,0.905,138.329
-4,-2.009,0.971,149.319
-7,-2.014,1.391,195.72
-9,-2.022,2.135,192.651
-11,-2.037,3.336,184.815
-13,-2.058,4.576,174.976
-15,-2.084,5.687,167.51
-16,-2.118,6.797,136.08
-17,-2.156,7.491,123.843
-17,-2.196,7.757,100.104
-17,-2.237,7.806,90.742
-17,-2.277,7.387,94.199
-17,-2.313,6.637,106.967
-16,-2.346,5.806,100.184
-17,-2.373,4.829,152.274
-16,-2.396,4.005,138.332
-18,-2.417,3.487,202.017
-18,-2.432,3.06,192.564
-20,-2.448,2.962,237.084
-21,-2.465,3.261,230.635
-23,-2.483,3.71,251.347
-25,-2.504,4.389,256.312
-26,-2.529,5.158,235.839
-28,-2.559,5.844,248.087
-29,-2.591,6.531,228.253
-30,-2.627,7.179,217.757
-30,-2.667,7.667,188.301
-31,-2.708,7.912,196.314
-31,-2.75,7.995,177.143
-31,-2.793,7.95,170.157
-30,-2.834,7.606,148.982
-31,-2.873,7.073,187.047
-30,-2.91,6.584,161.584
-30,-2.944,5.988,179.894
-30,-2.973,5.228,194.446
-30,-3.0,4.645,204.851
-30,-3.025,4.281,209.837
-31,-3.047,3.895,238.466
-31,-3.067,3.73,230.147
-32,-3.089,3.967,242.297
-33,-3.112,4.294,242.998
-33,-3.137,4.721,218.063
-34,-3.165,5.303,219.766
-34,-3.195,5.703,194.644
-34,-3.228,5.954,181.827
-34,-3.262,6.138,170.505
