encoder_value,roll_value,gyro_value,pid
3,-2.482,0.969,-67.692
2,-2.489,1.108,-41.347
4,-2.496,1.06,-95.476
4,-2.513,2.802,-127.128
5,-2.545,5.572,-229.381
8,-2.573,4.355,-261.173
11,-2.579,-0.394,-177.15
14,-2.56,-4.718,-99.587
15,-2.528,-7.426,-17.176
15,-2.484,-8.897,39.249
13,-2.435,-9.373,106.471
11,-2.389,-8.376,116.013
7,-2.352,-6.278,139.785
4,-2.325,-3.726,109.105
0,-2.314,-0.789,96.47
-1,-2.318,2.087,6.052
-1,-2.337,4.429,-68.655
-2,-2.367,6.006,-94.016
0,-2.402,6.539,-168.908
1,-2.438,6.029,-167.194
5,-2.468,4.495,-213.393
7,-2.487,2.112,-163.272
10,-2.492,-0.596,-142.035
12,-2.482,-3.227,-88.519
12,-2.458,-5.457,-6.973
12,-2.424,-6.895,37.789
8,-2.347,-6.846,132.523
5,-2.314,-5.468,143.078
2,-2.292,-3.089,124.969
0,-2.285,-0.086,64.89
-2,-2.294,2.767,14.54
-2,-2.316,4.931,-65.133
-2,-2.349,6.283,-107.501
0,-2.386,6.57,-167.348
2,-2.42,5.529,-173.598
5,-2.455,5.48,-228.796
8,-2.496,6.318,-299.776
12,-2.523,3.209,-285.875
16,-2.518,-3.038,-173.501
19,-2.483,-8.285,-59.25
17,-2.355,-13.649,170.688
7,-2.215,-11.02,308.595
2,-2.163,-7.506,284.482
-3,-2.135,-2.925,236.12
-8,-2.136,2.406,162.34
-10,-2.163,7.344,26.474
-12,-2.213,10.729,-46.137
-10,-2.277,12.387,-165.473
-6,-2.348,12.73,-260.493
-2,-2.414,11.176,-286.558
3,-2.463,7.354,-271.539
8,-2.491,2.633,-219.671
11,-2.492,-2.127,-116.39
14,-2.466,-6.609,-33.151
11,-2.362,-11.516,211.533
8,-2.299,-11.227,256.85
3,-2.245,-8.914,291.725
-2,-2.204,-5.512,277.368
-7,-2.187,-1.24,235.144
-12,-2.197,3.675,170.522
-14,-2.23,8.074,47.73
-14,-2.285,11.225,-64.34
-13,-2.35,12.551,-134.746
-9,-2.414,11.982,-213.29
-5,-2.475,10.012,-227.154
0,-2.519,6.584,-221.67
3,-2.543,2.262,-134.417
6,-2.542,-1.964,-63.048
7,-2.519,-5.825,48.27
7,-2.478,-8.546,137.372
4,-2.43,-9.386,236.578
0,-2.379,-8.585,288.535
-3,-2.338,-6.199,264.955
-9,-2.315,-2.651,283.514
-12,-2.309,1.208,196.348
-16,-2.328,5.031,154.435
-16,-2.364,8.054,31.522
-15,-2.47,10.829,-94.218
-13,-2.527,10.071,-112.306
-9,-2.574,7.853,-134.829
-5,-2.611,5.058,-122.087
-3,-2.629,1.708,-45.921
0,-2.628,-1.626,-6.897
0,-2.612,-4.335,94.934
0,-2.58,-6.421,156.43
