encoder_value,roll_value,gyro_value,pid
21,-1.959,1.034,-180.895
22,-1.956,-1.375,-121.175
22,-1.941,-3.428,-55.028
22,-1.918,-4.667,-17.808
20,-1.887,-5.355,51.15
18,-1.856,-5.212,80.409
16,-1.831,-3.879,76.957
12,-1.814,-1.921,100.236
9,-1.809,0.355,72.485
6,-1.818,2.923,43.221
4,-1.838,5.207,-3.267
4,-1.869,6.831,-70.418
3,-1.908,7.816,-81.948
5,-1.949,8.062,-150.402
6,-1.99,7.475,-147.669
7,-2.025,5.945,-127.707
10,-2.049,3.954,-138.161
11,-2.064,2.042,-86.164
11,-2.065,-0.133,-20.028
11,-2.057,-1.966,30.152
8,-2.028,-2.425,106.272
6,-2.014,-1.707,116.876
3,-2.009,-0.08,124.271
0,-2.012,1.74,116.128
-1,-2.025,3.537,61.48
-2,-2.049,5.281,23.993
-3,-2.078,6.32,4.17
-3,-2.113,6.718,-22.08
-1,-2.148,6.645,-72.184
-1,-2.18,5.738,-36.621
0,-2.206,4.313,-26.337
0,-2.224,2.822,18.51
1,-2.232,1.168,38.313
0,-2.232,-0.278,107.993
0,-2.227,-0.958,118.106
-2,-2.22,-0.976,164.955
-4,-2.214,-0.453,179.232
-6,-2.213,0.686,176.313
-9,-2.22,2.187,184.717
-11,-2.235,3.647,161.253
-13,-2.258,5.074,146.128
-14,-2.288,6.447,108.471
-15,-2.324,7.253,93.672
-14,-2.362,7.394,51.114
-14,-2.4,7.24,56.6
-14,-2.436,6.719,63.436
-13,-2.468,5.764,60.058
-13,-2.495,4.639,93.547
-12,-2.515,3.467,98.34
-13,-2.53,2.393,155.417
-14,-2.538,1.557,189.49
-14,-2.543,1.105,191.657
-17,-2.549,1.138,257.201
-18,-2.554,1.525,241.818
-21,-2.563,2.382,275.836
-22,-2.578,3.548,237.897
-25,-2.599,4.691,262.169
-27,-2.627,5.988,240.557
-28,-2.661,7.222,205.887
-28,-2.701,8.023,168.05
-30,-2.745,8.471,192.73
-29,-2.789,8.675,138.462
-29,-2.835,8.658,138.904
-28,-2.88,8.238,118.991
-28,-2.921,7.473,140.356
-27,-2.958,6.647,132.619
-27,-2.99,5.663,161.605
-26,-3.017,4.623,161.653
-27,-3.04,3.811,210.332
-27,-3.057,3.142,215.979
-27,-3.073,2.751,223.447
-29,-3.091,2.697,266.393
-29,-3.106,2.851,241.659
-31,-3.125,3.372,269.354
-32,-3.146,4.048,252.272
-33,-3.169,4.755,242.651
-33,-3.198,5.588,206.2
-34,-3.23,6.186,206.937
-34,-3.264,6.622,179.853
-34,-3.302,6.921,164.723
-34,-3.338,6.587,166.883
-33,-3.371,5.991,153.843
-33,-3.404,5.573,167.766
-32,-3.431,4.975,156.01
-32,-3.457,4.338,177.118
-31,-3.48,3.944,160.794
-31,-3.501,3.655,173.507
-31,-3.521,3.474,174.543
-30,-3.541,3.346,151.94
-30,-3.56,3.187,161.567
-30,-3.579,3.007,162.951
-30,-3.595,2.764,166.365
-30,-3.611,2.52,170.07
-29,-3.625,2.363,149.127
-29,-3.64,2.256,158.352
-29,-3.653,2.139,159.053
-29,-3.667,2.041,159.311
-28,-3.68,1.983,136.069
-28,-3.692,1.895,145.084
-28,-3.704,1.764,146.424
-27,-3.716,1.635,125.444
-27,-3.726,1.446,137.669
-27,-3.735,1.284,140.424
-26,-3.745,1.334,114.944
-26,-3.755,1.343,121.861
-25,-3.764,1.105,104.219
-24,-3.772,0.836,96.372
-24,-3.779,0.493,113.318
-23,-3.783,-0.003,103.501
-23,-3.785,-0.44,123.829
-22,-3.783,-0.848,112.638
-23,-3.781,-1.21,154.415
-22,-3.777,-1.305,126.548
-22,-3.773,-1.158,132.593
-22,-3.77,-0.863,125.48
-21,-3.77,-0.434,91.915
-21,-3.772,-0.002,89.153
-21,-3.776,0.245,82.092
-21,-3.781,0.327,79.098
-19,-3.786,0.29,34.311
-19,-3.791,-0.032,60.061
-17,-3.792,-0.559,29.07
-17,-3.792,-1.025,59.471
-16,-3.787,-1.573,52.596
-14,-3.78,-2.169,33.972
-14,-3.771,-2.537,63.514
-14,-3.759,-2.737,71.389
-13,-3.748,-2.612,47.912
-12,-3.738,-2.319,28.68
-12,-3.725,-2.222,37.871
-11,-3.716,-1.934,9.643
-11,-3.71,-1.593,10.861
-9,-3.703,-1.624,-31.79
-8,-3.698,-1.66,-34.393
-7,-3.693,-1.799,-43.026
-5,-3.685,-2.252,-65.447
-3,-3.677,-2.721,-78.44
-2,-3.664,-3.349,-63.792
0,-3.648,-4.066,-77.514
0,-3.629,-4.735,-38.187
2,-3.604,-5.504,-57.723
3,-3.577,-5.913,-46.183
3,-3.55,-5.945,-30.942
3,-3.52,-5.874,-27.003
3,-3.495,-5.3,-37.216
4,-3.452,-3.942,-87.263
4,-3.439,-3.191,-95.635
4,-3.427,-2.616,-108.461
7,-3.417,-2.383,-180.113
8,-3.409,-2.445,-172.678
10,-3.396,-3.042,-190.339
12,-3.382,-3.768,-195.364
15,-3.364,-4.692,-216.864
16,-3.337,-6.112,-169.725
18,-3.305,-7.203,-170.57
19,-3.269,-7.903,-149.582
20,-3.226,-8.738,-132.773
21,-3.182,-9.083,-128.613
20,-3.139,-8.787,-96.643
20,-3.095,-8.399,-107.381
20,-3.056,-7.726,-117.671
20,-3.021,-6.809,-135.19
19,-2.99,-5.97,-128.889
20,-2.964,-5.105,-178.341
21,-2.942,-4.463,-204.706
21,-2.922,-4.186,-199.328
23,-2.904,-3.97,-246.619
24,-2.886,-4.052,-245.667
26,-2.865,-4.619,-262.737
28,-2.843,-5.221,-269.664
29,-2.817,-5.909,-251.052
31,-2.785,-6.874,-255.416
32,-2.75,-7.785,-229.226
33,-2.708,-8.675,-211.168
34,-2.661,-9.476,-194.538
33,-2.613,-9.873,-143.365
34,-2.562,-9.976,-162.137
32,-2.512,-9.697,-106.103
32,-2.464,-9.012,-132.947
31,-2.42,-8.137,-125.242
30,-2.382,-7.045,-133.47
30,-2.35,-5.867,-167.485
29,-2.324,-4.756,-169.637
29,-2.304,-3.822,-199.558
30,-2.287,-3.25,-234.052
30,-2.272,-3.053,-227.76
31,-2.256,-3.213,-243.16
31,-2.239,-3.578,-221.494
