encoder_value,roll_value,gyro_value,pid
32,-1.83,-3.524,-170.289
31,-1.813,-3.021,-158.083
31,-1.798,-2.61,-175.206
31,-1.786,-2.209,-183.815
30,-1.775,-2.045,-163.784
31,-1.764,-2.071,-192.529
31,-1.754,-2.047,-182.51
31,-1.742,-2.182,-176.896
31,-1.73,-2.378,-169.594
30,-1.717,-2.439,-143.369
31,-1.702,-2.6,-167.854
30,-1.688,-2.695,-131.404
29,-1.674,-2.587,-118.14
30,-1.659,-2.368,-152.752
28,-1.648,-2.002,-106.676
29,-1.637,-1.676,-153.685
27,-1.629,-1.3,-108.521
27,-1.623,-0.852,-137.387
27,-1.618,-0.603,-143.236
26,-1.616,-0.411,-125.657
26,-1.613,-0.287,-137.586
26,-1.611,-0.271,-137.836
26,-1.609,-0.268,-137.857
25,-1.606,-0.367,-112.463
25,-1.604,-0.345,-121.799
25,-1.602,-0.238,-124.494
24,-1.599,-0.34,-98.916
23,-1.596,-0.293,-86.337
23,-1.595,0.025,-103.625
23,-1.594,0.243,-109.488
22,-1.595,0.446,-92.923
22,-1.598,0.787,-111.648
22,-1.602,1.035,-119.233
21,-1.607,0.991,-96.751
20,-1.61,0.827,-79.744
21,-1.613,0.812,-111.614
20,-1.616,0.702,-78.102
19,-1.617,0.4,-56.924
19,-1.618,0.452,-67.673
18,-1.621,0.685,-52.034
18,-1.622,0.629,-59.907
16,-1.625,0.74,-18.721
16,-1.629,1.141,-48.158
15,-1.634,1.452,-35.157
14,-1.642,1.678,-29.278
13,-1.65,1.995,-25.906
12,-1.661,2.474,-27.405
12,-1.674,2.826,-48.432
10,-1.688,2.919,-8.808
11,-1.703,3.108,-57.24
10,-1.719,3.256,-33.153
9,-1.734,3.036,-16.842
9,-1.749,2.887,-24.756
8,-1.763,2.899,-5.638
8,-1.775,2.581,-8.627
7,-1.788,2.316,18.359
7,-1.799,2.468,2.991
5,-1.812,2.566,42.8
5,-1.824,2.566,22.484
3,-1.837,2.811,58.188
2,-1.851,3.154,50.828
1,-1.867,3.448,53.402
0,-1.886,3.878,51.784
0,-1.906,4.336,26.701
-1,-1.929,4.641,36.45
-1,-1.954,4.752,19.644
-1,-1.979,4.625,18.165
-1,-2.002,4.283,22.521
-1,-2.023,3.679,34.488
-1,-2.039,2.928,51.1
-2,-2.052,2.243,89.174
-3,-2.068,1.389,122.27
-4,-2.075,1.437,133.191
-6,-2.082,1.815,157.758
-8,-2.092,2.477,165.228
-10,-2.106,3.117,172.639
-12,-2.124,3.871,176.24
-13,-2.147,4.98,146.991
-14,-2.176,5.932,129.789
-15,-2.208,6.414,124.241
-16,-2.243,6.755,121.97
-16,-2.279,6.983,100.027
-16,-2.315,6.748,99.239
-16,-2.348,6.143,108.731
-16,-2.379,5.563,118.239
