encoder_value,roll_value,gyro_value,pid
28,-2.308,-3.997,-219.399
28,-2.29,-3.972,-198.885
28,-2.269,-4.264,-187.213
29,-2.247,-4.546,-198.042
30,-2.225,-4.629,-205.302
29,-2.199,-4.99,-159.57
30,-2.173,-5.221,-179.897
30,-2.148,-5.072,-170.19
29,-2.121,-5.13,-141.102
30,-2.094,-5.013,-170.713
29,-2.072,-4.479,-149.239
30,-2.048,-4.175,-184.339
29,-2.029,-3.885,-157.036
29,-2.011,-3.472,-173.657
29,-1.993,-3.337,-173.871
29,-1.977,-3.261,-173.047
29,-1.96,-3.241,-170.516
29,-1.942,-3.327,-165.057
29,-1.926,-3.284,-163.244
29,-1.909,-3.301,-159.587
29,-1.892,-3.269,-157.32
29,-1.876,-3.025,-160.977
28,-1.86,-2.891,-139.161
29,-1.845,-2.737,-171.968
28,-1.832,-2.443,-146.122
29,-1.819,-2.305,-178.808
28,-1.808,-2.186,-148.675
28,-1.797,-2.078,-158.515
28,-1.785,-2.158,-154.266
28,-1.774,-2.199,-151.245
28,-1.761,-2.224,-148.403
27,-1.749,-2.264,-122.71
28,-1.737,-2.191,-153.976
27,-1.725,-2.165,-121.108
26,-1.713,-2.102,-107.153
26,-1.703,-1.766,-123.202
26,-1.694,-1.388,-131.686
25,-1.686,-1.133,-114.776
25,-1.681,-0.781,-132.244
24,-1.677,-0.404,-119.327
24,-1.675,-0.241,-132.253
24,-1.673,-0.15,-134.62
24,-1.672,-0.047,-137.437
24,-1.672,-0.058,-137.202
24,-1.681,1.864,-190.241
24,-1.708,5.135,-282.45
26,-1.734,4.564,-317.685
27,-1.741,0.52,-216.758
30,-1.728,-3.076,-177.664
30,-1.704,-5.328,-86.679
30,-1.67,-6.72,-43.302
28,-1.63,-7.244,23.167
25,-1.592,-6.594,62.697
22,-1.559,-5.165,71.779
19,-1.536,-3.107,62.151
16,-1.525,-0.493,35.356
12,-1.529,2.1,28.879
11,-1.546,4.47,-50.749
10,-1.574,6.385,-93.808
9,-1.609,7.315,-111.921
11,-1.647,7.417,-176.135
11,-1.685,6.841,-150.722
14,-1.716,5.431,-186.857
14,-1.739,3.67,-118.133
16,-1.751,1.77,-115.271
17,-1.752,-0.211,-67.696
15,-1.746,-1.695,26.527
16,-1.731,-2.481,9.888
13,-1.716,-2.513,89.782
11,-1.703,-1.891,93.857
7,-1.694,-0.626,134.0
5,-1.695,1.35,90.657
2,-1.705,3.25,87.74
0,-1.724,4.893,58.415
0,-1.755,6.795,-16.023
-1,-1.795,8.202,-38.761
0,-1.838,8.345,-82.377
0,-1.881,7.821,-68.153
1,-1.919,6.822,-71.656
3,-1.968,3.109,-1.277
4,-1.967,-0.668,76.53
2,-1.94,-5.375,260.523
0,-1.906,-5.644,301.397
