encoder_value,roll_value,gyro_value,pid
-23,-3.384,6.213,50.081
-22,-3.429,9.315,-90.098
-20,-3.489,10.67,-173.716
-15,-3.55,10.32,-270.888
-10,-3.602,7.842,-283.08
-3,-3.639,4.262,-307.998
2,-3.652,-0.33,-238.633
6,-3.633,-5.9,-132.448
10,-3.592,-10.51,-56.16
11,-3.528,-13.624,52.181
10,-3.449,-15.577,150.994
6,-3.369,-15.35,241.689
2,-3.295,-13.202,253.598
-2,-3.234,-9.971,234.048
-6,-3.198,-5.445,175.456
-10,-3.186,-0.478,100.369
-11,-3.199,3.699,-26.128
-10,-3.235,6.717,-144.478
-8,-3.28,8.093,-225.831
-4,-3.326,7.709,-296.721
1,-3.367,5.568,-324.667
7,-3.386,1.546,-311.975
12,-3.384,-3.134,-246.235
15,-3.357,-7.497,-148.036
18,-3.306,-11.396,-75.28
18,-3.241,-13.828,28.608
17,-3.166,-14.641,87.32
14,-3.09,-14.227,149.766
10,-3.023,-12.193,172.065
6,-2.97,-8.923,150.028
2,-2.935,-4.968,106.142
0,-2.924,-0.647,2.907
-2,-2.935,3.043,-69.946
0,-2.961,5.625,-206.292
0,-3.0,7.032,-233.447
5,-3.04,6.621,-342.826
9,-3.073,4.46,-337.414
14,-3.091,1.101,-328.591
19,-3.087,-3.101,-284.191
23,-3.062,-7.135,-217.583
24,-3.017,-10.375,-109.675
25,-2.954,-12.779,-47.4
24,-2.886,-13.807,24.648
22,-2.816,-13.385,63.1
19,-2.75,-11.887,85.767
15,-2.696,-9.386,93.063
13,-2.655,-6.333,29.332
9,-2.632,-3.172,21.969
8,-2.627,-0.065,-72.671
7,-2.636,2.502,-129.126
9,-2.657,4.039,-227.932
10,-2.683,4.346,-245.921
13,-2.708,3.565,-288.7
17,-2.725,1.859,-309.994
20,-2.732,-0.86,-271.296
24,-2.722,-4.035,-248.294
25,-2.696,-6.716,-159.087
27,-2.656,-8.785,-132.514
26,-2.606,-10.289,-42.686
25,-2.551,-10.859,-3.316
24,-2.498,-10.412,8.593
23,-2.448,-9.163,-1.231
20,-2.408,-7.431,19.053
20,-2.375,-5.653,-48.447
18,-2.35,-3.883,-45.679
17,-2.336,-2.236,-82.098
16,-2.327,-1.023,-99.097
16,-2.325,0.1,-137.731
16,-2.33,0.921,-160.551
17,-2.334,0.885,-183.058
19,-2.34,0.531,-210.948
19,-2.342,-0.076,-177.713
21,-2.338,-1.184,-192.58
23,-2.33,-2.272,-189.476
23,-2.315,-3.343,-140.451
23,-2.294,-4.24,-112.708
24,-2.273,-4.483,-124.738
23,-2.248,-4.668,-83.798
22,-2.223,-4.733,-63.71
22,-2.201,-4.059,-86.476
21,-2.182,-3.354,-79.011
20,-2.166,-2.778,-77.744
20,-2.156,-1.756,-112.037
19,-2.149,-0.829,-113.062
19,-2.147,-0.326,-134.956
19,-2.147,0.094,-146.44
20,-2.148,0.255,-173.419
20,-2.149,0.093,-160.68
21,-2.15,-0.2,-175.678
22,-2.148,-0.606,-178.242
23,-2.144,-1.087,-178.568
23,-2.137,-1.703,-152.118
24,-2.127,-2.281,-157.403
24,-2.115,-2.617,-137.415
24,-2.1,-2.967,-125.381
24,-2.083,-3.169,-117.013
24,-2.068,-2.985,-119.083
23,-2.052,-2.801,-98.643
22,-2.038,-2.601,-87.763
23,-2.025,-2.158,-128.632
22,-2.015,-1.745,-106.3
21,-2.006,-1.405,-100.29
22,-2.0,-0.919,-143.588
20,-1.997,-0.513,-100.022
22,-1.994,-0.333,-167.165
21,-1.994,-0.117,-132.79
21,-1.993,-0.021,-144.348
22,-1.992,-0.12,-164.252
22,-1.992,-0.276,-151.359
23,-1.988,-0.693,-162.13
23,-1.983,-1.027,-143.72
23,-1.978,-1.203,-138.176
23,-1.969,-1.595,-126.215
23,-1.961,-1.753,-120.706
23,-1.952,-1.692,-120.748
23,-1.942,-1.755,-117.351
22,-1.934,-1.66,-96.052
22,-1.925,-1.483,-108.034
22,-1.917,-1.249,-112.842
21,-1.912,-0.834,-100.632
21,-1.908,-0.484,-118.234
21,-1.907,-0.143,-127.272
21,-1.907,0.105,-134.048
20,-1.906,0.125,-112.29
21,-1.908,0.257,-147.677
