encoder_value,roll_value,gyro_value,pid
0,-3.189,4.485,-243.458
8,-3.194,-2.731,-188.284
10,-3.174,-5.565,-109.461
12,-3.139,-7.998,-65.18
12,-3.092,-9.711,7.252
11,-3.04,-10.297,55.495
10,-2.986,-10.013,72.138
7,-2.937,-8.89,110.524
5,-2.897,-6.848,82.447
2,-2.859,-6.282,124.414
0,-2.817,-7.047,171.124
-2,-2.789,-4.183,127.731
-4,-2.792,1.508,3.444
-5,-2.818,5.768,-109.992
-5,-2.861,8.02,-187.178
3,-2.956,6.778,-307.979
10,-2.984,3.39,-354.282
14,-2.992,-0.861,-270.544
19,-2.974,-5.508,-220.608
21,-2.933,-9.76,-100.216
22,-2.874,-12.698,-15.44
20,-2.803,-14.178,91.687
18,-2.728,-14.06,130.157
15,-2.66,-12.403,149.231
9,-2.6,-9.78,199.361
6,-2.558,-6.328,130.005
2,-2.538,-2.261,89.159
0,-2.539,1.758,-8.463
-1,-2.561,5.176,-98.767
0,-2.599,7.285,-193.544
1,-2.642,7.62,-224.551
6,-2.683,6.545,-307.595
10,-2.716,4.195,-297.099
14,-2.729,0.548,-257.371
18,-2.722,-3.386,-205.855
20,-2.695,-6.91,-116.536
21,-2.648,-10.066,-28.294
20,-2.589,-11.937,64.242
18,-2.526,-12.022,114.859
15,-2.462,-11.017,150.144
10,-2.409,-8.875,189.288
6,-2.371,-5.508,152.824
2,-2.352,-1.639,108.06
0,-2.356,2.208,14.367
-2,-2.38,5.559,-52.028
-1,-2.418,7.857,-160.86
1,-2.466,8.615,-226.435
3,-2.511,7.565,-234.669
8,-2.545,5.327,-276.607
12,-2.566,2.3,-245.837
15,-2.565,-1.681,-171.875
17,-2.546,-5.273,-91.146
18,-2.513,-7.45,-31.639
17,-2.466,-9.116,53.05
16,-2.415,-9.826,95.378
12,-2.366,-8.719,156.472
9,-2.323,-6.715,143.604
5,-2.295,-4.087,142.389
1,-2.284,-0.637,107.197
0,-2.29,3.011,-3.987
-2,-2.318,5.974,-52.043
-1,-2.355,7.533,-141.052
0,-2.399,8.108,-178.477
3,-2.444,7.682,-234.661
6,-2.479,5.464,-223.509
10,-2.5,2.41,-209.908
12,-2.505,-0.652,-138.881
14,-2.49,-3.926,-76.407
15,-2.463,-6.492,-7.619
13,-2.382,-7.79,87.547
9,-2.345,-6.839,150.466
6,-2.313,-4.856,135.727
3,-2.294,-2.145,108.123
0,-2.292,0.709,73.471
-1,-2.304,3.249,-0.513
-1,-2.329,5.506,-74.251
-1,-2.364,6.83,-116.243
0,-2.401,6.687,-142.287
3,-2.436,5.691,-181.289
5,-2.463,4.026,-160.639
8,-2.476,1.454,-144.694
9,-2.476,-1.264,-68.449
11,-2.463,-3.34,-46.927
10,-2.44,-4.815,36.952
9,-2.412,-5.698,79.484
8,-2.381,-5.62,96.933
5,-2.355,-4.346,126.756
2,-2.337,-2.32,117.054
0,-2.331,-0.168,79.445
-1,-2.337,1.969,26.112
-2,-2.355,3.916,-15.511
-1,-2.381,5.215,-86.394
-1,-2.412,5.535,-92.161
1,-2.44,4.822,-123.858
2,-2.463,3.426,-95.943
5,-2.476,1.633,-109.538
5,-2.478,-0.463,-27.603
6,-2.47,-2.246,-1.218
6,-2.456,-3.248,37.087
5,-2.436,-3.696,75.218
4,-2.416,-3.575,89.397
2,-2.4,-2.706,105.599
0,-2.389,-1.29,97.302
-1,-2.388,0.483,55.129
-3,-2.397,2.192,44.1
-3,-2.435,4.192,-34.283
-2,-2.458,4.277,-63.634
0,-2.48,3.552,-84.674
0,-2.497,2.395,-39.702
1,-2.506,0.912,-24.519
2,-2.506,-0.577,1.319
2,-2.5,-1.807,44.067
1,-2.483,-2.641,92.022
0,-2.468,-2.466,103.958
0,-2.457,-1.581,73.716
-3,-2.45,-0.719,119.556
-3,-2.45,0.548,59.139
-4,-2.46,2.029,40.519
-5,-2.473,2.647,35.149
-5,-2.488,2.778,19.814
-4,-2.505,3.028,-12.693
-4,-2.52,2.683,2.389
-3,-2.532,1.814,0.619
-3,-2.542,1.13,25.856
-2,-2.546,0.383,22.445
-3,-2.546,-0.493,76.977
-3,-2.543,-1.08,84.355
-3,-2.536,-1.265,90.561
-5,-2.53,-1.196,134.863
-6,-2.524,-0.877,132.262
-7,-2.523,0.005,122.745
-8,-2.526,1.074,107.301
-10,-2.534,1.721,124.771
-11,-2.561,3.064,79.557
-11,-2.578,3.295,70.22
-12,-2.596,3.237,90.678
-11,-2.614,3.234,55.876
-11,-2.632,3.032,66.825
-11,-2.646,2.378,81.414
-11,-2.657,1.673,98.098
-11,-2.665,1.267,107.288
-12,-2.671,0.836,140.166
-12,-2.674,0.376,142.915
-13,-2.677,0.294,167.148
-14,-2.679,0.469,175.769
-16,-2.683,0.766,203.203
-17,-2.689,1.293,192.771
-19,-2.697,1.949,209.843
-20,-2.71,2.737,191.313
-21,-2.728,3.674,176.602
-22,-2.75,4.529,163.203
-23,-2.777,5.208,153.682
-23,-2.807,5.748,124.678
-23,-2.839,5.966,112.725
-22,-2.871,5.767,89.461
-22,-2.901,5.294,105.211
-22,-2.927,4.684,116.329
-21,-2.951,4.06,105.863
-20,-2.972,3.4,105.914
-21,-2.988,2.62,154.954
-20,-3.001,2.001,137.639
-21,-3.012,1.647,176.384
-21,-3.02,1.278,175.906
-22,-3.027,1.123,201.191
-22,-3.035,1.299,186.229
-24,-3.043,1.433,226.343
-24,-3.052,1.757,198.268
-26,-3.065,2.459,222.297
-26,-3.08,3.167,182.875
-27,-3.1,3.825,184.091
-27,-3.123,4.381,156.147
-27,-3.148,4.745,141.827
-27,-3.177,5.026,128.991
-27,-3.205,4.985,124.778
-26,-3.231,4.622,106.885
-26,-3.257,4.162,123.198
-25,-3.278,3.477,115.014
-24,-3.296,2.794,116.201
-24,-3.312,2.23,137.221
-24,-3.322,1.579,152.577
