#{"t_start": 1738888128.6206336, "env_id": "BicycleBalance-v0"}
r,l,t
-5.0,11,0.189634
-6.5,8,0.198636
-5.0,12,0.210699
-6.5,21,0.233637
-3.0,10,0.242633
-5.5,9,0.251635
-8.0,10,0.261637
-9.5,8,0.26964
-0.5,19,0.289636
-5.5,15,0.304633
-11.5,12,0.314715
2.0,20,0.334647
-10.0,6,0.338644
-7.0,9,0.346642
-6.0,11,0.355645
-2.5,12,0.365641
3.0,21,0.383205
-12.0,9,0.390197
-8.0,8,0.39821
-7.5,12,0.409207
-8.5,15,0.421206
4.0,20,0.440207
-6.0,14,0.451206
-7.5,11,0.459205
-3.5,18,0.476207
-7.5,9,0.484205
-6.0,7,0.489199
-4.5,10,0.497205
-12.5,9,0.504208
-11.0,12,0.514206
-11.5,11,0.523208
-2.5,12,0.532206
-7.5,14,0.547206
-11.0,9,0.555209
-2.5,18,0.569205
-2.5,19,0.585208
-7.5,10,0.592208
-8.5,12,0.602206
-5.0,11,0.610206
-9.5,6,0.616198
-4.5,15,0.627204
-8.5,12,0.637206
-6.5,8,0.648925
-9.5,7,0.658602
-6.5,8,0.665721
-9.0,9,0.675214
-12.0,13,0.686996
-9.0,12,0.698429
-7.0,13,0.710148
9.0,22,0.728489
3.5,18,0.746685
4.5,17,0.762467
-12.5,10,0.771532
-7.0,11,0.781155
-4.0,10,0.789155
-4.0,17,0.806172
-5.5,12,0.818683
-2.5,10,0.827193
-10.0,10,0.837705
-6.0,8,0.84421
-6.5,16,0.860765
-6.0,11,0.870283
-3.5,14,0.880822
-7.0,11,0.890356
-0.5,14,0.90089
-9.5,10,0.908892
-5.5,9,0.91642
-13.0,14,0.926952
-6.0,10,0.935484
-11.0,9,0.942485
0.0,18,0.959543
-12.0,15,0.972534
-9.0,13,0.983541
-5.5,12,0.993539
-4.0,9,1.000538
-8.5,10,1.008538
-13.0,12,1.01861
2.5,17,1.031541
-3.5,11,1.041535
-7.5,11,1.051538
-4.0,12,1.064139
-12.0,9,1.071139
-4.5,8,1.07814
-11.0,8,1.086141
-10.5,8,1.09314
-9.5,9,1.10014
-5.5,9,1.108142
-10.5,6,1.113775
-6.0,12,1.123776
-10.0,9,1.131775
-9.5,11,1.140776
-1.5,19,1.158774
-5.0,14,1.169774
-11.5,8,1.176775
-4.0,15,1.188784
-7.0,22,1.206785
-10.0,15,1.218783
-5.5,7,1.224784
-4.5,10,1.231783
-5.5,11,1.240786
1.0,17,1.254782
-10.5,8,1.264782
-6.0,9,1.270785
-4.0,16,1.284779
-6.5,8,1.292788
-8.0,10,1.302783
-8.5,10,1.311785
-4.5,8,1.319787
-6.0,10,1.328776
-8.5,18,1.342787
-6.5,11,1.350786
-5.5,10,1.360776
-4.5,13,1.372786
-8.0,10,1.381357
2.5,21,1.400358
4.5,24,1.418644
-9.0,10,1.426645
-2.5,12,1.435637
-4.0,14,1.447638
-4.0,11,1.455637
-11.5,7,1.46481
-4.5,20,1.481879
2.5,17,1.496879
-3.5,14,1.50788
-3.5,11,1.51688
-3.5,12,1.526882
-6.0,9,1.535081
-5.0,11,1.544074
-9.5,8,1.551073
-11.0,7,1.557075
-5.5,18,1.574073
-8.0,8,1.582077
-9.5,11,1.591362
-12.0,11,1.599369
-13.5,11,1.608369
-12.0,11,1.617368
3.5,16,1.629364
2.0,16,1.644687
3.5,23,1.667675
-5.0,11,1.676683
-11.5,9,1.684919
-6.5,8,1.69184
-10.0,14,1.706509
-3.5,11,1.71627
-11.0,8,1.723283
-4.5,11,1.733285
-10.5,10,1.742283
-9.5,14,1.753276
-6.5,11,1.763285
-7.5,8,1.773283
-6.0,10,1.782283
-11.0,12,1.793286
-6.5,8,1.801285
-2.0,11,1.810283
-7.5,7,1.816287
-14.5,11,1.825304
-2.5,12,1.836194
-8.0,11,1.84465
-1.0,15,1.857715
-4.5,8,1.864716
-7.0,11,1.875717
-6.5,10,1.884721
2.5,17,1.897723
-8.5,12,1.907722
-4.5,10,1.915722
-9.5,9,1.924099
-8.0,8,1.931614
-6.5,8,1.938613
-5.0,10,1.946614
-6.0,10,1.954613
-10.0,18,1.969614
-6.5,19,3.076102
0.5,21,3.094103
-8.0,9,3.10211
-3.5,11,3.113105
-9.5,5,3.117104
-9.5,5,3.121104
-7.5,5,3.125104
4.5,19,3.144102
-15.0,11,3.153117
-7.5,9,3.160103
-6.5,14,3.174109
-9.5,8,3.183102
-13.0,11,3.193105
-3.0,16,3.206105
-5.0,8,3.216104
-5.5,13,3.229104
-9.5,13,3.240107
-5.0,11,3.250105
-17.5,13,3.264193
-3.5,12,3.275012
-2.0,12,3.285005
1.5,16,3.298515
-6.0,15,3.313514
-1.5,11,3.322515
-10.0,9,3.329525
-1.0,15,3.341515
-9.5,22,3.360514
0.5,15,3.373515
-11.5,12,3.383086
-3.0,10,3.391095
-7.5,9,3.399093
0.0,16,3.411094
0.0,16,3.42709
-10.0,10,3.435165
-10.0,8,3.442102
-9.5,20,3.460093
-7.5,9,3.469094
0.5,15,3.482096
-1.5,15,3.495096
-5.5,7,3.500093
-5.0,11,3.508093
2.5,17,3.524094
-8.0,8,3.530095
7.5,34,3.558378
-0.5,18,3.574377
-4.5,10,3.582386
-6.5,10,3.590385
3.0,19,3.604387
-10.5,7,3.610385
-5.5,11,3.621384
-10.0,6,3.625386
-12.5,10,3.633387
-2.5,16,3.647388
-3.5,14,3.658386
-7.0,14,3.669385
-9.5,10,3.677387
-9.5,13,3.688394
-7.5,13,3.701385
1.0,14,3.714381
-2.0,11,3.726388
-11.0,9,3.733386
-7.5,13,3.743387
-6.5,12,3.753384
-8.5,6,3.757387
-10.5,15,3.769384
-2.5,10,3.777388
-6.5,12,3.788386
-11.5,9,3.796378
5.0,20,3.815388
-2.0,14,3.830379
-7.5,17,3.846054
-4.5,10,3.855444
-7.0,11,3.864456
2.5,23,3.882452
-8.0,9,3.889452
-10.0,13,3.899452
-3.5,11,3.906521
-2.5,10,3.914449
5.5,20,3.933459
-2.0,20,3.949461
-7.0,9,3.95746
-0.5,16,3.970458
0.5,13,3.982457
-9.0,11,3.99246
-10.5,8,4.000458
-12.5,9,4.008456
-9.0,7,4.015456
-2.5,12,4.025457
-9.0,12,4.037457
2.0,18,4.051459
-5.5,11,4.061056
-13.5,11,4.070474
-8.5,15,4.083474
-9.5,11,4.092474
-7.0,11,4.101474
-6.5,13,4.112474
-5.0,12,4.122474
-5.5,12,4.135473
-7.5,9,4.143478
-11.5,14,4.155474
-8.5,6,4.161475
0.5,15,4.174474
-8.0,13,4.185474
-7.0,15,4.198474
-9.5,13,4.209474
9.5,29,4.236482
-7.5,8,4.242489
-5.5,12,4.252483
-6.5,13,4.264481
-11.5,7,4.269485
-6.0,10,4.277476
-1.5,16,4.291481
-13.5,17,4.304481
-9.0,18,4.318481
5.0,22,4.339476
-9.5,14,4.351481
-9.0,10,4.360484
-7.5,12,4.371485
-7.5,10,4.378474
-9.0,7,4.384061
-5.5,9,4.391064
-10.0,12,4.402061
-5.5,10,4.40906
-3.5,14,4.420061
-11.5,16,4.435066
-7.0,14,4.448061
-4.5,11,4.457064
-12.0,12,4.467062
-3.0,18,4.484054
-10.5,9,4.492054
-4.5,8,4.498122
-7.0,11,4.50806
-6.0,7,4.513065
-9.0,9,4.520063
-13.0,12,4.529056
-3.5,14,4.544052
-1.5,13,4.555062
-10.0,8,4.562056
-14.5,13,4.574333
-6.5,14,4.586331
-6.0,13,4.597326
-7.0,8,4.603335
-2.5,14,4.615331
-8.0,8,4.622329
-9.5,11,4.6314
-5.5,9,4.638994
-7.5,13,4.651009
2.5,15,4.663011
-1.0,18,4.677005
-15.0,14,4.688008
-10.0,16,4.701009
-8.0,6,4.705007
-12.5,8,4.711007
-6.5,10,4.719008
-4.5,11,4.727005
-10.5,12,4.737005
-5.0,11,4.748005
-4.0,15,4.759007
-8.5,14,4.770005
-1.5,13,4.780011
-9.0,10,4.788005
-16.0,14,4.799009
-8.5,7,4.804007
-8.0,8,4.810005
-15.5,15,4.821006
-0.5,15,5.830515
1.5,16,5.844984
4.5,20,5.86364
-4.0,22,5.883641
-5.0,12,5.89364
-11.5,9,5.90365
-8.5,14,5.916642
-15.5,14,5.930639
-6.0,8,5.938651
-2.0,25,5.961641
-8.5,6,5.967641
-7.5,13,5.979643
-5.0,13,5.991641
-2.0,13,6.005639
-8.0,8,6.01264
-2.5,12,6.024639
-0.5,19,6.042652
-11.5,9,6.05064
-5.5,9,6.058211
-4.5,8,6.065211
-3.0,15,6.07721
-5.5,9,6.08521
-6.0,10,6.093211
-11.0,11,6.104209
-4.0,19,6.120212
-12.5,8,6.12721
-2.5,14,6.138211
-6.0,13,6.149219
3.0,16,6.162211
-8.0,8,6.169211
-5.0,13,6.179212
-1.5,13,6.190211
-2.5,14,6.20121
-7.5,13,6.21422
-5.0,13,6.224218
-12.0,9,6.231218
0.0,22,6.24821
6.5,21,6.265219
-5.5,11,6.273222
0.5,15,6.284218
-8.5,11,6.293219
-3.5,14,6.303222
-4.0,20,6.321399
-0.5,14,6.3324
-7.5,12,6.341399
-3.5,9,6.3484
-1.5,21,6.3644
-4.0,9,6.371401
-6.0,10,6.379394
-10.0,6,6.38393
-12.5,11,6.39293
8.5,26,6.417931
-1.5,17,6.431931
-0.5,21,6.448931
-9.0,7,6.454931
-5.0,10,6.46393
-5.0,14,6.47493
-0.5,24,6.492931
-8.0,12,6.502931
-3.5,11,6.51093
-8.5,9,6.520931
-11.5,10,6.528931
-12.5,14,6.539938
-4.0,16,6.552938
-12.5,9,6.558938
-10.5,7,6.565155
-0.5,16,6.577169
-7.5,7,6.583155
-10.0,13,6.592154
-11.0,11,6.601154
-2.5,10,6.609155
-10.0,17,6.624154
-11.0,16,6.637154
7.5,22,6.654154
-3.0,13,6.664157
-5.0,13,6.673154
-8.0,10,6.681156
-10.5,10,6.689152
-10.5,12,6.699152
-1.0,15,6.710153
-1.5,19,6.727157
-5.5,9,6.734153
-6.5,13,6.744154
-6.5,12,6.755154
-11.5,8,6.761153
-1.5,18,6.775152
-10.0,13,6.786145
-9.0,9,6.793146
-12.5,10,6.802145
-10.5,12,6.812145
-3.5,13,6.825154
-4.0,12,6.835145
-6.5,8,6.841146
1.0,15,6.853145
-2.0,13,6.865145
-8.0,11,6.874146
-9.0,7,6.880307
-7.0,15,6.893307
-4.5,14,6.905308
-9.5,12,6.917307
-11.0,8,6.926308
-2.0,15,6.938326
-5.0,12,6.948399
1.0,14,6.959333
-8.0,13,6.970332
-3.5,14,6.981333
-11.0,7,6.987336
-4.5,13,6.997337
-5.5,9,7.003333
-5.5,10,7.012326
-6.0,12,7.021333
-5.0,15,7.035333
-5.5,12,7.044333
-5.0,12,7.054889
-15.0,12,7.06488
-10.0,11,7.073887
-4.5,16,7.086887
-4.0,9,7.093888
-8.0,13,7.103888
-6.0,12,7.112889
-7.0,9,7.119888
-4.0,12,7.131891
-9.5,8,7.137887
-2.0,14,7.14789
-7.5,12,7.156889
-1.0,14,7.167887
-8.5,6,7.172889
-5.5,7,7.177891
-5.5,7,7.183887
-6.5,14,7.193887
-13.0,16,7.206881
-6.0,8,7.21289
-2.5,20,7.230892
-4.5,10,7.238891
-8.0,8,7.244889
1.0,16,7.257889
-5.0,17,7.27188
-2.5,14,7.282888
-8.0,6,7.28788
-8.5,10,7.29688
-7.0,12,7.30588
-10.5,15,7.31888
1.0,19,7.335881
-8.0,14,7.346882
-0.5,15,7.35988
-12.5,15,7.371899
-6.5,12,7.382912
0.0,13,7.392903
-6.0,19,7.407914
-3.0,15,7.419903
-2.5,18,7.436903
-4.5,18,7.450913
-8.5,9,7.457911
-6.5,10,7.465912
-12.0,8,7.471914
-10.0,12,7.480912
-7.5,10,7.487911
-5.0,12,7.49791
-5.0,9,7.503912
-9.5,8,7.509911
-9.5,5,7.513914
-5.0,8,7.520911
-8.5,12,8.454346
-5.5,16,8.469346
-8.5,16,8.484346
-7.5,7,8.490347
-6.0,12,8.500349
-8.0,14,8.512349
-5.0,10,8.520349
-6.5,11,8.530348
-5.0,13,8.540347
-3.5,17,8.554358
-10.0,12,8.563347
1.0,23,8.586349
-1.0,17,8.603346
6.5,19,8.621347
-8.5,12,8.631346
1.0,14,8.644628
-3.5,11,8.654608
-2.0,16,8.669609
-7.0,11,8.678608
-1.0,17,8.694607
-15.0,15,8.709609
-5.5,10,8.717608
-2.0,14,8.728609
-7.0,13,8.739608
-7.5,11,8.748608
-11.0,7,8.753608
8.5,21,8.770608
-8.0,13,8.780612
-6.0,11,8.791608
-2.0,14,8.80361
-11.5,14,8.815608
-5.5,9,8.822607
-15.0,15,8.835618
-12.0,11,8.843617
0.5,21,8.859616
-12.0,17,8.872615
-12.0,10,8.880619
-4.0,11,8.890615
-14.5,13,8.900615
-7.0,14,8.911615
4.5,19,8.926624
-8.5,7,8.931615
-8.0,9,8.938615
-7.5,14,8.949617
-5.5,11,8.957618
-1.5,13,8.967616
-6.0,12,8.976619
-2.5,22,8.996608
-3.0,12,9.006616
-4.0,12,9.016616
-12.0,12,9.025616
-5.5,12,9.034616
-8.5,11,9.043616
