time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss
319,14,88.11,89,28672,87.11,0.0026285963,0.0003733634948730469,0.9885794520378113,52,-4.2239184230566025,0.0096435546875,319.4122371673584,0.2,0.0003,-0.0021308501163730398,155.0150146484375
326,15,99.39,94,30720,98.39,0.0060664257,0.0002123713493347168,0.9868571162223816,56,-4.2195394560694695,0.03759765625,279.0966238975525,0.2,0.0003,-0.005441561559564434,129.72825622558594
331,16,104.17,98,32768,103.17,0.0007059182,0.00047773122787475586,0.9871956706047058,60,-4.216754354536533,0.0,365.6935739517212,0.2,0.0003,-0.00029010015714447945,170.00161743164062
337,17,110.0,103,34816,109.0,0.004482232,0.0027567148208618164,0.9865015745162964,64,-4.2164845541119576,0.0279541015625,320.5779724121094,0.2,0.0003,-0.0036920111961080693,157.6354217529297
342,18,113.43,107,36864,112.43,0.003467312,0.0003314018249511719,0.9856283664703369,68,-4.21411170810461,0.0101318359375,361.89903116226196,0.2,0.0003,-0.0022616714268224314,171.6644744873047
346,19,114.98,112,38912,113.98,0.003274722,0.0030132532119750977,0.9831733107566833,72,-4.208996988832951,0.011474609375,359.2240791320801,0.2,0.0003,-0.002516060267225839,163.6407012939453
352,20,129.93,116,40960,128.93,0.0042761406,0.0013523101806640625,0.9823651313781738,76,-4.2034540846943855,0.0177001953125,309.80090284347534,0.2,0.0003,-0.003006347091286443,152.60536193847656
356,21,134.61,120,43008,133.61,0.00229762,0.002434372901916504,0.9833917021751404,80,-4.2040316089987755,0.0069580078125,363.2845268249512,0.2,0.0003,-0.0017166575562441722,163.45138549804688
362,22,142.18,124,45056,141.18,0.004039811,0.001303553581237793,0.9819547533988953,84,-4.20392781496048,0.015380859375,324.5121545791626,0.2,0.0003,-0.0031208764121402055,143.2953643798828
367,23,152.87,128,47104,151.87,0.0015364833,0.0020810961723327637,0.9818257093429565,88,-4.200734533369541,0.001708984375,364.65852880477905,0.2,0.0003,-0.0009520144740235992,178.4602813720703
370,24,167.87,132,49152,166.87,0.0043620267,0.001966536045074463,0.9799801707267761,92,-4.198613725602627,0.0262451171875,335.48363637924194,0.2,0.0003,-0.0032864428576431237,169.5783233642578
374,25,165.35,136,51200,164.35,0.002195367,-0.002186894416809082,0.9784369468688965,96,-4.192504592239857,0.004638671875,326.601514339447,0.2,0.0003,-0.0011957319366047159,154.3671417236328
378,26,172.52,140,53248,171.52,0.0035172151,-0.00018870830535888672,0.9798809289932251,100,-4.191972658038139,0.0263671875,295.5517611503601,0.2,0.0003,-0.0027279172354610637,168.05682373046875
382,27,188.67,144,55296,187.67,0.00311674,-0.00020623207092285156,0.9786357879638672,104,-4.192978210747242,0.011962890625,301.4476480484009,0.2,0.0003,-0.002381220147071872,134.70712280273438
386,28,195.03,148,57344,194.03,0.004039145,0.0012671351432800293,0.9784692525863647,108,-4.191168248653412,0.0181884765625,301.3006887435913,0.2,0.0003,-0.002635743861901574,139.7018585205078
389,29,214.0,152,59392,213.0,0.002477387,-0.0012787580490112305,0.9791404604911804,112,-4.190897420048714,0.0057373046875,289.771728515625,0.2,0.0003,-0.0015970221575116739,138.07284545898438
393,30,224.2,156,61440,223.2,0.006009435,0.000338137149810791,0.9797344207763672,116,-4.193258188664913,0.0338134765625,293.0593059062958,0.2,0.0003,-0.004003894340712577,142.70472717285156
395,31,218.08,160,63488,217.08,0.006120464,-7.617473602294922e-05,0.977929949760437,120,-4.191920056939125,0.0491943359375,302.35370421409607,0.2,0.0003,-0.006043128669261932,150.43801879882812
397,32,212.95,164,65536,211.95,0.0048607644,3.516674041748047e-06,0.9698305130004883,124,-4.174586519598961,0.0467529296875,293.854615688324,0.2,0.0003,-0.004913470722385682,143.85316467285156
400,33,218.34,168,67584,217.34,0.0070720376,0.00043129920959472656,0.9573228359222412,128,-4.142259314656258,0.0728759765625,327.72731137275696,0.2,0.0003,-0.0018241933721583337,168.97442626953125
403,34,230.68,172,69632,229.68,0.0036413688,-0.0007848739624023438,0.9553008079528809,132,-4.119976930320263,0.01513671875,257.02308893203735,0.2,0.0003,-0.003207753907190636,118.5377197265625
406,35,243.54,176,71680,242.54,0.0018440842,0.0011142492294311523,0.9542168974876404,136,-4.116366297006607,0.0025634765625,249.95826888084412,0.2,0.0003,-0.0014249828091124073,120.82341003417969
408,36,257.31,180,73728,256.31,0.0046537784,0.0002828240394592285,0.9529501795768738,140,-4.113063290715218,0.02392578125,270.0145308971405,0.2,0.0003,-0.003957126755267382,144.1252899169922
409,37,260.83,185,75776,259.83,0.005385276,0.0016883611679077148,0.9533728361129761,144,-4.1111123114824295,0.0308837890625,221.21266865730286,0.2,0.0003,-0.0038741458411095664,123.48375701904297
