#{"t_start": 1736836169.2434433, "env_id": "BicycleBalance-v0"}
r,l,t
1.95106,44,0.409535
6.373617,47,0.491539
4.415025,45,0.55512
7.715998,49,0.635122
-0.512826,49,0.705129
4.185821,42,0.774119
11.780695,66,0.87712
-0.046574,39,0.928119
8.770415,42,0.981668
9.663419,53,1.062665
18.495281,53,1.150666
24.884409,91,1.312664
-1.028123,50,1.391666
1.378778,33,1.448664
10.799278,55,1.553318
11.765021,47,1.624317
9.983651,58,1.70832
6.862737,53,1.782315
38.186628,85,1.900316
6.943312,42,1.962151
41.584547,91,2.107153
-4.130548,38,2.167151
-2.220723,46,2.232155
0.883516,37,2.285161
-9.134759,61,2.377168
10.969521,44,2.442153
-6.715435,43,2.501151
-5.43315,49,2.565742
-3.602214,35,2.611737
-2.976327,34,2.660738
-4.732326,35,2.711737
-1.222087,45,2.775752
22.769679,67,2.85774
-5.531697,50,2.923739
-10.428954,61,3.010282
25.040762,59,3.096893
-1.854818,45,3.15473
-2.081395,55,3.22473
-1.857763,37,3.270727
2.359222,37,3.326627
1.439042,54,13.589474
28.587598,76,13.738884
-2.800587,49,13.809886
1.805586,41,13.864899
4.574072,57,13.934901
-2.407749,40,13.985465
5.840268,39,14.03345
5.260599,49,14.107177
-0.746957,52,14.181178
-0.970131,45,14.239195
-10.096029,35,14.283196
23.42665,60,14.356195
7.042434,48,14.417996
4.293719,45,14.47513
0.018392,48,14.53867
8.390644,53,14.613671
-0.582182,43,14.673671
9.757961,50,14.742672
7.446892,63,14.83567
4.257716,50,14.903687
1.641501,50,14.96827
5.119111,41,15.022688
8.806189,51,15.086087
2.001838,38,15.132086
-8.311482,47,15.190299
3.665762,55,15.268388
1.352113,55,15.349386
10.625601,45,15.405387
0.832707,45,15.46039
5.698895,43,15.515403
8.897202,62,15.590973
4.433279,49,15.652977
8.723194,47,15.711333
9.500881,55,15.780414
2.422053,57,15.854311
9.025033,56,15.948308
3.738934,40,16.016843
8.559066,47,16.082856
-0.483477,39,16.13286
17.604126,71,16.220678
8.871493,47,16.278677
7.957862,45,16.338738
7.388123,78,26.89617
8.044563,47,26.974985
5.24496,47,27.043134
24.079774,61,27.126134
1.751941,42,27.178133
4.502923,71,27.283957
5.255923,46,27.361957
-9.274868,42,27.423958
21.996497,63,27.504973
4.45671,50,27.570519
10.782627,67,27.654537
-4.344644,54,27.722789
4.790394,52,27.787567
14.414383,63,27.867705
2.482176,40,27.917707
5.905277,50,27.979811
4.098294,42,28.48165
3.90347,50,28.560843
17.255211,64,28.670393
6.308325,40,28.725505
4.583533,70,28.821057
-4.987281,37,28.874055
14.831775,59,28.953094
3.044235,41,29.011405
2.296299,45,29.081698
-4.696726,42,29.142688
5.150725,43,29.209688
22.709334,82,29.32176
6.100257,75,29.426708
8.538939,58,29.508698
2.298618,47,29.591476
6.702047,51,29.681222
3.461096,43,29.738427
4.077794,52,29.813338
3.126876,46,29.876758
14.472362,60,29.950343
3.497094,41,30.001343
-2.684518,48,30.084419
11.122996,55,40.459892
6.632221,47,40.543532
7.000186,46,40.619923
7.577102,58,40.698816
5.381625,47,40.762039
1.176412,44,40.824028
36.465877,73,40.931028
13.243187,54,41.012645
2.55531,49,41.077813
2.188549,45,41.134818
6.238386,53,41.206825
7.056098,52,41.280813
3.277916,50,41.356813
11.87409,46,41.434816
2.840515,43,41.49383
6.276923,42,41.562641
11.647451,53,41.638643
10.125305,45,41.696642
7.075727,48,41.76264
4.567741,47,41.836643
13.63018,58,41.918755
5.54992,44,41.978345
7.989345,47,42.054145
7.765113,55,42.136816
4.939384,35,42.186723
9.161069,43,42.248827
18.697965,60,42.342828
1.417161,38,42.396827
10.157338,47,42.456825
13.623019,50,42.523008
7.910787,47,42.580465
0.392472,52,42.650469
11.951383,65,42.74148
16.499109,62,42.827466
6.256086,57,42.915824
13.380521,61,43.000398
-1.529461,45,43.068396
12.009195,51,43.144396
7.220953,42,43.214055
8.6771,54,43.310838
8.991255,54,43.392841
6.636023,56,55.518168
5.534021,45,55.589714
11.92766,52,55.6647
15.128099,61,55.766192
16.083787,65,55.907279
21.990492,62,56.018962
13.054644,48,56.091259
8.648429,50,56.225188
12.71886,56,56.355824
10.358673,54,56.471975
16.923941,49,56.578421
7.014125,49,56.679316
27.322013,72,56.820745
11.106398,50,56.948229
19.120314,63,57.094007
6.173894,51,57.228195
39.795651,76,57.416211
20.252942,64,57.566525
28.470645,70,57.749527
23.254867,78,57.96177
10.502341,54,58.097086
11.513297,53,58.257102
9.61843,46,58.391919
13.254408,58,58.572596
12.869661,55,59.971254
11.516763,48,60.312493
6.420241,55,60.827822
17.328991,57,61.184171
9.886394,43,61.324162
21.19533,55,61.445983
8.366785,61,61.550796
16.44107,91,62.950152
11.621678,52,63.10343
6.353509,43,63.253824
6.619175,54,63.438007
6.196397,56,63.584712
17.218924,52,77.287152
41.188475,93,77.445028
33.922364,76,77.568233
37.588047,79,77.723354
37.083206,78,77.864836
13.162011,57,77.962381
4.42845,58,78.066211
34.880099,79,78.190194
15.868253,61,78.272475
5.152811,46,78.338976
8.367917,44,78.403327
24.597091,69,78.51712
14.453561,52,78.601243
11.073975,46,78.674172
17.502184,63,78.775294
23.527333,71,78.910264
21.657426,51,78.980356
18.832493,58,79.060472
22.140274,62,79.14073
12.035288,55,79.225708
20.373254,65,79.339449
42.778648,88,79.46492
16.654077,55,79.540162
19.157526,59,79.621991
12.952728,47,79.694306
22.791526,70,79.794116
25.599888,66,79.899389
35.990638,82,80.023614
5.967175,50,80.091396
16.474444,52,80.168817
29.351922,89,80.30635
15.360256,54,80.383861
11.522334,55,91.588795
18.904947,59,91.693569
28.581981,88,91.826554
28.007769,71,91.926567
26.839056,69,92.039153
13.630584,59,92.145964
19.306295,60,92.231932
10.011476,47,92.302997
18.909785,56,92.381937
20.708369,65,92.468339
40.23576,101,92.612684
33.626644,78,92.723928
15.278452,53,92.809124
13.527465,51,92.886164
5.404009,58,92.966254
16.503465,65,93.058105
11.149528,51,93.14336
32.361773,83,93.261043
11.337137,58,93.349862
28.736856,75,93.462316
19.946778,60,93.564918
15.363438,62,93.65536
17.246285,53,93.723809
8.979431,53,93.791761
29.707131,77,93.897882
44.431716,86,94.032209
34.60581,88,94.168036
23.327127,72,94.266823
22.836942,70,94.362026
26.870357,71,94.465016
25.424055,65,94.588876
6.817884,41,105.410379
16.589897,54,105.502902
38.198262,91,105.667735
39.649049,82,105.788294
12.556009,50,105.874816
15.807807,55,105.981917
24.83492,77,106.114451
32.98374,81,106.246584
34.810092,76,106.372099
20.70415,62,106.496539
28.391978,80,140.966154
47.714572,104,141.122877
22.684261,63,141.215869
40.265771,76,141.313868
38.358889,89,141.425884
37.107229,85,141.546779
21.921724,69,141.65178
20.987166,60,141.750779
22.168113,64,141.854789
31.095924,83,141.981323
24.393206,66,142.072323
34.367603,78,142.174327
29.303128,70,142.272338
17.676486,67,142.368331
27.380456,72,142.465088
21.35803,68,142.553648
8.887732,61,142.630763
37.487015,83,142.753748
26.466165,78,153.182847
1.58429,36,153.234859
32.925436,86,153.375865
22.348386,64,153.465551
13.067396,61,153.554087
57.347297,140,153.740086
60.597486,130,153.929107
25.138695,72,154.023662
41.187783,98,154.147384
42.634938,106,154.279517
32.703631,74,154.370856
2806.330265,3537,213.709216
1032.986287,1233,215.334147
31.056466,76,215.426147
2228.388219,2555,240.217308
1114.217765,1264,274.67483
