#{"t_start": 1736836169.1448903, "env_id": "BicycleBalance-v0"}
r,l,t
-6.48695,49,0.519087
-1.952082,53,0.606103
9.252514,49,0.674671
-2.623423,42,0.747686
0.469787,45,0.81167
7.644456,50,0.890669
1.458138,34,0.944668
-2.288701,67,1.03767
4.528745,45,1.09622
14.952767,55,1.184218
13.728907,54,1.272218
6.047701,37,1.336219
14.730692,58,1.440216
9.040074,43,1.510222
1.909805,44,1.588218
-3.138391,51,1.679888
5.584229,49,1.754887
0.28885,51,1.822874
-2.810497,45,1.887873
-4.219482,42,1.943869
2.664853,66,2.037187
1.762928,37,2.094705
-7.135859,41,2.166704
9.476551,52,2.242708
-7.05714,43,2.309707
-5.520014,45,2.372719
9.444582,39,2.427708
8.011227,55,2.511705
12.568744,49,2.582707
0.103252,41,2.634292
4.627568,47,2.697309
-7.640152,43,2.75929
2.880241,42,2.819291
-10.991082,32,2.866291
-10.804524,47,2.925308
-7.274162,45,2.983295
3.18557,39,3.032294
-4.651807,44,3.094835
-6.587498,37,3.147688
-7.426807,43,3.213282
1.635688,48,3.273278
12.911206,46,3.330283
-2.534125,47,3.392183
-0.790227,43,3.45518
-6.084639,34,13.69201
15.997972,56,13.800437
7.543196,50,13.888436
-10.807067,48,13.950437
4.129694,47,14.009441
6.514671,46,14.067003
-4.422265,42,14.118006
14.198107,51,14.192731
7.500209,56,14.271731
-2.370828,38,14.322734
-9.528335,51,14.387731
1.9933,42,14.437734
11.027788,49,14.500735
17.545041,70,14.589671
13.316223,54,14.661223
22.946455,63,14.750221
-4.210968,42,14.812224
0.395111,47,14.879223
0.567147,45,14.941238
10.033621,40,14.997226
12.449039,61,15.077807
5.204338,50,15.141627
7.42642,50,15.203623
11.290922,46,15.256626
10.312277,56,15.334941
1.578649,50,15.407941
21.283805,70,15.499943
8.528687,62,15.575944
2.294087,45,15.633526
-1.894344,41,15.683526
25.569622,74,15.774542
0.641492,56,15.847502
3.551661,50,15.910863
3.220394,53,15.98287
17.285948,69,16.102396
0.532688,45,16.169397
23.852436,63,16.249394
3.346863,41,16.298231
-0.503858,52,16.365231
-0.626201,43,16.422037
15.181166,51,26.927708
10.796716,44,27.003721
16.754031,55,27.091526
7.019295,52,27.163697
7.296039,49,27.231686
5.620611,52,27.295882
5.569844,55,27.381509
2.635858,51,27.467511
4.309896,38,27.523511
-8.491341,47,27.583511
0.800207,49,27.650073
10.71005,53,27.715078
8.881382,57,27.785297
3.23676,42,27.840654
-1.447119,49,27.900806
3.375267,57,27.974259
-6.513156,48,28.033278
6.871749,65,28.115311
12.099243,57,28.648399
2.112935,54,28.742945
6.554659,53,28.820059
9.261967,55,28.89661
7.317475,52,28.968607
6.361374,40,29.019611
5.16069,51,29.090059
5.793695,46,29.162641
19.138555,70,29.271244
11.20759,56,29.353241
1.523426,48,29.41532
-3.192076,44,29.476243
8.222618,53,29.54825
0.564167,48,29.622028
1.878891,66,29.740289
27.631075,64,29.833972
-2.007104,45,29.898894
14.00594,53,29.971314
7.182967,41,30.023302
13.267267,53,30.087896
6.996873,57,30.180757
-3.667544,44,40.529479
13.451241,52,40.630084
11.710482,55,40.721461
5.173104,55,40.796364
3.976638,62,40.879578
8.735094,46,40.943579
15.10322,69,41.046584
-0.31777,44,41.114064
6.433559,52,41.183367
-0.407092,39,41.232367
23.327491,73,41.329382
7.53916,45,41.398367
8.361833,63,41.495367
6.621321,54,41.578368
16.790224,59,41.677193
4.462948,58,41.752208
4.783151,61,41.832196
11.590785,56,41.919194
8.512965,51,41.991207
6.912911,41,42.047889
6.360757,50,42.122685
33.405359,82,42.247371
7.05069,47,42.316842
8.06492,50,42.391377
-2.972746,49,42.463378
17.055267,55,42.539378
12.086543,55,42.610449
2.147985,48,42.671033
4.473567,60,42.751019
18.63993,68,42.845021
49.48249,96,42.982377
14.459647,54,43.064951
-0.895166,38,43.117949
6.007046,47,43.185951
5.265598,42,43.249953
-0.207332,44,43.323626
11.423888,55,43.424392
5.324765,48,43.49543
11.61782,66,55.637253
9.524716,52,55.715255
8.605247,55,55.797255
15.986788,64,55.917758
14.353751,50,56.024871
16.220855,62,56.131529
10.39171,58,56.239043
5.28013,46,56.35653
9.192751,55,56.487119
14.399142,56,56.611044
23.943061,75,56.765868
5.156563,45,56.856301
9.355616,59,56.995299
14.788695,55,57.12214
22.862565,76,57.300832
24.813274,70,57.488747
22.263627,62,57.596518
5.812694,54,57.749079
2.713755,54,57.921078
9.078938,54,58.057328
6.543249,51,58.183637
18.552345,52,58.343608
16.898166,56,58.503477
7.855284,49,58.649693
4.433192,60,60.079808
8.152296,43,60.370454
6.685145,49,60.826234
5.677616,46,61.201811
6.700274,44,61.364811
14.514501,52,61.49996
7.166004,39,61.568323
7.08955,57,61.667755
30.390195,76,63.040135
10.140184,51,63.185985
8.208437,45,63.346376
18.277696,61,63.554693
13.511324,54,63.690264
4.131574,47,77.381438
25.511387,63,77.490486
17.089846,64,77.594215
10.777499,48,77.673788
9.411966,46,77.757581
9.362214,49,77.858815
19.305018,61,77.969401
25.783528,73,78.091722
21.400068,74,78.228788
15.374332,57,78.307818
27.68377,71,78.40201
17.940353,64,78.494879
44.452991,83,78.631793
20.636925,77,78.756085
15.624421,56,78.84464
34.10243,79,78.996542
23.35162,82,79.110502
11.583285,50,79.176809
18.563648,61,79.261342
14.268852,55,79.346145
11.349566,52,79.437001
11.847816,61,79.527178
26.544001,74,79.62568
15.607198,61,79.711042
22.728645,59,79.801378
10.507342,61,79.888673
3.130869,46,79.959758
12.54297,56,80.052527
19.63573,57,80.1322
20.228762,59,80.21071
20.648027,60,80.303532
25.466956,65,80.405905
18.309283,50,80.476425
16.201109,64,91.698389
50.614165,100,91.871023
20.740404,58,91.949684
18.767069,63,92.03864
10.83327,50,92.120572
18.466092,70,92.246509
35.832289,86,92.370053
26.397263,87,92.497056
15.980522,59,92.573398
24.581342,69,92.670596
46.797498,92,92.801971
20.639599,64,92.904676
12.32078,61,92.994769
18.618204,78,93.101995
16.282547,60,93.192122
31.717934,78,93.316113
24.543356,67,93.412811
14.249706,62,93.504449
23.506761,68,93.608711
16.97336,62,93.715621
21.609998,73,93.809843
61.012949,120,93.970745
17.000037,60,94.055893
14.634192,57,94.151417
10.884556,59,94.24029
29.358061,72,94.340345
18.788437,61,94.424248
