#{"t_start": 1736836169.3544648, "env_id": "BicycleBalance-v0"}
r,l,t
8.017219,53,0.317517
1.992162,31,0.370528
4.677561,58,0.452098
7.498963,56,0.546098
0.403522,46,0.611094
-4.823949,37,0.670094
-0.078337,40,0.734095
7.294522,48,0.800098
3.441877,44,0.858669
12.828183,47,0.930643
-9.534762,34,0.985643
-1.992438,50,1.063647
-6.624642,33,1.120643
16.526744,63,1.234642
24.848236,73,1.355646
6.444331,52,1.453298
-2.444325,42,1.516296
1.437507,40,1.576293
8.340852,53,1.651295
5.441436,49,1.713295
-8.868401,50,1.785295
3.09677,47,1.856133
5.143747,45,1.927133
-5.854229,34,1.984134
-3.184146,34,2.033134
13.017812,52,2.112134
20.918625,69,2.210129
-2.405228,50,2.28513
-2.02564,38,2.34613
-1.918562,40,2.396146
4.309598,44,2.45472
-0.853118,43,2.512717
-3.01148,43,2.573717
8.742282,60,2.660732
-3.819693,45,2.71672
-7.57396,48,2.77972
12.633576,54,2.84726
-8.951506,45,2.915115
13.067599,59,3.00271
-5.210812,51,3.065721
4.71367,40,3.115708
3.395189,45,3.174704
4.07308,53,3.251609
-11.772141,53,13.522673
-0.367353,41,13.605863
8.901525,53,13.692863
-0.350407,43,13.747864
7.562981,53,13.813879
0.124913,40,13.865427
4.600219,46,13.921427
-5.41668,48,13.993155
-6.037441,49,14.062156
-9.291148,42,14.118173
-0.057201,61,14.194161
12.991005,60,14.270156
10.612134,60,14.344093
11.653813,65,14.430648
21.850248,68,14.525648
4.386488,44,14.59165
3.442138,52,14.663649
28.691362,75,14.77065
2.267141,64,14.851841
3.221077,40,14.90606
0.514261,37,14.950052
11.677066,48,15.010049
17.011364,69,15.098367
1.359664,50,15.170365
8.458181,49,15.240369
6.291457,49,15.301369
7.148798,53,15.366369
-12.436174,45,15.424951
-5.412142,39,15.470955
-9.615259,53,15.537952
7.429691,50,15.600312
0.631666,44,15.656668
4.683594,41,15.708288
-4.122797,42,15.765287
-0.421863,46,15.845819
4.539351,49,15.92582
-5.988933,37,15.976835
-5.687914,51,16.041831
-5.71828,34,16.081674
5.521764,58,16.155657
7.43,45,16.214476
9.641962,59,26.73513
13.473814,56,26.831319
4.374641,54,26.914953
8.534121,55,26.982109
5.804818,57,27.062112
8.184315,43,27.123941
14.099136,51,27.203935
2.084782,55,27.289936
10.264765,53,27.363953
0.891025,47,27.426502
24.031639,60,27.500516
3.79556,49,27.562499
10.1245,59,27.637089
6.165615,56,27.709684
-5.485438,61,27.783698
-3.93808,40,27.834691
9.105634,64,28.358626
8.469962,45,28.431824
11.865498,58,28.531372
-8.123294,54,28.610485
5.45147,51,28.681034
-2.36966,46,28.744034
-6.622466,45,28.803036
-3.812172,47,28.869048
-9.926864,45,28.937282
3.921118,55,29.019665
10.664341,40,29.082666
10.085759,58,29.167666
8.611782,65,29.251666
6.586778,51,29.322691
7.427253,43,29.382675
-9.718783,48,29.466455
8.409052,58,29.568133
10.571988,46,29.630396
7.432204,71,29.729986
13.544401,51,29.79874
24.705974,72,29.886325
6.048187,50,29.971182
19.663012,61,40.358871
7.140731,40,40.428511
5.123217,62,40.526803
-7.38911,40,40.581789
1.411212,51,40.651018
14.205875,58,40.731007
13.582592,57,40.818003
2.243026,62,40.909492
9.129724,44,40.967795
2.172953,43,41.022793
13.509736,61,41.104792
7.924241,50,41.17779
14.111804,55,41.262791
13.895481,54,41.347795
0.955028,61,41.44163
-0.654482,40,41.503618
10.271921,51,41.569622
7.20241,44,41.627619
2.996391,47,41.698637
8.682214,46,41.763622
21.787784,65,41.856322
10.45044,58,41.948109
4.320865,45,42.014794
12.802015,66,42.111804
3.377582,65,42.210803
4.150949,53,42.287804
-2.648748,53,42.355803
23.685096,71,42.447443
15.341527,55,42.518447
10.63399,45,42.579455
27.912318,68,42.671445
3.255216,48,42.743799
5.958876,49,42.819803
21.757583,64,42.910378
8.910278,55,42.989374
16.073387,66,43.094518
1.518508,57,43.198817
15.121343,61,43.29182
6.368049,45,55.397609
14.289683,64,55.49868
22.226873,57,55.58169
29.150348,78,55.734997
20.861041,66,55.864825
11.380816,51,55.94435
16.606145,58,56.084586
25.337045,57,56.215584
-0.421886,48,56.324202
22.180921,72,56.477296
14.249509,62,56.609725
3.736813,45,56.688727
7.449265,41,56.796722
40.601725,90,57.001988
11.435034,57,57.154172
8.33905,47,57.275173
42.106727,83,57.463513
13.160039,58,57.602508
11.441786,56,57.779504
13.519228,54,57.914603
10.622906,54,58.07382
4.10052,45,58.193936
12.628704,53,58.343022
10.50441,43,58.507213
16.228122,61,59.972424
34.116549,77,60.596656
8.549525,58,61.037949
14.618725,46,61.192196
13.084541,54,61.316905
6.262853,51,61.400414
7.586502,39,61.472265
6.819623,45,61.590478
20.343602,62,62.937409
17.667548,52,63.123802
20.969077,63,63.333986
15.131075,58,63.48269
9.924299,54,77.185657
13.712799,55,77.280911
33.997907,75,77.404962
22.361102,64,77.514162
15.888232,66,77.645973
21.170688,58,77.750307
16.027786,69,77.866321
12.161788,49,77.957181
27.203917,77,78.078169
21.868965,73,78.176048
15.83719,60,78.263098
21.738621,62,78.361488
10.127136,55,78.446562
25.755131,72,78.568256
13.478057,64,78.672412
18.104457,56,78.78396
20.841051,56,78.861814
16.953222,59,78.942921
22.050825,61,79.02119
40.629503,110,79.200178
13.487773,49,79.278882
6.827471,51,79.349333
23.846926,61,79.431143
8.229467,42,79.488962
11.827974,62,79.583285
8.182859,48,79.653246
26.347939,80,79.775192
14.469271,47,79.852124
6.293803,52,79.925153
16.450663,56,79.998134
11.255547,44,80.068314
36.01844,79,80.19025
28.13537,74,80.297927
26.803599,77,91.54384
20.154679,68,91.66246
27.47902,80,91.773199
6.670886,55,91.848665
55.001079,106,92.037937
38.707546,83,92.157475
29.897261,70,92.25987
34.773017,100,92.39628
26.318224,75,92.502666
34.565696,85,92.627379
22.630121,69,92.736518
27.048461,73,92.839437
11.842649,60,92.921437
7.763509,56,93.015314
10.256074,53,93.092511
13.90471,72,93.195255
23.040509,66,93.294874
7.220818,65,93.394063
8.16586,38,93.462981
24.834648,74,93.568138
28.352592,77,93.667207
24.916689,76,93.771258
20.87848,78,93.887531
6.011894,43,93.96015
24.858754,68,94.060027
23.357425,71,94.158813
15.935525,51,94.230202
9.498737,45,94.288792
21.448741,61,94.390774
14.812365,55,94.49071
24.214213,80,105.376881
22.471798,70,105.514637
19.549325,75,105.623701
29.832313,76,105.744797
49.058732,104,105.936768
37.881657,77,106.074703
28.90054,85,106.205559
20.808627,63,106.322002
31.546449,88,140.82051
33.221904,80,140.941842
9.968144,45,141.008856
22.08925,66,141.105848
19.517502,65,141.191845
38.26785,86,141.298848
28.814966,80,141.409759
38.311297,91,141.547756
22.770712,65,141.653757
32.359985,70,141.767762
13.847486,64,141.862315
19.030873,73,141.965305
20.496295,73,142.061302
23.782433,64,142.15032
28.699808,63,142.242301
42.667026,108,142.386063
20.315104,69,142.472629
24.901096,71,142.56473
26.730693,66,142.669725
37.164903,93,153.119825
52.980492,106,153.288844
91.14052,186,153.550066
50.834322,115,153.705057
21.197098,61,153.794041
25.905969,77,153.8987
62.958427,128,154.059497
46.849881,101,154.187496
11.608012,65,154.266145
55.102414,116,154.430731
23.739047,78,154.543933
42.98381,107,154.687934
67.108511,159,154.885526
46.722037,101,155.014681
33.354993,82,155.125557
35.076586,81,155.242572
8.509868,41,155.292559
32.578299,88,155.402389
32.495542,89,155.512969
24.481422,75,155.606956
44.721086,106,155.761957
119.227462,226,166.533678
767.486913,1047,167.893944
2052.304924,2486,215.364126
1969.6202,2246,228.402491
2901.173013,3184,286.918093
2189.441265,2378,300.28308
768.678258,863,344.050942
2393.017965,2587,357.624255
1176.841073,1285,359.338231
1020.470065,1122,403.731616
1154.125576,1274,415.564155
1312.619864,1437,417.461855
596.379601,665,428.662384
