#{"t_start": 1736836169.5089908, "env_id": "BicycleBalance-v0"}
r,l,t
4.013699,39,0.130987
9.658581,51,0.223991
1.890113,63,0.312571
0.355598,49,0.396572
5.565333,34,0.442573
22.04164,55,0.530568
2.926372,52,0.613569
11.617072,65,0.698118
-3.887586,33,0.745116
1.94102,46,0.816118
-4.864213,39,0.881116
-13.541745,44,0.951116
5.337579,54,1.053116
9.670379,48,1.130119
1.21369,45,1.209118
-3.582101,38,1.281768
-12.00839,50,1.358769
21.507037,71,1.458774
-0.311821,44,1.522779
-1.16596,50,1.58977
-9.73779,54,1.667077
0.78599,48,1.741604
-3.888953,72,1.854608
14.489277,53,1.938606
5.366431,47,2.004605
8.135708,53,2.079608
6.496726,45,2.149604
2.592561,42,2.211605
9.466066,47,2.270192
3.24186,46,2.33219
6.012082,48,2.401189
-3.264156,48,2.468191
9.756437,51,2.538208
3.063722,42,2.590192
5.045364,41,2.646191
2.737777,45,2.704737
2.172359,49,2.775587
9.484631,46,2.846178
14.355445,58,2.917183
-0.72493,37,2.963181
-3.664268,44,3.02218
11.816931,65,13.301911
2.744138,71,13.432335
3.455427,41,13.509336
-1.023666,45,13.566336
8.200178,56,13.639336
6.202542,51,13.702902
7.112177,52,13.766901
-4.373517,32,13.816631
8.761858,49,13.884631
-5.76926,51,13.955631
-5.585458,48,14.014633
8.277466,43,14.068631
0.652144,44,14.123634
-2.426729,36,14.168563
-7.461041,44,14.225571
3.762574,66,14.316123
0.339166,45,14.377122
0.653839,47,14.447125
27.45554,69,14.545122
13.118855,55,14.622125
-2.184618,44,14.678786
7.76387,50,14.74371
4.534442,64,14.824526
26.943263,71,14.908526
19.970232,66,15.00284
4.350531,55,15.083839
-0.095241,40,15.133843
-5.345685,40,15.182842
6.70932,43,15.236842
13.10436,67,15.319425
-6.833201,45,15.37643
37.464024,76,15.471419
-10.197551,47,15.528985
9.97663,67,15.621764
1.87126,47,15.703295
-1.7346,46,15.778293
6.275932,44,15.836297
2.494658,51,15.901298
3.496039,46,15.959133
-0.847818,58,16.030692
-3.433335,43,26.520608
13.253536,64,26.625607
2.359014,50,26.710429
10.202441,51,26.784582
1.566857,39,26.832582
7.19816,60,26.913586
3.363132,57,26.99841
1.755138,51,27.084409
-4.173901,39,27.142419
16.416348,61,27.222425
6.093699,48,27.286987
3.610035,38,27.331976
-2.603135,41,27.385973
3.638929,48,27.44424
12.454727,56,27.516018
-0.516414,71,27.60616
12.660837,48,27.665164
13.412203,71,27.758199
3.206441,48,28.275308
11.38247,44,28.349296
7.05013,55,28.437952
8.509317,66,28.528526
-3.551514,40,28.58251
-0.32415,53,28.65251
3.706252,42,28.711523
8.521134,46,28.780753
-0.733968,39,28.841141
6.873403,61,28.93314
7.600051,52,29.01014
-2.122244,50,29.073139
5.005901,55,29.152149
-0.299004,52,29.221149
0.754298,39,29.289928
5.688149,57,29.392186
3.842091,50,29.462869
-0.22412,56,29.541808
17.521153,55,29.618201
-0.523464,42,29.669204
16.923707,65,29.751992
10.544817,72,29.872011
12.725921,52,40.250371
19.963487,63,40.35736
9.233313,48,40.421264
11.485211,50,40.49048
9.10078,54,40.565478
15.828235,61,40.656481
5.944178,45,40.7221
0.715658,59,40.80463
0.943242,41,40.857267
26.509003,70,40.950266
7.670324,53,41.028267
0.197935,54,41.110265
4.379571,58,41.203267
8.228434,43,41.265812
27.011155,74,41.377106
5.582722,66,41.463108
5.732204,51,41.540093
5.359709,56,41.622093
10.435027,64,41.710809
11.799362,50,41.790582
35.449944,74,41.898267
11.001152,56,41.980275
6.585654,55,42.066285
21.350927,69,42.16328
0.330877,52,42.229805
13.512357,55,42.29992
8.005553,52,42.367917
16.470942,54,42.443917
9.889024,53,42.513916
6.260559,59,42.60029
11.473531,51,42.680272
4.357914,50,42.749851
3.366024,48,42.818851
14.445861,59,42.911851
3.603299,49,42.998507
1.357825,45,43.075291
10.852351,67,55.199367
19.663631,62,55.313166
26.717915,76,55.423153
8.28559,68,55.549658
7.891992,56,55.669771
10.271536,50,55.756418
22.8935,67,55.877492
16.171385,63,56.039472
15.041679,64,56.18276
10.75461,55,56.29988
16.289494,70,56.45219
7.704877,44,56.529197
16.69981,68,56.697239
29.27079,67,56.849463
23.661264,69,57.031646
16.990633,71,57.192417
21.355878,64,57.343977
10.478416,51,57.491978
15.200825,57,57.651798
6.313962,44,57.764079
9.950968,53,57.922116
13.610758,50,58.055597
7.564092,48,58.190502
21.273067,55,58.445902
12.062587,49,59.822537
3.625932,49,60.186346
15.337524,54,60.704744
22.783841,74,61.028327
5.517955,49,61.148133
14.74151,57,61.242772
12.934427,54,61.348365
11.512348,47,62.651433
9.75376,50,62.791883
8.627011,69,63.031523
7.210352,55,63.222602
15.004278,50,63.339167
26.726746,76,77.076338
11.919478,46,77.154938
8.744113,49,77.234127
12.430283,49,77.320547
19.365302,63,77.441471
16.715396,57,77.549709
18.051823,59,77.654528
14.308245,62,77.75962
15.751983,58,77.863686
18.558349,55,77.939696
26.148156,66,78.02651
23.531434,72,78.130779
15.34005,74,78.254611
12.645247,49,78.334694
12.951862,49,78.411725
16.722549,72,78.533794
17.514581,60,78.644716
7.710468,53,78.717813
16.619297,59,78.799432
43.643709,102,78.941479
14.697786,47,79.02529
9.378098,47,79.099327
8.821276,47,79.167591
14.756285,54,79.237879
10.603498,62,79.324804
18.784279,61,79.418368
23.760733,65,79.511517
18.684373,65,79.611308
16.363147,52,79.696598
3.207453,62,79.783169
3.011529,50,79.847621
22.60785,75,79.962675
26.859699,86,80.092535
27.66792,69,91.320246
15.600015,61,91.428022
34.520323,76,91.545066
21.821246,71,91.644914
4.486698,55,91.727086
45.139659,89,91.886412
14.069291,54,91.963385
34.373539,78,92.081704
17.588438,62,92.164029
27.113596,67,92.255894
12.203121,73,92.358659
18.39101,61,92.447407
22.101135,58,92.538477
17.29224,66,92.637667
14.994503,61,92.719718
28.323284,67,92.820014
25.65404,84,92.952012
26.647646,79,93.066782
16.201083,50,93.140348
25.030168,80,93.267777
14.943991,58,93.362037
21.041889,63,93.442755
32.527182,71,93.534743
38.484692,89,93.656331
41.165046,85,93.797403
23.218913,61,93.888469
16.588372,55,93.963721
17.860305,58,94.044322
16.002904,71,94.142725
29.311124,80,94.288659
17.315257,55,105.130834
19.658294,57,105.225358
38.834521,94,105.395179
39.839842,93,105.533746
13.449973,52,105.629271
48.481437,100,105.807757
28.787582,88,105.95973
37.397976,100,106.125476
52.236196,126,140.69061
26.236458,69,140.795331
6.801971,44,140.860321
40.117456,104,141.006322
18.907368,53,141.073335
32.381529,76,141.16832
18.987879,60,141.255233
17.554688,58,141.341244
22.459561,67,141.450231
33.611179,76,141.573233
32.433036,77,141.691779
21.978379,76,141.797779
35.440536,90,141.91778
14.253199,57,141.997777
27.997026,70,142.097779
16.23063,54,142.172541
10.402339,51,142.237554
30.120113,76,142.335212
21.381498,63,142.415203
25.236534,70,142.5272
42.572186,100,152.986313
8.108713,62,153.089317
38.267629,93,153.225999
