#{"t_start": 1736920679.9604445, "env_id": "BicycleBalance-v0"}
r,l,t
-7.160335,8,0.042532
-9.022451,12,0.064451
-1.861335,16,0.08745
-10.830126,11,0.102522
-6.802195,9,0.113522
-8.826122,8,0.122521
2.456569,27,0.151668
-9.217229,10,0.162669
-11.486338,10,0.174031
-9.208371,12,0.188461
-5.717892,13,0.203459
-11.345347,10,0.21346
-4.140896,12,0.22646
-10.339853,8,0.237462
-7.653326,9,0.245461
-5.687084,15,0.259461
-7.876132,11,0.26946
-8.760271,10,0.279462
-9.804807,10,0.289462
-6.936782,11,0.302473
-11.505977,11,0.312469
-6.738736,11,0.322472
-6.614383,10,0.331463
-9.222897,9,0.344462
-4.167772,10,0.356054
-6.518184,10,0.366882
-5.992719,12,0.38089
-9.836955,14,0.396882
-8.900838,8,0.404881
-1.455949,20,0.426021
-8.546467,8,0.43402
-11.009918,14,0.45102
-8.900882,9,0.46002
-5.773547,22,0.483019
-10.927006,12,0.494019
-4.361818,10,0.505019
-6.713789,9,0.51302
-3.742481,20,0.534021
-8.909877,10,0.547018
-9.235001,9,0.557472
-7.101903,12,0.573102
-7.827164,9,0.583103
-4.107899,13,0.595527
-11.647455,9,0.604529
-9.155209,6,0.610527
-10.536053,8,0.618527
-8.699557,9,0.626798
-2.283944,19,0.651361
-8.831788,8,0.660367
-8.415386,14,0.675367
-8.560141,9,0.687635
-7.250955,18,0.705652
-6.763942,11,0.716636
-8.690716,11,0.725646
-2.574321,21,0.744636
-9.827366,8,0.754637
-3.650445,15,0.76964
-9.146774,8,0.777638
-8.751994,10,0.78764
-7.526139,8,0.795689
-12.240515,9,0.804441
-8.494008,9,0.81579
-12.424742,19,0.835357
-6.703054,12,0.847359
-6.335505,11,0.863359
-1.804065,22,0.887358
-3.235581,21,0.910357
1.685875,23,0.934361
-7.31254,9,0.943359
-9.863537,6,0.949359
-6.1765,10,0.963114
-8.68905,12,0.974825
-6.966024,23,1.000288
-3.27825,17,1.015825
-8.347465,9,1.024832
-5.544751,12,1.036826
-9.111709,9,1.045826
-1.732749,19,1.065825
-6.434774,14,1.077827
-7.444276,10,1.087827
-7.927542,11,1.099833
-9.79551,10,1.108826
-4.971265,15,1.121826
-9.763164,13,1.133826
-7.976641,8,1.140827
-1.025248,15,1.156829
-1.766704,17,1.177827
-8.095879,9,1.187828
-7.8308,8,1.195826
-3.28115,18,1.220095
-2.823059,16,1.239097
-12.13551,12,1.253463
-9.537778,14,1.272589
-7.534186,12,1.286695
-7.165267,11,1.299131
-2.098166,16,1.317648
-5.420595,11,1.329226
-5.818697,10,1.34025
-2.204602,18,1.361426
-6.790622,11,1.376045
-8.961582,11,1.387047
-9.142475,10,1.395045
-8.734531,10,1.405259
-6.044648,11,1.417258
-8.946458,11,1.429487
-6.435292,13,1.442487
-9.188088,8,1.450487
-10.234639,7,1.457487
-3.193249,22,1.484489
-5.964669,12,1.494487
-3.546244,16,1.509505
-5.79899,9,1.517488
-9.315368,9,1.527488
-3.496903,13,1.539489
-7.940164,12,1.550487
-10.46791,11,1.560487
-9.402025,16,1.579486
-8.265875,13,1.592489
-3.346973,12,1.604488
-5.67015,16,1.619488
-8.05062,7,1.625488
-9.014205,8,1.632491
-5.371787,10,1.641487
-8.62542,15,1.657018
-7.504357,11,1.668022
-0.55401,18,1.688019
-10.605346,11,1.700019
-5.519825,8,1.70802
-8.418205,8,1.717036
-9.404999,7,1.724019
-4.357424,11,1.736019
-8.869258,8,1.74402
-10.319995,8,1.75102
-7.779573,7,1.75902
-7.818065,6,1.76502
-7.769944,6,1.771019
-3.865164,19,1.791021
-8.77828,8,1.798021
-3.273217,15,1.811023
-10.787367,10,1.82102
-4.939812,16,1.83502
-4.748145,14,1.847019
0.854572,23,1.87302
-8.392414,9,1.886117
-11.500702,8,1.89512
-8.915439,9,1.906118
-9.607284,10,1.918131
-7.880487,8,1.925119
-5.780135,11,1.936131
-9.124751,12,1.948117
-8.335319,8,1.956117
-0.261318,23,1.979118
-5.138803,16,2.000117
-7.403854,10,2.010693
-7.810976,12,2.021692
-9.889454,7,2.028692
-5.641612,10,2.037701
-9.707627,9,2.045694
-10.553414,14,2.058691
-8.736819,17,2.075692
-5.617864,17,2.095692
-6.642193,13,2.115694
-7.0937,11,2.132431
-5.819728,14,2.147586
-7.232508,13,2.15859
-7.544681,9,2.16659
-5.794635,12,2.178083
-7.334098,14,2.19458
-9.036315,6,2.200579
-10.077398,9,2.209579
-9.072485,11,2.22158
-3.952207,13,3.232663
-7.62304,16,3.248369
-7.887218,12,3.260374
-11.342496,9,3.268374
-8.720257,9,3.276377
-11.187009,14,3.292377
-8.850972,10,3.305052
-8.709519,12,3.318276
-11.224821,13,3.331278
-7.986332,12,3.343275
-10.516252,8,3.351285
-9.217002,7,3.357284
-8.36743,9,3.365275
-8.285228,11,3.37528
-7.987466,12,3.386287
5.314738,26,3.409277
-5.873199,14,3.421275
-8.97702,7,3.429274
-5.250848,16,3.443274
-5.198025,11,3.453274
-7.267695,14,3.466274
-7.855852,7,3.472907
-9.368698,8,3.482203
-4.343419,12,3.492729
-8.248545,9,3.503733
-7.97191,7,3.510733
-9.274813,9,3.519239
-5.100537,26,3.546238
-9.162015,7,3.553505
-11.291032,16,3.569505
6.499029,28,3.599509
-7.95461,10,3.610508
-7.035406,11,3.621504
-8.493627,7,3.628504
-5.261708,13,3.642504
-4.891303,14,3.655083
-5.064953,13,3.66707
-2.012771,15,3.681066
-3.591305,14,3.694067
-6.197085,10,3.702066
-8.109417,6,3.708068
-8.115766,11,3.718807
-8.443672,6,3.731413
-9.69222,8,3.741406
-9.460985,12,3.751405
-8.061045,8,3.758403
-6.19162,11,3.769419
-5.93449,15,3.783405
-7.612819,9,3.794418
-3.666119,19,3.813417
-9.331139,6,3.819418
-10.989933,11,3.830418
-9.012918,7,3.838418
-5.699399,11,3.849416
-7.288591,15,3.864418
-8.002379,10,3.875416
-9.453461,13,3.888417
-3.807671,17,3.904417
-5.742328,9,3.912421
-6.756673,10,3.922418
-11.53824,9,3.930418
-11.26316,10,3.944434
-7.76182,10,3.953418
-6.946126,13,3.966429
-1.533251,17,3.984491
-11.861356,9,3.994349
-7.655042,13,4.008666
-8.284152,9,4.020141
-8.845378,5,4.026142
-9.158226,7,4.033142
-6.765602,10,4.046141
-9.057854,13,4.059143
-5.294363,16,4.07614
-14.030189,15,4.091145
-8.401085,11,4.102141
-7.000898,12,4.113141
-5.278647,17,4.130162
-4.726918,13,4.14395
-4.581596,14,4.161799
-10.488027,9,4.174432
-7.226805,10,4.185889
-3.851842,18,4.205352
-6.338182,10,4.215354
-8.018934,7,4.223355
-8.725266,8,4.230778
-10.832617,16,4.245775
-9.253485,10,4.258775
-2.422927,15,4.27428
-9.365267,10,4.286284
-6.557723,17,4.30375
-8.608337,10,4.313748
-10.768373,10,4.323746
0.905117,23,4.345747
-10.584695,9,4.357746
-6.447978,17,4.375472
-8.597105,9,4.386468
-8.375758,18,4.404468
-9.246448,14,4.419468
-8.903699,14,4.434475
-9.835091,7,4.441789
-7.44139,15,4.45778
-7.946113,12,4.469778
-8.461578,9,4.47779
-4.853627,19,4.496791
-6.829103,9,4.50579
-9.303672,10,4.514786
-8.858015,8,4.52278
-5.318846,15,4.535779
-11.934139,15,4.548787
-6.569579,9,4.557779
-2.760179,18,4.579781
-7.785459,15,4.594291
-9.648679,8,4.60229
0.583904,20,4.620288
-0.298174,16,4.637289
-7.05516,8,4.646289
-7.966891,14,4.66584
-4.183094,13,4.679828
-8.120609,8,4.68884
-2.129329,22,4.711831
-12.056685,15,4.725829
-1.719812,17,4.742829
-8.223843,14,4.757829
-9.462048,11,4.771829
-8.134843,10,4.78083
-3.022426,17,4.796293
-6.970238,12,4.807296
-6.593851,11,4.817298
-9.798208,13,4.829304
-9.252323,8,4.837295
-7.316382,13,4.849307
-8.650533,10,4.859294
-9.698018,8,4.867295
-8.627109,7,4.876296
-0.346008,18,4.893294
-7.74561,7,4.900294
