#{"t_start": 1738844814.529988, "env_id": "BicycleBalance-v0"}
r,l,t
-6.539287,18,0.048063
-4.325502,13,0.060992
-9.489485,5,0.065991
-5.512194,14,0.077991
-11.620241,11,0.088516
-8.592699,13,0.100515
-8.882105,10,0.111518
-9.612733,6,0.117522
-3.767983,20,0.138519
-9.145108,15,0.15452
-8.363703,7,0.160522
-9.261802,8,0.166528
-8.474343,11,0.177518
-9.734894,11,0.186516
-6.325503,15,0.200516
-2.484863,14,0.211516
-10.081375,12,0.221516
-6.028859,15,0.238518
-10.415061,11,0.249011
-5.224875,14,0.26401
-10.522977,9,0.272516
-2.373899,16,0.287516
-10.80393,8,0.295516
-10.201809,10,0.303516
-4.605799,13,0.313516
-6.913767,12,0.323516
1.601887,31,0.351516
-10.87821,14,0.363516
-5.535562,17,0.378516
-9.953527,9,0.395531
-6.087411,11,0.405531
-7.914248,10,0.415531
-2.27043,22,0.439531
-6.012602,14,0.453532
-5.634795,14,0.467532
-3.671633,15,0.480531
-6.626302,12,0.490531
-10.358258,17,0.504531
-6.819218,9,0.512531
-9.913488,12,0.522531
-4.910478,13,0.533531
-2.490405,15,0.551534
-5.780843,16,0.566531
-9.660946,7,0.573531
-9.103419,11,0.583531
-6.077108,11,0.594531
-2.048969,19,0.613531
-8.392725,7,0.619531
-1.419341,21,0.639531
-8.986231,9,0.649531
-8.340485,8,0.657532
-7.735289,16,0.670532
-7.97616,21,0.688531
1.76741,27,0.711015
-4.917738,17,0.726112
-12.313401,9,0.734113
-8.868597,8,0.741112
-3.912859,14,0.757112
-9.722716,5,0.763113
-9.726908,9,0.771125
-5.859842,23,0.793113
-5.427872,13,0.805113
-4.683373,14,0.818114
-10.337273,7,0.824114
-10.063997,11,0.835113
-6.13152,10,0.843112
-5.101893,10,0.855112
-10.333619,11,0.864113
-7.843679,11,0.873113
-11.796499,15,0.886112
-9.83516,12,0.896113
-8.425283,13,0.908113
-10.44772,7,0.914113
-9.730303,8,0.921113
-7.728486,10,0.930112
-9.517965,6,0.935112
-12.551344,12,0.947113
-3.593603,14,0.963113
-9.528368,5,0.967112
-6.899686,9,0.975114
-10.776401,15,0.990112
-0.289712,23,1.012115
-9.391164,12,1.022113
-4.521099,18,1.040114
-7.508394,15,1.056113
-4.469469,16,1.070112
-10.915784,11,1.079115
-10.346041,13,1.092645
-9.211367,11,1.103643
0.172757,25,1.123644
-9.119234,7,1.129644
-6.658039,13,1.139643
-4.840682,12,1.149643
-6.298455,11,1.161644
-11.763412,9,1.169643
-8.125937,8,1.176644
-8.016129,8,1.183643
-0.602542,22,1.201643
-11.38855,9,1.208644
-5.012439,16,1.220643
-11.082218,10,1.229643
-6.380291,11,1.238643
-9.011995,17,1.252272
-8.917929,10,1.264289
-9.866642,9,1.272817
-7.331317,14,1.284816
-3.599024,17,1.298815
-8.149317,14,1.309815
-8.76015,13,1.319815
-6.512486,20,1.336815
-9.984824,13,1.347815
-6.343024,10,1.357815
-8.081005,12,1.370816
-8.520487,14,1.382816
-10.439763,10,1.391815
-6.136084,8,1.398816
-11.789896,14,1.409815
-7.376075,9,1.417815
-7.055905,12,1.428816
-5.606225,12,1.43982
-12.540576,15,1.453817
-9.933061,12,1.466815
-9.171177,9,1.474815
-3.355378,12,1.48382
-9.147177,8,1.491815
-9.275311,10,1.500815
-7.10745,11,1.509815
-2.099428,17,1.523815
-5.830386,10,1.531815
-8.906202,16,1.544818
-6.216319,14,1.555817
-6.927485,14,1.569816
-9.742699,6,1.574815
-8.559997,7,1.581815
-0.909198,23,1.599815
0.467995,26,1.619816
-6.858911,11,1.628815
-7.707823,10,1.637815
-8.970097,10,1.646822
-6.452441,11,1.655815
-9.447774,10,1.663821
-7.023489,9,1.674815
-7.279499,10,1.685815
-6.234274,15,1.699816
-10.828283,6,1.704816
-10.918988,13,1.715457
-8.984858,12,1.726616
-9.614944,8,1.733616
-6.558345,13,1.745617
-3.775597,14,1.756616
2.294212,28,1.781619
-7.505263,11,1.790617
-0.766539,17,1.806616
-4.389467,13,1.817616
-5.459345,15,1.829616
-7.967513,9,1.837616
-8.419125,11,1.846618
-7.689004,21,1.865618
-10.827606,9,1.877616
-7.354456,10,1.886617
-3.385628,12,1.896616
-8.461207,12,2.902736
-4.185014,22,2.920727
-8.768921,25,2.940727
-7.76685,18,2.955727
-7.471069,8,2.963727
-4.868438,12,2.974727
-6.127396,13,2.987727
-8.908706,11,2.997727
-7.765816,9,3.007727
-7.806151,9,3.014726
-9.46903,5,3.018727
-7.361699,14,3.029727
2.068245,22,3.048727
-7.666175,10,3.056727
-4.782944,13,3.066727
-5.784542,11,3.076753
-6.953351,11,3.085853
-12.968462,17,3.100853
-8.237733,9,3.110856
-11.30339,11,3.120854
-6.143618,13,3.132854
-0.484713,16,3.145853
-2.576002,14,3.156855
-6.519437,19,3.172853
0.981015,23,3.193853
-5.663341,15,3.208855
-7.130698,11,3.219855
-7.210054,10,3.229853
-8.216144,10,3.240853
-10.177379,7,3.248854
-8.874063,11,3.260437
-10.844802,8,3.268438
-9.853232,10,3.276437
-5.330159,12,3.286437
-8.651774,9,3.295438
-9.756136,22,3.316437
-8.251963,10,3.327438
-17.130462,16,3.343438
-10.196807,12,3.354438
-8.984214,11,3.362438
-6.61704,10,3.370438
-5.532941,17,3.385437
-8.936045,13,3.397437
-10.405422,11,3.407438
-6.214829,17,3.425438
-2.542253,19,3.442437
-7.737899,8,3.449437
-11.101672,14,3.463437
-5.248065,14,3.474437
-7.831501,12,3.485438
-2.16581,23,3.505268
-7.799425,19,3.523269
-9.385737,13,3.535268
-7.800614,11,3.544269
-10.656026,7,3.551269
-10.191614,11,3.561268
-6.55686,8,3.568269
-10.480626,9,3.575268
-4.881409,17,3.589269
-11.657897,10,3.598268
-9.143505,9,3.607269
-7.59649,8,3.614268
-8.916595,6,3.621268
-2.553921,17,3.636268
-5.656234,10,3.644268
-8.246503,11,3.657448
-10.070103,10,3.667448
-8.84147,9,3.674448
-7.267068,16,3.687449
-7.271845,20,3.703451
-4.246946,17,3.717448
-7.719559,15,3.733448
-14.355452,16,3.747447
-10.835635,10,3.755448
-6.461349,11,3.765448
-7.269788,11,3.776447
-9.688722,5,3.780447
-6.396826,14,3.792448
-7.305938,12,3.802449
-7.432366,7,3.808449
-7.832745,10,3.81745
-7.906193,11,3.828448
-11.511671,12,3.840448
-10.302146,12,3.852448
-10.632638,10,3.860448
-9.221103,9,3.869447
-8.243094,11,3.880448
-11.513169,10,3.889447
-12.956686,18,3.905447
-8.319405,10,3.914448
-0.044236,26,3.940448
-10.782769,17,3.953449
-3.016045,16,3.968448
-6.638153,16,3.980448
-8.266279,9,3.988448
-5.848461,12,3.999448
-7.348728,7,4.004447
-8.15378,9,4.011448
-5.240289,12,4.022648
-9.819566,9,4.031648
-6.450564,14,4.04265
-3.168276,22,4.062648
-8.651256,9,4.07223
-8.272333,16,4.08623
-3.519874,24,4.106232
-8.617124,11,4.115232
-6.078889,17,4.130742
-11.181428,9,4.140251
-12.500556,18,4.154757
-7.432892,14,4.168712
-7.450002,20,4.186696
-12.800299,12,4.196695
-3.712092,22,4.216695
-9.356627,10,4.225697
-13.081467,12,4.238965
-5.952164,16,4.254455
-8.590489,12,4.267004
-8.192337,12,4.279004
-5.958088,11,4.289004
-8.545061,13,4.300004
-7.093622,8,4.307004
-10.092804,9,4.315004
-5.906569,16,4.328005
-7.70248,16,4.343004
-9.864387,9,4.350004
-4.647152,11,4.361006
-8.962704,9,4.370005
-11.872096,14,4.382005
-9.505346,12,4.394006
-10.486001,7,4.401006
-6.087504,12,4.411004
-7.058,8,4.417004
-7.662102,21,4.434004
-7.489296,9,4.443005
-10.107568,9,4.451004
-6.177663,12,4.461004
-6.053523,12,4.470004
-14.02832,11,4.481004
-7.389042,12,4.493004
-10.944032,12,4.505003
-5.601605,15,4.518801
-9.699868,8,4.524801
-7.448684,16,4.537801
-5.558671,16,4.553801
-4.986339,13,4.563801
-10.020376,21,4.583801
-7.101725,15,4.598801
-8.301713,13,4.611801
-8.62352,10,4.620801
-6.876944,10,4.628801
-5.646152,12,4.637801
-4.661137,17,4.654801
-13.488418,14,4.667807
-6.351194,16,4.681805
-8.153628,9,4.689801
-12.047303,23,4.711802
-10.470788,10,4.720801
-8.235953,9,4.728802
-9.123897,12,4.741891
-4.724998,14,5.721681
-6.459172,16,5.736681
-11.001207,11,5.746682
-4.166129,20,5.764681
-8.75994,18,5.778681
