encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
74,-1.273,9.791,800.0,-800.0
75,-1.325,9.106,800.0,-800.0
76,-1.378,9.077,800.0,-800.0
77,-1.431,9.081,800.0,-800.0
78,-1.48,8.725,800.0,-800.0
79,-1.53,8.761,800.0,-800.0
80,-1.585,9.133,800.0,-800.0
81,-1.635,8.849,800.0,-800.0
82,-1.682,8.4,800.0,-800.0
83,-1.734,8.805,800.0,-800.0
84,-1.789,9.134,800.0,-800.0
85,-1.837,8.559,800.0,-800.0
86,-1.885,8.334,800.0,-800.0
87,-1.939,8.683,800.0,-800.0
88,-1.987,8.182,800.0,-800.0
89,-2.028,7.456,800.0,-800.0
90,-2.077,8.009,800.0,-800.0
91,-2.129,8.548,800.0,-800.0
92,-2.172,7.889,800.0,-800.0
93,-2.219,7.89,800.0,-800.0
94,-2.274,8.693,800.0,-800.0
95,-2.321,7.95,800.0,-800.0
96,-2.364,6.441,800.0,-800.0
97,-2.414,5.402,800.0,-800.0
98,-2.445,2.318,800.0,-800.0
99,-2.448,-3.102,800.0,-667.1
100,-2.435,-7.956,800.0,-517.4
101,-2.393,-12.843,800.0,-350.1
102,-2.312,-18.782,800.0,-139.2
103,-2.215,-22.812,800.0,-15.6
104,-2.113,-24.585,800.0,109.4
105,-1.985,-26.884,800.0,251.6
106,-1.846,-28.4,800.0,410.2
107,-1.718,-27.71,800.0,518.7
108,-1.584,-27.483,800.0,646.5
109,-1.445,-27.766,800.0,796.2
110,-1.32,-26.521,800.0,800.0
111,-1.196,-25.528,800.0,800.0
112,-1.064,-25.644,800.0,800.0
113,-0.946,-24.459,800.0,800.0
114,-0.836,-22.661,800.0,800.0
115,-0.722,-21.815,800.0,800.0
116,-0.623,-20.122,800.0,800.0
117,-0.537,-17.838,800.0,800.0
118,-0.448,-17.159,800.0,800.0
119,-0.365,-16.641,800.0,800.0
120,-0.295,-15.12,800.0,800.0
121,-0.221,-14.595,800.0,800.0
122,-0.147,-14.577,800.0,800.0
123,-0.087,-13.507,800.0,800.0
124,-0.021,-13.175,800.0,800.0
125,0.048,-13.546,800.0,800.0
126,0.104,-12.555,800.0,800.0
127,0.161,-11.857,800.0,800.0
128,0.225,-12.292,800.0,800.0
129,0.278,-11.552,800.0,800.0
130,0.33,-10.529,800.0,800.0
131,0.389,-10.421,800.0,800.0
132,0.436,-8.947,800.0,800.0
133,0.468,-6.564,800.0,800.0
