encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
652,-0.853,-1.115,208.374,0.0
653,-0.848,-1.166,233.439,0.0
654,-0.843,-0.968,220.397,0.0
655,-0.839,-0.702,214.448,0.0
656,-0.836,-0.414,252.496,0.0
657,-0.836,0.018,223.495,0.0
658,-0.838,0.406,145.724,0.0
659,-0.84,0.818,251.23,0.0
660,-0.847,1.461,219.862,0.0
661,-0.859,1.917,196.768,0.0
662,-0.867,2.123,212.447,0.0
663,-0.879,2.569,189.59,0.0
664,-0.897,2.974,175.555,0.0
665,-0.91,2.924,174.641,0.0
666,-0.924,2.856,173.853,0.0
667,-0.944,3.178,161.689,0.0
668,-0.96,3.15,159.487,0.0
669,-0.974,2.514,173.905,0.0
670,-0.989,2.253,155.56,0.0
671,-1.001,1.928,171.021,0.0
672,-1.007,1.012,194.328,0.0
673,-1.013,0.472,185.283,0.0
674,-1.016,0.093,203.874,0.0
675,-1.013,-0.642,224.243,0.0
676,-1.01,-0.961,233.556,0.0
677,-1.008,-0.912,233.068,0.0
678,-1.001,-1.068,238.846,0.0
679,-0.996,-0.918,258.612,0.0
680,-0.995,-0.364,257.875,0.0
681,-0.993,-0.07,241.79,0.0
682,-0.993,0.262,165.949,0.0
683,-0.998,1.031,283.889,0.0
684,-1.006,1.515,225.225,0.0
685,-1.013,1.508,224.165,0.0
686,-1.022,1.794,215.152,0.0
687,-1.033,2.29,245.064,0.0
688,-1.046,2.415,199.118,0.0
689,-1.058,2.518,225.775,0.0
690,-1.072,2.888,204.521,0.0
691,-1.091,3.241,191.806,0.0
692,-1.108,3.292,187.371,0.0
693,-1.124,3.107,166.917,0.0
694,-1.143,3.002,175.275,0.0
695,-1.158,2.718,202.468,0.0
696,-1.171,2.031,164.723,0.0
697,-1.182,1.458,195.823,0.0
698,-1.189,1.017,206.335,0.0
699,-1.193,0.34,201.351,0.0
700,-1.195,-0.207,224.826,0.0
701,-1.194,-0.455,231.922,0.0
702,-1.191,-0.724,262.293,0.0
