encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
612,0.287,-0.688,75.19,0.0
613,0.288,0.063,55.477,0.0
614,0.285,0.659,39.169,0.0
615,0.28,1.019,28.733,0.0
616,0.275,1.166,23.697,0.0
617,0.268,1.25,20.108,0.0
618,0.26,1.257,18.353,0.0
619,0.254,1.023,23.376,0.0
620,0.25,0.783,29.018,0.0
621,0.246,0.938,23.935,0.0
622,0.239,1.248,14.481,0.0
623,0.233,1.437,8.197,0.0
624,0.224,1.774,-2.563,0.0
625,0.211,2.223,-16.99,0.0
626,0.198,2.306,-21.727,0.0
627,0.187,2.023,-16.414,0.0
628,0.177,1.78,-12.039,0.0
629,0.168,1.596,-8.954,0.0
630,0.16,1.42,-5.864,0.0
631,0.151,1.387,-6.659,0.0
632,0.143,1.354,-7.413,0.0
633,0.137,1.187,-4.294,0.0
634,0.131,1.086,-2.788,0.0
635,0.124,1.169,-6.303,0.0
636,0.117,1.21,-8.833,0.0
637,0.11,1.066,-6.34,0.0
638,0.105,0.908,-3.207,0.0
639,0.1,0.868,-3.08,0.0
640,0.096,0.93,-5.557,0.0
641,0.091,1.13,-11.952,0.0
642,0.083,1.504,-23.33,0.0
643,0.073,1.92,-36.296,0.0
644,0.062,2.218,-46.462,0.0
645,0.049,2.375,-53.132,0.0
646,0.036,2.411,-56.724,0.0
647,0.023,2.3,-56.316,0.0
648,0.011,2.031,-51.554,0.0
649,0.001,1.644,-43.384,0.0
650,-0.007,1.196,-33.185,0.0
651,-0.013,0.703,-21.309,0.0
652,-0.017,0.176,-7.974,0.0
653,-0.017,-0.316,4.903,0.0
654,-0.016,-0.724,15.952,0.0
655,-0.013,-1.095,26.424,0.0
656,-0.007,-1.485,37.869,0.0
657,0.0,-1.86,49.291,0.0
658,0.009,-2.17,59.223,0.0
659,0.019,-2.483,69.531,0.0
660,0.031,-2.897,82.898,0.0
661,0.045,-3.385,98.678,0.0
662,0.062,-3.885,115.297,0.0
663,0.082,-4.382,132.369,0.0
664,0.104,-4.833,148.748,0.0
665,0.129,-5.196,163.214,0.0
666,0.155,-5.439,174.894,0.0
667,0.182,-5.523,182.494,0.0
668,0.209,-5.455,186.036,0.0
669,0.235,-5.27,186.372,0.0
670,0.26,-4.966,183.364,0.0
671,0.284,-4.549,177.067,0.0
672,0.306,-4.033,167.677,0.0
673,0.324,-3.408,154.775,0.0
674,0.339,-2.738,139.931,0.0
675,0.35,-2.159,126.803,0.0
676,0.359,-1.756,117.84,0.0
677,0.366,-1.573,114.459,0.0
678,0.374,-1.594,116.483,0.0
679,0.382,-1.691,120.658,0.0
680,0.39,-1.758,124.133,0.0
681,0.399,-1.79,126.641,0.0
682,0.407,-1.859,130.12,0.0
683,0.416,-2.07,137.463,0.0
684,0.426,-2.465,150.059,0.0
685,0.44,-2.967,166.117,0.0
686,0.457,-3.354,179.702,0.0
687,0.475,-3.395,184.3,0.0
688,0.491,-3.049,178.345,0.0
689,0.504,-2.467,165.577,0.0
690,0.514,-1.87,151.784,0.0
691,0.522,-1.414,141.234,0.0
692,0.528,-1.148,135.348,0.0
693,0.533,-1.073,134.296,0.0
694,0.537,-1.193,138.411,0.0
695,0.543,-1.552,149.119,0.0
696,0.552,-2.162,167.104,0.0
