Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree
53,-0.017601084,-0.041325243,-0.032749822,-0.064014639,-1.008467828,-2.367762011,-1.87642658,-3.667768642
54,-0.017559001,-0.041208444,-0.032112995,-0.062877283,-1.00605665,-2.361069922,-1.839939081,-3.602602943
55,-0.017517711,-0.041092258,-0.031538884,-0.061906952,-1.003690907,-2.354412954,-1.807044944,-3.547007072
56,-0.017476396,-0.040967223,-0.031020466,-0.06108503,-1.001323732,-2.347248976,-1.77734178,-3.49991441
57,-0.017434736,-0.040825354,-0.030550459,-0.060425483,-0.99893679,-2.339120481,-1.750412363,-3.462125151
58,-0.017393043,-0.040661308,-0.030122717,-0.05991346,-0.996547957,-2.329721338,-1.725904552,-3.432788394
59,-0.017351621,-0.040469184,-0.029729194,-0.059537027,-0.994174651,-2.318713444,-1.703357345,-3.411220372
60,-0.017310431,-0.040245204,-0.029362879,-0.059282856,-0.991814638,-2.305880335,-1.682369041,-3.396657446
61,-0.01726932,-0.039987056,-0.029017357,-0.059136105,-0.989459151,-2.291089544,-1.662572089,-3.388249233
62,-0.017228229,-0.03969369,-0.028686752,-0.059081667,-0.98710481,-2.27428091,-1.643629818,-3.385130166
63,-0.017187866,-0.039365219,-0.028365775,-0.059102795,-0.984792181,-2.255460908,-1.62523919,-3.386340711
64,-0.017147406,-0.039002726,-0.028049781,-0.05918312,-0.982473993,-2.234691589,-1.607134068,-3.390942994
65,-0.017106579,-0.038608147,-0.02773477,-0.059306722,-0.980134779,-2.212083878,-1.589085267,-3.398024867
66,-0.017065711,-0.0381852,-0.027418409,-0.059458336,-0.977793215,-2.1878508,-1.570959117,-3.40671171
67,-0.017025101,-0.037736227,-0.027097147,-0.059623676,-0.975466433,-2.162126542,-1.55255216,-3.416184994
68,-0.01698471,-0.03726465,-0.026768699,-0.059789546,-0.973152199,-2.13510717,-1.533733476,-3.425688645
69,-0.016944375,-0.036774234,-0.02643148,-0.059944121,-0.970841174,-2.107008403,-1.51441225,-3.43454514
70,-0.01690404,-0.036285196,-0.026084446,-0.060077644,-0.968530149,-2.07898859,-1.494528667,-3.442195444
71,-0.016864421,-0.035788516,-0.025727041,-0.060180804,-0.966260147,-2.050530922,-1.474050869,-3.448106077
72,-0.016824707,-0.035285271,-0.02535916,-0.060246284,-0.963984703,-2.021697107,-1.45297284,-3.451857805
73,-0.016784618,-0.034778136,-0.024981052,-0.060268448,-0.961687772,-1.992640412,-1.431308847,-3.453127708
74,-0.016744488,-0.034269885,-0.024594208,-0.060243312,-0.959388493,-1.963519775,-1.409144319,-3.451687521
75,-0.016704615,-0.033763097,-0.024198728,-0.060168457,-0.957103938,-1.934482961,-1.386484984,-3.447398646
76,-0.016664947,-0.033260105,-0.023795491,-0.060042946,-0.954831129,-1.905663643,-1.363381206,-3.440207395
77,-0.016625334,-0.032763838,-0.023385632,-0.059867199,-0.952561471,-1.877229638,-1.339898015,-3.430137834
78,-0.016585726,-0.032275243,-0.02297044,-0.059643602,-0.9502921,-1.849235207,-1.316109266,-3.41732667
79,-0.016546816,-0.031795557,-0.022564899,-0.059374437,-0.948062721,-1.821751223,-1.292873478,-3.401904651
80,-0.016507807,-0.031325793,-0.022159226,-0.059063312,-0.94582767,-1.794835729,-1.269630127,-3.384078502
81,-0.016468439,-0.030866695,-0.0217525,-0.058714637,-0.94357205,-1.768531351,-1.246326444,-3.364100896
82,-0.016429028,-0.030418735,-0.021345341,-0.058333364,-0.941313966,-1.742865134,-1.222997952,-3.342255562
83,-0.016389863,-0.029982143,-0.020938624,-0.057924836,-0.939069977,-1.717850255,-1.199694784,-3.318848632
84,-0.016350908,-0.029556945,-0.020533274,-0.057494571,-0.93683802,-1.693488204,-1.17646994,-3.294196263
85,-0.016312007,-0.029143785,-0.020130919,-0.057048075,-0.934609156,-1.66981588,-1.153416696,-3.268613927
86,-0.016273102,-0.028741665,-0.01973173,-0.056591382,-0.932380064,-1.646776101,-1.130544851,-3.242447345
87,-0.016234889,-0.028350014,-0.019336334,-0.056129147,-0.930190621,-1.624336151,-1.107890329,-3.215963231
88,-0.016196583,-0.027968235,-0.018945351,-0.055666031,-0.927995848,-1.602461826,-1.085488654,-3.189428639
89,-0.016157915,-0.027595672,-0.01855933,-0.055206285,-0.925780335,-1.581115538,-1.06337128,-3.163087133
90,-0.016119209,-0.027231657,-0.018178771,-0.054753668,-0.923562645,-1.560259015,-1.041566855,-3.137154089
91,-0.016080751,-0.026875487,-0.017804072,-0.054311353,-0.921359164,-1.539851977,-1.020098184,-3.111811307
92,-0.016042491,-0.026526448,-0.017435548,-0.053881962,-0.919167027,-1.519853516,-0.998983314,-3.087209014
93,-0.016004285,-0.026184596,-0.017074115,-0.053467505,-0.916977985,-1.500266839,-0.978274728,-3.063462378
94,-0.015966083,-0.025848676,-0.016719413,-0.053070028,-0.914789171,-1.481020041,-0.957951801,-3.040688623
95,-0.015928554,-0.02551794,-0.016371444,-0.052689981,-0.912638918,-1.462070264,-0.938014646,-3.018913534
96,-0.01589093,-0.025191779,-0.01603025,-0.052327679,-0.910483222,-1.443382615,-0.91846567,-2.998155158
97,-0.015852958,-0.024869654,-0.015695818,-0.051983059,-0.908307586,-1.424926212,-0.899304127,-2.978409887
98,-0.015814949,-0.02455109,-0.015368103,-0.05165565,-0.906129831,-1.406673839,-0.880527441,-2.959650733
99,-0.015777176,-0.024235668,-0.015047029,-0.051344672,-0.903965597,-1.38860149,-0.862131256,-2.941833006
100,-0.015739605,-0.023923034,-0.014732482,-0.05104904,-0.901812938,-1.370688881,-0.84410904,-2.92489454
101,-0.015702089,-0.023613564,-0.01442488,-0.050767456,-0.899663429,-1.352957556,-0.826484744,-2.908760965
102,-0.015664567,-0.023306475,-0.014123608,-0.050499022,-0.897513577,-1.335362653,-0.80922313,-2.89338083
103,-0.015627713,-0.023001473,-0.013828414,-0.050241725,-0.895401998,-1.317887325,-0.79230976,-2.878638798
104,-0.015590769,-0.0226984,-0.013539101,-0.049993874,-0.893285263,-1.300522522,-0.775733346,-2.864437982
105,-0.015553475,-0.022397146,-0.013255462,-0.049753796,-0.891148474,-1.283261939,-0.759482028,-2.850682526
106,-0.015516148,-0.022107587,-0.012977324,-0.049519865,-0.889009795,-1.26667143,-0.743545895,-2.837279267
107,-0.015479058,-0.021821584,-0.012704496,-0.049290509,-0.886884694,-1.250284665,-0.727914002,-2.824138136
108,-0.015442162,-0.021537484,-0.012436786,-0.049064246,-0.884770709,-1.234006935,-0.712575349,-2.811174221
109,-0.015405316,-0.02125484,-0.012174497,-0.048839733,-0.882659589,-1.217812626,-0.697547296,-2.798310573
110,-0.015368472,-0.02097348,-0.011917068,-0.048616281,-0.880548583,-1.201691886,-0.682797701,-2.785507717
111,-0.015332283,-0.020693308,-0.011664264,-0.048392412,-0.878475106,-1.185639213,-0.668313098,-2.772680968
112,-0.015295997,-0.020414863,-0.011415917,-0.048167123,-0.876396072,-1.169685489,-0.654083863,-2.759772859
113,-0.015259376,-0.02013769,-0.011171883,-0.047939625,-0.874297843,-1.153804646,-0.640101745,-2.746738184
114,-0.015222725,-0.01986173,-0.010932033,-0.04770931,-0.872197895,-1.137993303,-0.626359352,-2.733542106
115,-0.015186296,-0.019587029,-0.010696234,-0.047475714,-0.870110667,-1.122254095,-0.612849065,-2.720158042
116,-0.015150066,-0.019313674,-0.010464391,-0.047238548,-0.868034841,-1.106592007,-0.599565439,-2.706569431
117,-0.015113888,-0.019041762,-0.010236791,-0.04699764,-0.865961994,-1.091012597,-0.58652492,-2.692766419
118,-0.015077703,-0.018771413,-0.010013011,-0.046753462,-0.863888747,-1.07552274,-0.573703271,-2.67877605
119,-0.015042164,-0.018502752,-0.009792916,-0.046505691,-0.861852512,-1.060129599,-0.561092756,-2.664579818
120,-0.015006535,-0.018236421,-0.009576412,-0.046254419,-0.859811121,-1.044869957,-0.54868799,-2.650182993
121,-0.014970573,-0.017972131,-0.009363436,-0.045999899,-0.85775065,-1.029727255,-0.536485365,-2.635600071
122,-0.014934578,-0.01770992,-0.009153917,-0.045742436,-0.855688288,-1.014703672,-0.52448081,-2.620848527
123,-0.014898809,-0.017449889,-0.008947813,-0.045482396,-0.853638875,-0.999804993,-0.512671921,-2.605949333
124,-0.014863235,-0.017192149,-0.008745076,-0.045220189,-0.851600635,-0.985037578,-0.501055946,-2.590925978
125,-0.014827704,-0.016936786,-0.008545981,-0.044956241,-0.849564859,-0.970406356,-0.489648643,-2.575802872
126,-0.014792173,-0.016683904,-0.008350229,-0.044691515,-0.847529083,-0.955917285,-0.47843288,-2.56063519
127,-0.014757279,-0.016433584,-0.008157725,-0.044426067,-0.845529804,-0.941575005,-0.467403213,-2.545426139
128,-0.014722286,-0.016186344,-0.007968431,-0.044160264,-0.843524853,-0.927409197,-0.456557466,-2.530196749
129,-0.014686973,-0.015941882,-0.007782306,-0.043894504,-0.841501567,-0.913402556,-0.445893289,-2.514969823
130,-0.014651632,-0.01570017,-0.007599332,-0.043629159,-0.839476677,-0.899553479,-0.435409651,-2.499766674
131,-0.014616506,-0.015461217,-0.007419481,-0.043364603,-0.837464105,-0.88586248,-0.425104947,-2.484608732
132,-0.014581572,-0.015225064,-0.007242721,-0.043101147,-0.835462534,-0.87233191,-0.414977345,-2.469513815
133,-0.014546685,-0.014991717,-0.00706931,-0.04283907,-0.833463656,-0.858962112,-0.405041627,-2.454497909
134,-0.014511797,-0.014761183,-0.00689899,-0.042579085,-0.831464721,-0.845753487,-0.39528301,-2.439601866
135,-0.014477528,-0.014533473,-0.006731702,-0.042321016,-0.829501252,-0.832706665,-0.385698114,-2.424815602
136,-0.014443169,-0.014308982,-0.0065674,-0.042064972,-0.827532626,-0.819844278,-0.376284302,-2.410145361
137,-0.014408498,-0.014087367,-0.006406073,-0.041811045,-0.825546125,-0.807146674,-0.367040946,-2.395596416
138,-0.014373788,-0.013868544,-0.00624769,-0.0415593,-0.823557388,-0.794609039,-0.357966269,-2.38117249
139,-0.014339298,-0.013652481,-0.006092225,-0.041309778,-0.821581257,-0.782229541,-0.34905878,-2.366875932
140,-0.014305002,-0.01343915,-0.005939658,-0.041062482,-0.819616241,-0.770006575,-0.340317335,-2.352706915
141,-0.01427074,-0.013228511,-0.005790185,-0.04081741,-0.817653173,-0.75793785,-0.331753163,-2.338665324
142,-0.014236482,-0.013020546,-0.005643598,-0.040574963,-0.815690334,-0.746022333,-0.323354347,-2.324774134
143,-0.014202837,-0.012815221,-0.005499821,-0.040334711,-0.813762617,-0.734258077,-0.315116531,-2.311008708
144,-0.014169097,-0.01261285,-0.005358835,-0.040096525,-0.811829458,-0.722663073,-0.307038629,-2.297361656
145,-0.014127587,-0.012413117,-0.005220602,-0.039860288,-0.80945111,-0.711219215,-0.299118461,-2.283826273
146,-0.014088118,-0.012215923,-0.005085097,-0.039625897,-0.807189703,-0.699920831,-0.291354597,-2.270396658
147,-0.014054353,-0.01202122,-0.004952284,-0.039393228,-0.805255111,-0.688765171,-0.283744972,-2.257065706
148,-0.014023162,-0.011828973,-0.004822144,-0.039162152,-0.803467998,-0.677750229,-0.276288499,-2.243826026
149,-0.013990035,-0.011639146,-0.004694824,-0.038932572,-0.801569961,-0.666873943,-0.268993601,-2.230672061
150,-0.013964519,-0.011451711,-0.004570137,-0.0387048,-0.800108002,-0.656134709,-0.261849562,-2.217621687
151,-0.013935849,-0.011266625,-0.004448027,-0.038478383,-0.798465332,-0.645530062,-0.254853174,-2.204648948
152,-0.013901131,-0.011084184,-0.004328456,-0.038253158,-0.796476137,-0.635076963,-0.248002261,-2.191744506
153,-0.013865219,-0.010904095,-0.004211394,-0.038035745,-0.794418531,-0.624758623,-0.241295102,-2.179287659
154,-0.013831841,-0.010726271,-0.004096797,-0.037814012,-0.792506112,-0.614570058,-0.234729178,-2.166583294
