Step,Roll Angle
0,0.12217304763960375
1,0.12217304763960375
2,-0.022462425395980676
3,-0.1351066946720847
4,-0.1419588772010916
5,-0.11565461348435443
6,-0.10066691052966682
7,-0.08854323940023708
8,-0.07729219903998495
9,-0.06706223626853665
10,-0.05811687370863913
11,-0.05061262274710146
12,-0.0445892669192195
13,-0.039997038438499534
14,-0.03672684321883868
15,-0.03463781492371336
16,-0.03357856983333225
17,-0.033401515863555026
18,-0.03397094109608175
19,-0.035166787918550615
20,-0.03688381350289435
21,-0.03903094448936502
22,-0.04152869221837297
23,-0.04430653487941773
24,-0.047300429419004024
25,-0.0504506127276205
26,-0.05370000319159848
27,-0.05699352292180188
28,-0.06027588204038267
29,-0.06349273404272765
30,-0.0665905605511067
31,-0.06951720817401448
32,-0.07222293349169098
33,-0.07466154427919988
34,-0.07679184040954905
35,-0.07857996078621216
36,-0.07999851700613314
37,-0.08102985695453783
38,-0.08166652872255988
39,-0.08191187747460611
40,-0.08177999369427813
41,-0.08129535282767257
42,-0.0804916843374487
43,-0.07941148513182353
44,-0.07810155386672193
45,-0.07661297352964994
46,-0.07499833646769206
47,-0.07330955883013111
48,-0.07159583399828376
49,-0.06990200107793851
50,-0.06826730686785923
51,-0.06672534033673366
52,-0.065301462134815
53,-0.0640146385113261
54,-0.06287728340623212
55,-0.06190695240544719
56,-0.06108503001449648
57,-0.06042548273164701
58,-0.05991345964998466
59,-0.059537026625343825
60,-0.05928285581603202
61,-0.059136104781382696
62,-0.059081666848217765
63,-0.05910279503604879
64,-0.05918311989819229
65,-0.059306722226907506
66,-0.05945833615600626
67,-0.05962367616182052
68,-0.059789545526879095
69,-0.05994412066812646
70,-0.06007764367662518
71,-0.060180804085134355
72,-0.060246283950855385
73,-0.06026844836222314
74,-0.06024331193705102
75,-0.06016845674731472
76,-0.06004294626225931
77,-0.05986719908773463
78,-0.05964360239710449
79,-0.05937443704776619
80,-0.05906331210715861
81,-0.05871463693453016
82,-0.05833336417948082
83,-0.05792483622740542
84,-0.057494571314352746
85,-0.05704807488847736
86,-0.056591382065617306
87,-0.0561291474606621
88,-0.05566603071099386
89,-0.05520628545277562
90,-0.05475366809671834
91,-0.05431135331089591
92,-0.05388196223031827
93,-0.053467504612313706
94,-0.053070027614002875
95,-0.052689980696747685
96,-0.05232767851478972
97,-0.051983058508776714
98,-0.051655649978981644
99,-0.05134467186892321
100,-0.05104903980730901
101,-0.05076745619823426
102,-0.050499021721137
103,-0.050241724512459715
104,-0.04999387443630046
105,-0.04975379611753421
106,-0.049519864913273474
107,-0.04929050916937139
108,-0.04906424601360314
109,-0.04883973339459805
110,-0.048616281028328906
111,-0.04839241152377418
112,-0.048167123320930844
113,-0.04793962496102106
114,-0.04770930989524048
115,-0.04747571408658098
116,-0.047238548392729555
117,-0.04699763968453067
118,-0.04675346189016024
119,-0.046505691032104314
120,-0.04625441913723182
121,-0.04599989903776733
122,-0.045742436216807084
123,-0.04548239621204942
124,-0.04522018885666589
125,-0.04495624086389997
126,-0.04469151481928368
127,-0.04442606693765943
128,-0.04416026369460356
129,-0.04389450354646728
130,-0.0436291594460788
131,-0.04336460303937562
132,-0.043101147402117464
133,-0.04283906994349433
134,-0.04257908529322317
135,-0.04232101576729336
136,-0.042064971513788615
137,-0.041811045414216104
138,-0.04155929991900928
139,-0.04130977800809961
140,-0.041062482438384916
141,-0.040817410344598244
142,-0.04057496255712923
143,-0.04033471140436984
144,-0.04009652495995444
145,-0.039860288377931825
146,-0.0396258968286314
147,-0.03939322759533005
148,-0.03916215219264763
149,-0.038932572161039736
150,-0.03870479964081299
151,-0.03847838300247554
152,-0.03825315826540085
153,-0.03803574481825957
154,-0.037814011727871646
155,-0.03759219747252082
156,-0.037377506041171654
157,-0.037164741445123564
158,-0.03694677635824598
159,-0.0367281699827077
160,-0.03650962270757491
161,-0.03629126300906788
162,-0.03607316915059747
163,-0.03586174598106748
164,-0.03565197395543401
165,-0.03544299028409093
166,-0.035234563857614046
167,-0.03502658391152746
168,-0.0348189666025718
169,-0.034612031687945244
170,-0.0344054539686181
171,-0.03419915105739559
172,-0.03399308816253199
173,-0.03378727728810527
174,-0.03358173040291622
175,-0.03337646878702096
176,-0.033171523708734114
177,-0.03296729732852648
178,-0.032763556822589676
179,-0.032560290499965026
180,-0.032357522646341806
181,-0.03215531551860416
182,-0.03195371168971068
183,-0.03175274528775911
184,-0.031552470186420524
185,-0.031353277745267624
186,-0.031154929339685382
187,-0.030957408211677365
188,-0.030760730322176546
189,-0.030564931091415615
190,-0.030370022501132226
191,-0.030176011525748076
192,-0.029982931775410022
193,-0.029791120688325397
194,-0.02960030745442591
195,-0.029410464466991994
196,-0.029221581633450244
197,-0.029033643415251328
198,-0.028846648021476212
199,-0.028660589676663427
200,-0.028475461186326996
201,-0.028291563993993116
202,-0.028108634218320355
203,-0.027926627540824544
204,-0.02774551353900559
205,-0.027565268949155754
206,-0.027385896473778006
207,-0.027207375318114745
208,-0.027029681973206543
209,-0.026853122499368137
210,-0.026677441408330033
211,-0.026502572605542105
212,-0.02632851316727224
213,-0.026155248985128915
214,-0.025982756180112036
215,-0.025811038696128826
216,-0.02564009126747044
217,-0.02547018026844663
218,-0.025301079532517687
219,-0.025132747594078485
220,-0.024965157864331965
221,-0.024798320750909413
222,-0.024632224241326384
223,-0.024466857121259795
224,-0.024302231597616235
225,-0.024138606936912364
226,-0.023975760386009404
227,-0.023813664781842114
228,-0.02365230216989283
229,-0.023491666784400875
230,-0.023331766150215445
231,-0.023172590046844205
232,-0.023014138234793684
233,-0.02285667333707107
234,-0.022699979466271676
235,-0.022544021593185467
236,-0.022388799154659203
237,-0.02223429906488039
238,-0.022080520437405486
239,-0.02192746989369292
240,-0.02177513761108283
241,-0.02162376394247986
242,-0.021473160646843327
243,-0.021323284457372603
244,-0.021174125585337544
245,-0.02102568899043191
246,-0.020877964654482425
247,-0.020730947274016347
248,-0.020584645936454284
249,-0.02043928044087736
250,-0.02029465737898625
251,-0.02015075583883248
252,-0.020007556048612193
253,-0.019865056956471783
254,-0.019723262173358815
255,-0.019582160020908283
256,-0.01944174847367401
257,-0.019302251358020394
258,-0.019163481208192997
259,-0.01902540232856421
260,-0.018888021394221428
261,-0.01875132194950367
262,-0.01861529583813151
263,-0.018479959985037223
264,-0.018345297092645707
265,-0.018211508832757507
266,-0.018078430857639976
267,-0.017946035207629493
268,-0.017814307741641035
269,-0.01768324777596846
270,-0.017552852824381734
271,-0.017423120247721996
272,-0.01729404636860501
273,-0.017168682067691704
274,-0.017044502993516068
275,-0.01692105972219116
276,-0.016798426267323432
277,-0.01667638561240146
278,-0.016554871927921246
279,-0.0164338566777124
280,-0.01631330283208881
281,-0.016193184255951773
282,-0.016073498244304752
283,-0.015954232258413158
284,-0.01583554365308801
285,-0.015717301475653995
286,-0.015599473882366889
287,-0.015482057980314752
288,-0.015365057229766657
289,-0.015248479037110413
290,-0.015132333257395962
291,-0.015016629467790468
292,-0.014901544525813392
293,-0.01478695794289216
294,-0.014672846592934847
295,-0.014559228533858765
296,-0.014446103357433798
297,-0.014333490987054297
298,-0.0142214075119285
299,-0.014109856005208353
300,-0.013998997454733299
301,-0.013888711523165048
302,-0.013778999870810374
303,-0.013669858209465889
304,-0.013561286898793717
305,-0.013453295717408493
306,-0.01334588302746529
307,-0.013239061860203497
308,-0.01313298657663244
309,-0.013027523624375996
310,-0.01292266789137969
311,-0.012818408217702726
312,-0.01271475807507956
313,-0.012611709551155242
314,-0.012509249207688871
315,-0.01240740103035122
316,-0.012306284381207849
317,-0.01220579202651761
318,-0.012105907359791461
319,-0.01200660891035928
320,-0.011907908010399775
321,-0.011809791715966085
322,-0.011712271885592908
323,-0.011615340047840933
324,-0.011519104849673712
325,-0.011423484789422237
326,-0.011328439623735767
327,-0.011233971039827139
328,-0.011140070221219177
329,-0.011046746713820685
330,-0.010953986549172758
331,-0.010861779138750301
332,-0.010770261929758908
333,-0.01067931668148075
334,-0.010588931387569025
335,-0.010499103964170624
336,-0.010409815648830577
337,-0.010321078413770843
338,-0.010232878291726722
339,-0.010145228122334073
340,-0.01005822314499264
341,-0.009971768010856478
342,-0.009885865265042915
343,-0.009800487006581466
344,-0.009715641712410992
345,-0.009631318774273256
346,-0.009547529313931288
347,-0.009464256471085388
348,-0.0093816054529195
349,-0.009299505654175836
350,-0.009217919194420315
351,-0.009136851579932742
352,-0.009056292975104255
353,-0.008976253964430069
354,-0.008896717797167237
355,-0.008817685434833269
356,-0.008739271397842266
357,-0.00866137126248309
358,-0.008583979936335785
359,-0.008507085209468019
360,-0.00843069758603484
361,-0.00835480088877957
362,-0.008279394569364863
363,-0.008204497172092758
364,-0.008130175473769902
365,-0.008056364101966786
366,-0.007983038180422859
367,-0.007910207970928743
368,-0.00783785751820649
369,-0.0077659839012531075
370,-0.007694598443057953
371,-0.0076236945327776435
372,-0.007553360954476122
373,-0.007483509620709439
374,-0.007414145043784433
375,-0.007345248644026615
376,-0.007276816087173581
377,-0.0072088596807595344
378,-0.007141370694041038
379,-0.007074349178280929
380,-0.007007868346125319
381,-0.006941875470711248
382,-0.006876338811457217
383,-0.006811263996370749
384,-0.006746641359432576
385,-0.006682472861423106
386,-0.006618761957699995
387,-0.006555496905564892
388,-0.006492760778390216
389,-0.006430485619470509
390,-0.0063686569918469495
391,-0.0063072732045409766
392,-0.006246333297982604
393,-0.006185838207809254
394,-0.006125775313833583
395,-0.006066155649781488
396,-0.006007037830993491
397,-0.005948367772124829
398,-0.0058901255101372185
399,-0.005832318299435278
400,-0.0057749398475891904
401,-0.005717985008457008
402,-0.005661455092771014
403,-0.005605348973288036
404,-0.005549729999959306
405,-0.005494533231328271
406,-0.005439760348930525
407,-0.005385401265299847
408,-0.005331458518703798
409,-0.005277920851162064
410,-0.00522479819313285
411,-0.005172083669850539
412,-0.005119831560293891
413,-0.00506799170171737
414,-0.005016557378827747
415,-0.004965526435880907
416,-0.0049148878677221855
417,-0.004864649666437105
418,-0.004814805242534242
419,-0.004766209803029617
420,-0.004718125739567861
421,-0.004670438693960493
422,-0.004623114299926671
423,-0.004576196630660411
424,-0.004529629816088597
425,-0.004483410420566387
426,-0.004437529708967718
427,-0.004391980341434189
428,-0.004346762215317678
429,-0.004301874149068557
430,-0.004257316599644588
431,-0.004213125741666145
432,-0.00416927088144155
433,-0.004125739149752031
434,-0.0040825338081584735
435,-0.004039643041700858
436,-0.003997079535101932
437,-0.003954836091251144
438,-0.003912916267469234
439,-0.0038713559412801276
440,-0.0038301285622802388
441,-0.0037892233292437486
442,-0.0037486378315465096
443,-0.0037083713053977767
444,-0.003668427898145154
445,-0.0036288075007341273
446,-0.0035895032147390603
447,-0.0035505613069525687
448,-0.003511945775822397
449,-0.0034736543553525044
450,-0.003435675153684215
451,-0.0033980189875829686
452,-0.003360679256239311
453,-0.003323660598069063
454,-0.003286951532154249
455,-0.0032506005543188783
456,-0.0032145688316174816
457,-0.0031788540491793564
458,-0.0031434462575552803
459,-0.003108355049131786
460,-0.003073573924407395
461,-0.0030391021424771604
462,-0.003004935436780182
463,-0.002971112553304471
464,-0.002937601654075608
465,-0.0029043926866408982
466,-0.002871485873509293
467,-0.00283888143475016
468,-0.0028065790994521366
469,-0.002774569672672212
470,-0.002742859083809826
471,-0.002711473699828508
472,-0.0026803899015445556
473,-0.0026495914643696146
474,-0.0026190868296530386
475,-0.002588868673635132
476,-0.0025589404607442275
477,-0.002529289527408943
478,-0.0024999266701922324
479,-0.002470870960317586
480,-0.0024421020587104126
481,-0.002413604106927905
482,-0.002385386951865338
483,-0.0023574417930225435
484,-0.0023297704749643796
485,-0.0023023633563548375
486,-0.0022752294635943917
487,-0.002248386530796767
488,-0.002221812667937182
489,-0.0021954976146080084
490,-0.002169447245261057
491,-0.0021436557826149246
492,-0.00211812020337345
493,-0.0020928373545461847
494,-0.002067810892537608
495,-0.002043060264993065
496,-0.002018560255639647
497,-0.001994307778069122
498,-0.001970302934095021
499,-0.0019465442236107477
500,-0.001923023620016371
501,-0.0018997444584880154
502,-0.0018767047668774883
503,-0.0018539258291300018
504,-0.0018313799488668225
505,-0.0018090700045912678
506,-0.0017869911884417936
507,-0.0017651453002454826
508,-0.001743521026840642
509,-0.0017221262753296354
510,-0.0017009550126654929
511,-0.0016800290257935142
512,-0.0016593200527987837
513,-0.001638834662107412
514,-0.0016185650266383666
515,-0.0015985145417821663
516,-0.0015786707018042364
517,-0.0015590437080522182
518,-0.0015396254066397698
519,-0.0015204365829879331
520,-0.0015014501988784453
521,-0.0014826743938041226
522,-0.0014643630299286908
523,-0.001446294034190553
524,-0.0014284164742522508
525,-0.0014104804208763004
526,-0.001392692560607985
527,-0.001375108227438851
528,-0.0013579379539404503
529,-0.0013409952464853048
530,-0.0013242527161498217
531,-0.0013076943455384762
