Step,Roll Angle
0,0.0523598775598302
1,0.0523598775598302
2,-0.014576628393924276
3,-0.02611919962024644
4,-0.019166320553352025
5,-0.018712852202751533
6,-0.020011949832799046
7,-0.02198788749429901
8,-0.024360153179107873
9,-0.02701227448335491
10,-0.029880512687785302
11,-0.03291638764461474
12,-0.03607640032364317
13,-0.0393182911384811
14,-0.04259920492331622
15,-0.04587579234807634
16,-0.04910080240896947
17,-0.05222594132681237
18,-0.05520190435373288
19,-0.05797918285605264
20,-0.060509516050699805
21,-0.0627475201337117
22,-0.0646525513315664
23,-0.06619229940337314
24,-0.06733996896246656
25,-0.06807990416641427
26,-0.06840790732758598
27,-0.06833175936570839
28,-0.06787118471337053
29,-0.06705715338829714
30,-0.06593048917120989
31,-0.06454169968409058
32,-0.06294351169161752
33,-0.061192407593696645
34,-0.05934504501246502
35,-0.057455605351491544
36,-0.055573655471476795
37,-0.05376763512621476
38,-0.052054422036309604
39,-0.050457771525196225
40,-0.04897475190590837
41,-0.04765411449257151
42,-0.046468312290308296
43,-0.04543034781181342
44,-0.04455825732881604
45,-0.04382818774899532
46,-0.043225624261352374
47,-0.04273623818632577
48,-0.04234486186466716
49,-0.042035859924162464
50,-0.0417947975291939
51,-0.04160556480262793
52,-0.041453535627644034
53,-0.04132524322914386
54,-0.0412084438193302
55,-0.0410922576629688
56,-0.04096722263344051
57,-0.04082535386724016
58,-0.040661308367339465
59,-0.04046918430271368
60,-0.04024520395011356
61,-0.039987055626681554
62,-0.039693690203250406
63,-0.03936521858905365
64,-0.03900272567609966
65,-0.03860814681706947
66,-0.038185199990487514
67,-0.03773622713040381
68,-0.03726464963434418
69,-0.036774234199987155
70,-0.036285195841387875
71,-0.035788516016301584
72,-0.035285270570413134
73,-0.034778135717654084
74,-0.034269885261837975
75,-0.033763097397687826
76,-0.03326010474094378
77,-0.032763837967413195
78,-0.03227524321615648
79,-0.03179555653657437
80,-0.03132579343401611
81,-0.030866695028569084
82,-0.030418735389391806
83,-0.02998214265968699
84,-0.029556945011560944
85,-0.029143785011407547
86,-0.028741665142641457
87,-0.028350014376055378
88,-0.027968235411541732
89,-0.02759567194758213
90,-0.027231656701846255
91,-0.02687548666703466
92,-0.026526447706603045
93,-0.02618459572806483
94,-0.025848676014232543
95,-0.025517939660241764
96,-0.025191778538626055
97,-0.024869654434741883
98,-0.02455109000651194
99,-0.02423566776362515
100,-0.023923034425679748
101,-0.023613563951348157
102,-0.023306474707548486
103,-0.023001472819487254
104,-0.022698400239507335
105,-0.022397146218725135
106,-0.02210758687708451
107,-0.021821584440089727
108,-0.021537483944711014
109,-0.021254839751890908
110,-0.020973479872985642
111,-0.020693308206776145
112,-0.020414863113308854
113,-0.02013768956483044
114,-0.019861729675663947
115,-0.019587028989126145
116,-0.019313673657558296
117,-0.019041762086243027
118,-0.01877141298435151
119,-0.01850275188552312
120,-0.018236421032962656
121,-0.017972131336504136
122,-0.017709919846049915
123,-0.01744988944552052
124,-0.017192148569898317
125,-0.016936786180678585
126,-0.016683903588187467
127,-0.016433584469145803
128,-0.016186344059777487
129,-0.015941881752118008
130,-0.01570016980996564
131,-0.015461217494378931
132,-0.01522506370989164
133,-0.014991717362385767
134,-0.014761182902197472
135,-0.014533473213196434
136,-0.014308981886207021
137,-0.0140873667654376
138,-0.013868544379575331
139,-0.013652480594436828
140,-0.013439150224348646
141,-0.013228511358610102
142,-0.013020546352708313
143,-0.012815221441693331
144,-0.01261284970527468
145,-0.012413116753573095
146,-0.012215922691569805
147,-0.01202121985596705
148,-0.011828973047162034
149,-0.011639146068115159
150,-0.011451710940092582
151,-0.011266624700831063
152,-0.011084183882243314
153,-0.01090409523672866
154,-0.010726270594821712
155,-0.010550684727107412
156,-0.010377301050364815
157,-0.01020609721691731
158,-0.01003704481710027
159,-0.00987012751980802
160,-0.009705601386079267
161,-0.009543204054243661
162,-0.009382886780100146
163,-0.009224613343838794
164,-0.009068363871783034
165,-0.008914119736944824
166,-0.00876186633685736
167,-0.008611591280101973
168,-0.008463506545442574
169,-0.008317410849851799
170,-0.008173242539092787
171,-0.008030979203311537
172,-0.007890603047265979
173,-0.00775210204499296
174,-0.007615464580141789
175,-0.0074806647666135
176,-0.00734791185968227
177,-0.007217008642713572
178,-0.007087910455065418
179,-0.006960590391554052
180,-0.006835040194206643
181,-0.006711241669074007
182,-0.00658917943695946
183,-0.006468841381018479
184,-0.006350396825384921
185,-0.006233679426281438
186,-0.006118635094024199
187,-0.006005257012267892
188,-0.0058935232060259276
189,-0.005783417872099919
190,-0.0056749241800960765
191,-0.005568037661554943
192,-0.005462893148939055
193,-0.005359342430108313
194,-0.00525734946544297
195,-0.005156895970804069
196,-0.005057966270347141
197,-0.004960535486686335
198,-0.004864602448894606
199,-0.004770146405419157
200,-0.004677286543343588
201,-0.004585890840729687
202,-0.004495934931492029
203,-0.004407391698575556
204,-0.0043202456203963804
205,-0.004234482418715411
206,-0.004150091961952312
207,-0.004067057093378337
208,-0.003985473290187284
209,-0.003905235411773043
210,-0.0038263108498549684
211,-0.0037486787410800134
212,-0.003672322124281576
213,-0.0035972337659987814
214,-0.00352339187779837
215,-0.0034507899550244954
216,-0.0033794997397226267
217,-0.0033094393028913916
218,-0.003240569642231905
219,-0.0031743250945842558
220,-0.003109450779326686
221,-0.0030456988183655384
222,-0.0029829988003449845
223,-0.0029213212271947944
224,-0.002860649544678074
225,-0.002800970989856237
226,-0.0027422692218611075
227,-0.0026846043115784724
228,-0.002627904506757057
229,-0.002572146836295118
230,-0.0025173169039027156
231,-0.0024634011519962793
232,-0.002410396268862259
233,-0.0023582936700936013
234,-0.002307082117074634
235,-0.0022568144470459447
236,-0.002207437905756972
237,-0.0021589277955223283
238,-0.0021112757299902698
239,-0.0020644681018248943
240,-0.002018505664006071
241,-0.0019733762686633795
242,-0.0019290733760178673
243,-0.0018856346356652977
244,-0.0018430189315084694
245,-0.001801199642033403
246,-0.0017601700919503058
247,-0.0017199153531594772
248,-0.0016804368265205696
249,-0.0016417182368241737
250,-0.0016037519618321671
251,-0.0015665707517420204
252,-0.0015301347004643058
253,-0.0014944213415754339
254,-0.0014594193601957124
255,-0.0014251181218200857
256,-0.0013915137831911682
257,-0.0013585923433565
258,-0.0013263424488540992
259,-0.001294792540530843
260,-0.0012639052730852613
261,-0.0012336613501585183
262,-0.0012040471784213603
263,-0.0011750549743676487
264,-0.0011466780337885487
265,-0.0011189039444473717
266,-0.0010917176146643913
267,-0.0010651489791303386
268,-0.001039157508428517
269,-0.0010137329679737043
270,-0.000988854582320596
271,-0.0009645231231954093
272,-0.0009407241895284227
273,-0.0009174532079857456
274,-0.0008946905299654265
275,-0.000872462961969806
276,-0.0008507345555430053
277,-0.0008294970856552302
278,-0.0008087303134643278
279,-0.0007884291879550437
280,-0.0007685945168356227
281,-0.000749553068862396
282,-0.0007306673507005664
283,-0.0007121774994682994
284,-0.0006941111876957004
285,-0.0006764558115313633
286,-0.0006592086759294334
287,-0.0006426547773600223
288,-0.0006265408904296544
289,-0.0006108003078046005
290,-0.0005954198008711275
291,-0.0005803861798240331
292,-0.0005654563390307989
293,-0.0005510616863544862
294,-0.0005370509261754966
295,-0.000523368823755488
296,-0.0005100093573671822
297,-0.0004969546487756146
298,-0.00048420244126702453
299,-0.0004717427251972726
300,-0.0004595789816582482
301,-0.00044769560176172066
302,-0.0004361039752252128
303,-0.0004247836778615743
304,-0.00041373690483164147
305,-0.0004029479846359598
306,-0.0003924162396675502
307,-0.0003821321216052441
308,-0.0003721006487929661
309,-0.0003623067403594735
310,-0.000352760546502877
311,-0.00034344367933001
312,-0.0003343602122782447
313,-0.00032549476647039893
314,-0.0003168478064530065
315,-0.00030840943142381415
316,-0.00030018620868917735
317,-0.00029216302955961155
318,-0.0002843492750941814
319,-0.00027672760826558807
320,-0.00026930411830829686
321,-0.0002620632622859941
322,-0.00025500686001992095
323,-0.00024812411769408957
324,-0.00024142347290913803
325,-0.0002348894038997177
326,-0.0002285312059719124
327,-0.0002223317841270188
328,-0.00021629956290049402
329,-0.0002104184645307121
330,-0.0002047867375986802
331,-0.00019931068727254764
332,-0.00019398521815960953
333,-0.00018879090709100521
334,-0.00018373171238488485
335,-0.00017879448986699755
336,-0.00017399123263678255
337,-0.00016931013906419667
338,-0.00016475284718834465
339,-0.00016030472494162418
340,-0.00015597911022714
341,-0.00015175883352997716
342,-0.0001476510204060205
343,-0.00014364087921749961
